Brand,Main_Category,Sub_Category,Source_URL,Model_Name,Variant_Description,SKU,MRP,Selling_Price,Dealer_Price,Product_Description,Image_URL,Warranty,Datasheet_URL,Certifications,BIS_Registration,Country_of_Origin,HSN_Code
Havells,Air_Coolers,premium-commercial,https://havells.com/home-appliances/air-coolers/premium-commercial-coolers/aero-150-l-premium-commercial-air-cooler-ghracdwe3451.html,,Standard,SKUGHRACDWE3451,N/A,N/A,N/A,,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/g/h/ghracdwe3451_1_.jpg,N/A,N/A,"ISI, ce, ce certified, ul, Ce, isi, CE, bee",onsWashing,India,N/A
Havells,Air_Coolers,premium-commercial,https://havells.com/home-appliances/air-coolers/premium-commercial-coolers/aero-prime-100-l-premium-commercial-air-cooler-ghraccne100.html,,Standard,SKUGHRACCNE100,N/A,N/A,N/A,,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/a/e/aero_prime_100_1_1.jpg,N/A,N/A,"ISI, ce, ul, Ce, isi, CE",onsWashing,India,N/A
Havells,Air_Coolers,premium-commercial,https://havells.com/home-appliances/air-coolers/premium-commercial-coolers/aero-dlx-125-l-premium-commercial-air-cooler-ghraccpe125.html,,Standard,SKUGHRACCPE125,N/A,N/A,N/A,,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/a/e/aero_125_2.jpg,N/A,N/A,"ISI, ce, ul, Ce, isi, CE",onsWashing,India,N/A
Havells,Air_Coolers,premium-commercial,https://havells.com/home-appliances/air-coolers/premium-commercial-coolers/aero-dlx-100-l-premium-commercial-air-cooler-ghraccpe100.html,,Standard,SKUGHRACCPE100,N/A,N/A,N/A,,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/a/e/aero_dlx_100__1.jpg,N/A,N/A,"ISI, ce, ul, Ce, isi, CE",onsWashing,India,N/A
Havells,Air_Coolers,desert,https://havells.com/home-appliances/air-coolers/desert-coolers/convertible-80-l-desert-cooler-ghraccce1851.html,,Standard,SKUGHRACCCE1851,N/A,N/A,N/A,,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/g/h/ghraccce1851_1.jpg,N/A,N/A,"ISI, ce, ul, Ce, isi, CE",onsWashing,India,N/A
Havells,Air_Coolers,desert,https://havells.com/home-appliances/air-coolers/desert-coolers/kace-65-l-desert-air-cooler-ghracdye0191.html,,Standard,SKUGHRACDYE0191,N/A,N/A,N/A,,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/k/a/kace_65.jpg,N/A,N/A,"ISI, ce, ul, Ce, isi, CE",onsWashing,India,N/A
Havells,Air_Coolers,desert,https://havells.com/home-appliances/air-coolers/desert-coolers/koolmax-70-l-desert-air-cooler-ghraccae1851.html,,Standard,SKUGHRACCAE1851,N/A,N/A,N/A,,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/k/o/koolmax_70.jpg,N/A,N/A,"ISI, ce, ul, Ce, isi, CE",onsWashing,India,N/A
Havells,Air_Coolers,desert,https://havells.com/home-appliances/air-coolers/desert-coolers/koolblast-55-l-desert-air-cooler-ghraccbe1851.html,,Standard,SKUGHRACCBE1851,N/A,N/A,N/A,,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/k/o/koolblast_1.jpg,N/A,N/A,"ISI, ce, ul, Ce, isi, CE",onsWashing,India,N/A
Havells,Air_Coolers,desert,https://havells.com/home-appliances/air-coolers/desert-coolers/koolwave-100-l-desert-cooler-ghraccje185.html,,Standard,SKUGHRACCJE185,N/A,N/A,N/A,,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/g/h/ghraccje185-front.jpg,N/A,N/A,"ISI, ce, ul, Ce, isi, CE",onsWashing,India,N/A
Havells,Air_Coolers,desert,https://havells.com/home-appliances/air-coolers/desert-coolers/koolwave-55-l-desert-cooler-ghraccje55.html,,Standard,SKUGHRACCJE55,N/A,N/A,N/A,,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/1/s/1st_4.jpg,N/A,N/A,"ISI, ce, ul, Ce, isi, CE",onsWashing,India,N/A
