Brand,Main_Category,Sub_Category,Source_URL,Model_Name,Variant_Description,SKU,MRP,Selling_Price,Dealer_Price,Product_Description,Image_URL,Color_Variant,Size,Warranty,Datasheet_URL,Certifications,BIS_Registration,Country_of_Origin,HSN_Code
Havells,Fans,ceiling-fans,https://havells.com/fans/ceiling-fans/epic-voice-bldc-ceiling-fan.html?color=2952&sweep_size=2918,,Elegant White | 600 mm,SKUFHCVI5SWHT48,7170,4455,N/A,,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/h/a/havells_epic_odv_pro_voice-white.jpg,Elegant White,600 mm,N/A,N/A,"CE, ce, Ce, isi, ISI, ul",onsWashing,India,N/A
Havells,Fans,ceiling-fans,https://havells.com/fans/ceiling-fans/epic-voice-bldc-ceiling-fan.html?color=2952&sweep_size=2923,,Elegant White | 1200 mm,SKUFHCVI5SWHT48,7170,4455,N/A,,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/h/a/havells_epic_odv_pro_voice-white.jpg,Elegant White,1200 mm,N/A,N/A,"CE, ce, Ce, isi, ISI, ul",onsWashing,India,N/A
Havells,Fans,ceiling-fans,https://havells.com/fans/ceiling-fans/epic-voice-bldc-ceiling-fan.html?color=2952&sweep_size=2926,,Elegant White | 1400 mm,SKUFHCVI5SWHT48,7170,4455,N/A,,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/h/a/havells_epic_odv_pro_voice-white.jpg,Elegant White,1400 mm,N/A,N/A,"CE, ce, Ce, isi, ISI, ul",onsWashing,India,N/A
Havells,Fans,ceiling-fans,https://havells.com/fans/ceiling-fans/epic-voice-bldc-ceiling-fan.html?color=3100&sweep_size=2918,,Smoke Brown | 600 mm,SKUFHCVI5SSBW48,7170,4455,N/A,,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/h/a/havells_epic_odv_pro_voice-smoke_brown.jpg,Smoke Brown,600 mm,N/A,N/A,"CE, ce, Ce, isi, ISI, ul",onsWashing,India,N/A
Havells,Fans,ceiling-fans,https://havells.com/fans/ceiling-fans/epic-voice-bldc-ceiling-fan.html?color=3100&sweep_size=2923,,Smoke Brown | 1200 mm,SKUFHCVI5SSBW48,7170,4455,N/A,,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/h/a/havells_epic_odv_pro_voice-smoke_brown.jpg,Smoke Brown,1200 mm,N/A,N/A,"CE, ce, Ce, isi, ISI, ul",onsWashing,India,N/A
Havells,Fans,ceiling-fans,https://havells.com/fans/ceiling-fans/epic-voice-bldc-ceiling-fan.html?color=3100&sweep_size=2926,,Smoke Brown | 1400 mm,SKUFHCVI5SSBW48,7170,4455,N/A,,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/h/a/havells_epic_odv_pro_voice-smoke_brown.jpg,Smoke Brown,1400 mm,N/A,N/A,"CE, ce, Ce, isi, ISI, ul",onsWashing,India,N/A
Havells,Fans,ceiling-fans,https://havells.com/fans/ceiling-fans/epic-voice-bldc-ceiling-fan.html?color=6876&sweep_size=2918,,Stone Grey | 600 mm,SKUFHCVI5SSTG48,7170,4455,N/A,,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/h/a/havells_epic_odv_pro_voice-stone_grey.jpg,Stone Grey,600 mm,N/A,N/A,"CE, ce, Ce, isi, ISI, ul",onsWashing,India,N/A
Havells,Fans,ceiling-fans,https://havells.com/fans/ceiling-fans/epic-voice-bldc-ceiling-fan.html?color=6876&sweep_size=2923,,Stone Grey | 1200 mm,SKUFHCVI5SSTG48,7170,4455,N/A,,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/h/a/havells_epic_odv_pro_voice-stone_grey.jpg,Stone Grey,1200 mm,N/A,N/A,"CE, ce, Ce, isi, ISI, ul",onsWashing,India,N/A
Havells,Fans,ceiling-fans,https://havells.com/fans/ceiling-fans/epic-voice-bldc-ceiling-fan.html?color=6876&sweep_size=2926,,Stone Grey | 1400 mm,SKUFHCVI5SSTG48,7170,4455,N/A,,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/h/a/havells_epic_odv_pro_voice-stone_grey.jpg,Stone Grey,1400 mm,N/A,N/A,"CE, ce, Ce, isi, ISI, ul",onsWashing,India,N/A
Havells,Fans,ceiling-fans,https://havells.com/fans/ceiling-fans/epic-pro-bldc-ceiling-fan-fhcpp5smbl48-c.html?color=3707&sweep_size=2918,,Matt Black | 600 mm,SKUFHCPP5SMBL48,5720,3560,N/A,,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/f/h/fhcpp5smbl48_main.jpg,Matt Black,600 mm,N/A,N/A,"CE, ce, Ce, isi, ISI, ISI Marked, ul",onsWashing,India,N/A
