Brand,Main_Category,Sub_Category,Source_URL,Model_Name,Variant_Description,SKU,MRP,Selling_Price,Dealer_Price,Product_Description,Image_URL,Warranty,Datasheet_URL,Certifications,BIS_Registration,Country_of_Origin,HSN_Code
Havells,Lloyd_Refrigerators,direct-cool,https://havells.com/lloyd/home-appliances/refrigerators/direct-cool-refrigerator/195-l-direct-cool-refrigerator-5-star-pastel-yellow-gldf215spya4lc.html,,Standard,SKUGLDF215SPYA4LC,30090.00,19500.00,N/A,"Key Features Auto Defrost : Auto Defrost Function is designed for convenience, allowing you to use Refrigerator without worrying about defrosting. Lloyd Auto Defrost Technology based on multiple sensors; Light Sensor, Motion Sensor & Temperature Sensor. Based on these 3 sensors, Lloyd Refrigerator determines when defrosting is required and start it automatically Inverter Compressor : Inverter compressor helps maintain a stable temperature inside refrigerator for longer freshness and while consuming less energy Rapid Freeze Technology : The Hybrid Evaporator (Freezer) with a Powerful Compressor, Thicker PUFF Insulation, and a Quartz-Coated Alloy Ice Tray in the Lloyd Direct Cool Refrigerator delivers superfast cooling, making ice in 29 minutes Home Inverter Connect : It automatically connects to your home inverter during power failures, ensuring consistent cooling and helping maintain freshness for longer without any worries Bactshield : Bactshield technology prevents up to 99 %* of bacterial growth and gives long-lasting freshness to your food Viruzsafe : Special coating on Refrigerator handle kills bacteria, 100+ microbes and 99 % viruses. Regular handles can harbor viruses and bacteria, but this coated handle prevents their unintentional spread Honeycomb Crisper : The crisper cover is designed in a way that it locks moisture in your veggies and fruits, and helps maintain the optimum humidity for longer freshness Fleximax Design : Adjustable glass shelves to help you use space inside the refrigerator efficiently according to your needs and provide multiple storage spaces for items of different shapes & sizes",https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/p/a/pastel_yellow_front_with_panel.jpg,N/A,N/A,"ul, CE, isi, Ce, ISI, ce",onsWashing,India,N/A
Havells,Lloyd_Refrigerators,direct-cool,https://havells.com/lloyd/home-appliances/refrigerators/direct-cool-refrigerator/195-l-direct-cool-refrigerator-5-star-pastel-green-gldf215spga4lc.html,,Standard,SKUGLDF215SPGA4LC,30090.00,19500.00,N/A,"Key Features Auto Defrost : Auto Defrost Function is designed for convenience, allowing you to use Refrigerator without worrying about defrosting. Lloyd Auto Defrost Technology based on multiple sensors; Light Sensor, Motion Sensor & Temperature Sensor. Based on these 3 sensors, Lloyd Refrigerator determines when defrosting is required and start it automatically Inverter Compressor : Inverter compressor helps maintain a stable temperature inside refrigerator for longer freshness and while consuming less energy Rapid Freeze Technology : The Hybrid Evaporator (Freezer) with a Powerful Compressor, Thicker PUFF Insulation, and a Quartz-Coated Alloy Ice Tray in the Lloyd Direct Cool Refrigerator delivers superfast cooling, making ice in 29 minutes Home Inverter Connect : It automatically connects to your home inverter during power failures, ensuring consistent cooling and helping maintain freshness for longer without any worries Bactshield : Bactshield technology prevents up to 99 %* of bacterial growth and gives long-lasting freshness to your food Viruzsafe : Special coating on Refrigerator handle kills bacteria, 100+ microbes and 99 % viruses. Regular handles can harbor viruses and bacteria, but this coated handle prevents their unintentional spread Honeycomb Crisper : The crisper cover is designed in a way that it locks moisture in your veggies and fruits, and helps maintain the optimum humidity for longer freshness Fleximax Design : Adjustable glass shelves to help you use space inside the refrigerator efficiently according to your needs and provide multiple storage spaces for items of different shapes & sizes",https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/p/a/pastel_green_front_with_panel.jpg,N/A,N/A,"ul, CE, isi, Ce, ISI, ce",onsWashing,India,N/A
Havells,Lloyd_Refrigerators,direct-cool,https://havells.com/lloyd/home-appliances/refrigerators/direct-cool-refrigerator/216-l-direct-cool-refrigerator-4-star-pastel-yellow-gldf244spya4lc.html,,Standard,SKUGLDF244SPYA4LC,33390.00,21500.00,N/A,"Key Features Auto Defrost : Auto Defrost Function is designed for convenience, allowing you to use Refrigerator without worrying about defrosting. Lloyd Auto Defrost Technology based on multiple sensors; Light Sensor, Motion Sensor & Temperature Sensor. Based on these 3 sensors, Lloyd Refrigerator determines when defrosting is required and start it automatically Inverter Compressor : Inverter compressor helps maintain a stable temperature inside refrigerator for longer freshness and while consuming less energy Rapid Freeze Technology : The Hybrid Evaporator (Freezer) with a Powerful Compressor, Thicker PUFF Insulation, and a Quartz-Coated Alloy Ice Tray in the Lloyd Direct Cool Refrigerator delivers superfast cooling, making ice in 29 minutes Home Inverter Connect : It automatically connects to your home inverter during power failures, ensuring consistent cooling and helping maintain freshness for longer without any worries Bactshield : Bactshield technology prevents up to 99 %* of bacterial growth and gives long-lasting freshness to your food Viruzsafe : Special coating on Refrigerator handle kills bacteria, 100+ microbes and 99 % viruses. Regular handles can harbor viruses and bacteria, but this coated handle prevents their unintentional spread Honeycomb Crisper : The crisper cover is designed in a way that it locks moisture in your veggies and fruits, and helps maintain the optimum humidity for longer freshness Fleximax Design : Adjustable glass shelves to help you use space inside the refrigerator efficiently according to your needs and provide multiple storage spaces for items of different shapes & sizes",https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/p/a/pastel_yellow_right_with_panel_1.jpg,N/A,N/A,"ul, CE, isi, Ce, ISI, ce",onsWashing,India,N/A
Havells,Lloyd_Refrigerators,direct-cool,https://havells.com/lloyd/home-appliances/refrigerators/direct-cool-refrigerator/216-l-direct-cool-refrigerator-4-star-pastel-green-gldf244spga4lc.html,,Standard,SKUGLDF244SPGA4LC,33390.00,21500.00,N/A,"Key Features Auto Defrost : Auto Defrost Function is designed for convenience, allowing you to use Refrigerator without worrying about defrosting. Lloyd Auto Defrost Technology based on multiple sensors; Light Sensor, Motion Sensor & Temperature Sensor. Based on these 3 sensors, Lloyd Refrigerator determines when defrosting is required and start it automatically Inverter Compressor : Inverter compressor helps maintain a stable temperature inside refrigerator for longer freshness and while consuming less energy Rapid Freeze Technology : The Hybrid Evaporator (Freezer) with a Powerful Compressor, Thicker PUFF Insulation, and a Quartz-Coated Alloy Ice Tray in the Lloyd Direct Cool Refrigerator delivers superfast cooling, making ice in 29 minutes Home Inverter Connect : It automatically connects to your home inverter during power failures, ensuring consistent cooling and helping maintain freshness for longer without any worries Bactshield : Bactshield technology prevents up to 99 %* of bacterial growth and gives long-lasting freshness to your food Viruzsafe : Special coating on Refrigerator handle kills bacteria, 100+ microbes and 99 % viruses. Regular handles can harbor viruses and bacteria, but this coated handle prevents their unintentional spread Honeycomb Crisper : The crisper cover is designed in a way that it locks moisture in your veggies and fruits, and helps maintain the optimum humidity for longer freshness Fleximax Design : Adjustable glass shelves to help you use space inside the refrigerator efficiently according to your needs and provide multiple storage spaces for items of different shapes & sizes",https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/p/a/pastel_green_front_with_panel_1.jpg,N/A,N/A,"ul, CE, isi, Ce, ISI, ce",onsWashing,India,N/A
Havells,Lloyd_Refrigerators,direct-cool,https://havells.com/lloyd/home-appliances/refrigerators/direct-cool-refrigerator/195-l-direct-cool-refrigerator-5-star-pastel-yellow-gldf215spyt4lc.html,,Standard,SKUGLDF215SPYT4LC,28590.00,18500.00,N/A,"Key Features Inverter Compressor : Inverter compressor helps maintain a stable temperature inside refrigerator for longer freshness and while consuming less energy Home Inverter Connect : It automatically connects to your home inverter during power failures,ensuring consistent cooling and helping maintain freshness for longer without any worries Rapid Freeze Technology : The Hybrid Evaporator (Freezer) with a Powerful Compressor, Thicker PUFF Insulation, and a Quartz-Coated Alloy Ice Tray in the Lloyd Direct Cool Refrigerator delivers superfast cooling, making ice in 29 minutes Bactshield : Bactshield technology prevents up to 99 %* of bacterial growth and gives long-lasting freshness to your food Viruzsafe : Special coating on Refrigerator handle kills bacteria, 100+ microbes and 99 % viruses. Regular handles can harbor viruses and bacteria, but this coated handle prevents their unintentional spread Honeycomb Crisper : The crisper cover is designed in a way that it locks moisture in your veggies and fruits, and helps maintain the optimum humidity for longer freshness Fleximax Design : Adjustable glass shelves to help you use space inside the refrigerator efficiently according to your needs and provide multiple storage spaces for items of different shapes & sizes Concealed Capillary & Suction (CCS) : The concealed capillary & suction technology enhances cooling by keeping the refrigerants in the body of the refrigerator. It improves the cooling efficiency of Lloyd refrigerators",https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/p/a/pastel_yellow_front.jpg,N/A,N/A,"ul, CE, isi, Ce, ISI, ce",onsWashing,India,N/A
Havells,Lloyd_Refrigerators,direct-cool,https://havells.com/lloyd/home-appliances/refrigerators/direct-cool-refrigerator/195-l-direct-cool-refrigerator-5-star-pastel-green-gldf215spgt4lc.html,,Standard,SKUGLDF215SPGT4LC,28590.00,18500.00,N/A,"Key Features Inverter Compressor : Inverter compressor helps maintain a stable temperature inside refrigerator for longer freshness and while consuming less energy Home Inverter Connect : It automatically connects to your home inverter during power failures,ensuring consistent cooling and helping maintain freshness for longer without any worries Rapid Freeze Technology : The Hybrid Evaporator (Freezer) with a Powerful Compressor, Thicker PUFF Insulation, and a Quartz-Coated Alloy Ice Tray in the Lloyd Direct Cool Refrigerator delivers superfast cooling, making ice in 29 minutes Bactshield : Bactshield technology prevents up to 99 %* of bacterial growth and gives long-lasting freshness to your food Viruzsafe : Special coating on Refrigerator handle kills bacteria, 100+ microbes and 99 % viruses. Regular handles can harbor viruses and bacteria, but this coated handle prevents their unintentional spread Honeycomb Crisper : The crisper cover is designed in a way that it locks moisture in your veggies and fruits, and helps maintain the optimum humidity for longer freshness Fleximax Design : Adjustable glass shelves to help you use space inside the refrigerator efficiently according to your needs and provide multiple storage spaces for items of different shapes & sizes Concealed Capillary & Suction (CCS) : The concealed capillary & suction technology enhances cooling by keeping the refrigerants in the body of the refrigerator. It improves the cooling efficiency of Lloyd refrigerators",https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/p/a/pastel_green_front.jpg,N/A,N/A,"ul, CE, isi, Ce, ISI, ce",onsWashing,India,N/A
Havells,Lloyd_Refrigerators,direct-cool,https://havells.com/lloyd/home-appliances/refrigerators/direct-cool-refrigerator/240-l-direct-cool-refrigerator-3-star-ornate-purple-gldf273sopb2lc.html,,Standard,SKUGLDF273SOPB2LC,36990.00,24300.00,N/A,"Key Features Inverter Compressor : Inverter compressor helps maintain a stable temperature inside refrigerator for longer freshness and while consuming less energy Home Inverter Connect : It automatically connects to your home inverter during power failures,ensuring consistent cooling and helping maintain freshness for longer without any worries Rapid Freeze Technology : The Hybrid Evaporator (Freezer) with a Powerful Compressor, Thicker PUFF Insulation, and a Quartz-Coated Alloy Ice Tray in the Lloyd Direct Cool Refrigerator delivers superfast cooling, making ice in 29 minutes Bactshield : Bactshield technology prevents up to 99 %* of bacterial growth and gives long-lasting freshness to your food Viruzsafe : Special coating on Refrigerator handle kills bacteria, 100+ microbes and 99 % viruses. Regular handles can harbor viruses and bacteria, but this coated handle prevents their unintentional spread Honeycomb Crisper : The crisper cover is designed in a way that it locks moisture in your veggies and fruits, and helps maintain the optimum humidity for longer freshness Fleximax Design : Adjustable glass shelves to help you use space inside the refrigerator efficiently according to your needs and provide multiple storage spaces for items of different shapes & sizes Concealed Capillary & Suction (CCS) : The concealed capillary & suction technology enhances cooling by keeping the refrigerants in the body of the refrigerator. It improves the cooling efficiency of Lloyd refrigerators",https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/g/l/gldf273sopb2lc_4_.jpg,N/A,N/A,"ul, CE, isi, Ce, ISI, ce",onsWashing,India,N/A
Havells,Lloyd_Refrigerators,direct-cool,https://havells.com/lloyd/home-appliances/refrigerators/direct-cool-refrigerator/240-l-direct-cool-refrigerator-3-star-ornate-wine-gldf273sowb2lc.html,,Standard,SKUGLDF273SOWB2LC,36990.00,24300.00,N/A,"Key Features Inverter Compressor : Inverter compressor helps maintain a stable temperature inside refrigerator for longer freshness and while consuming less energy Home Inverter Connect : It automatically connects to your home inverter during power failures,ensuring consistent cooling and helping maintain freshness for longer without any worries Rapid Freeze Technology : The Hybrid Evaporator (Freezer) with a Powerful Compressor, Thicker PUFF Insulation, and a Quartz-Coated Alloy Ice Tray in the Lloyd Direct Cool Refrigerator delivers superfast cooling, making ice in 29 minutes Bactshield : Bactshield technology prevents up to 99 %* of bacterial growth and gives long-lasting freshness to your food Viruzsafe : Special coating on Refrigerator handle kills bacteria, 100+ microbes and 99 % viruses. Regular handles can harbor viruses and bacteria, but this coated handle prevents their unintentional spread Honeycomb Crisper : The crisper cover is designed in a way that it locks moisture in your veggies and fruits, and helps maintain the optimum humidity for longer freshness Fleximax Design : Adjustable glass shelves to help you use space inside the refrigerator efficiently according to your needs and provide multiple storage spaces for items of different shapes & sizes Concealed Capillary & Suction (CCS) : The concealed capillary & suction technology enhances cooling by keeping the refrigerants in the body of the refrigerator. It improves the cooling efficiency of Lloyd refrigerators",https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/g/l/gldf273sowb2lc_5_.jpg,N/A,N/A,"ul, CE, isi, Ce, ISI, ce",onsWashing,India,N/A
Havells,Lloyd_Refrigerators,direct-cool,https://havells.com/lloyd/home-appliances/refrigerators/direct-cool-refrigerator/240-l-direct-cool-refrigerator-2-star-ornate-purple-gldc272sopt2gc.html,,Standard,SKUGLDC272SOPT2GC,28490.00,21500.00,N/A,"Key Features Rapid Freeze Technology : The Hybrid Evaporator (Freezer) with a Powerful Compressor, Thicker PUFF Insulation, and a Quartz-Coated Alloy Ice Tray in the Lloyd Direct Cool Refrigerator delivers superfast cooling, making ice in 29 minutes Bactshield : Bactshield technology prevents up to 99 %* of bacterial growth and gives long-lasting freshness to your food Viruzsafe : Special coating on Refrigerator handle kills bacteria, 100+ microbes and 99 % viruses. Regular handles can harbor viruses and bacteria, but this coated handle prevents their unintentional spread Honeycomb Crisper : The crisper cover is designed in a way that it locks moisture in your veggies and fruits, and helps maintain the optimum humidity for longer freshness Fleximax Design : Adjustable glass shelves to help you use space inside the refrigerator efficiently according to your needs and provide multiple storage spaces for items of different shapes & sizes Concealed Capillary & Suction (CCS) : The concealed capillary & suction technology enhances cooling by keeping the refrigerants in the body of the refrigerator. It improves the cooling efficiency of Lloyd refrigerators Quick Chilling Zone : A specialized zone for Quick Chilling and this zone is perfect to store milk packets and other dairy products Antibacterial Gasket : Health-friendly gasket that keeps bacteria out and maintains hygiene inside",https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/g/l/gldc272sopt2gc_3_.jpg,N/A,N/A,"ul, CE, isi, Ce, ISI, ce",onsWashing,India,N/A
Havells,Lloyd_Refrigerators,direct-cool,https://havells.com/lloyd/home-appliances/refrigerators/direct-cool-refrigerator/240-l-direct-cool-refrigerator-2-star-ornate-wine-gldc272sowt2gc.html,,Standard,SKUGLDC272SOWT2GC,28490.00,21500.00,N/A,"Key Features Rapid Freeze Technology : The Hybrid Evaporator (Freezer) with a Powerful Compressor, Thicker PUFF Insulation, and a Quartz-Coated Alloy Ice Tray in the Lloyd Direct Cool Refrigerator delivers superfast cooling, making ice in 29 minutes Bactshield : Bactshield technology prevents up to 99 %* of bacterial growth and gives long-lasting freshness to your food Viruzsafe : Special coating on Refrigerator handle kills bacteria, 100+ microbes and 99 % viruses. Regular handles can harbor viruses and bacteria, but this coated handle prevents their unintentional spread Honeycomb Crisper : The crisper cover is designed in a way that it locks moisture in your veggies and fruits, and helps maintain the optimum humidity for longer freshness Fleximax Design : Adjustable glass shelves to help you use space inside the refrigerator efficiently according to your needs and provide multiple storage spaces for items of different shapes & sizes Concealed Capillary & Suction (CCS) : The concealed capillary & suction technology enhances cooling by keeping the refrigerants in the body of the refrigerator. It improves the cooling efficiency of Lloyd refrigerators Quick Chilling Zone : A specialized zone for Quick Chilling and this zone is perfect to store milk packets and other dairy products Antibacterial Gasket : Health-friendly gasket that keeps bacteria out and maintains hygiene inside",https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/g/l/gldc272sowt2gc_4_.jpg,N/A,N/A,"ul, CE, isi, Ce, ISI, ce",onsWashing,India,N/A
