Brand,Main_Category,Sub_Category,Source_URL,Model_Name,Variant_Description,SKU,MRP,Selling_Price,Dealer_Price,Product_Description,Image_URL,Warranty,Datasheet_URL,Certifications,BIS_Registration,Country_of_Origin,HSN_Code
Havells,Lloyd_TV,televisions,https://havells.com/lloyd/home-appliances/tv-s/qled-vision-pro-television-139-m55ps850g-gl55u4p3cp.html,,Standard,SKUGL55U4P3CP,67900.00,51252.00,N/A,"Key Features QLED Vision Pro+ : Elevate your viewing experience and get closer to reality like never before with 94 % color gamut 4K Ultra HD : UHD resolution refers to 3840 pixels x 2160 pixels bifurcation of the LED Screen, which is around 4 times higher than full HD TVs; and results in an ultra- sharp picture quality. 4K Upscaler : A UHD Upscaler upgrades FHD signal to near-4K quality to deliver powerful details, allowing viewers to enjoy 4K picture quality even with FHD signal. Instead of simply amplifying every pixel by 4 times, Lloyd’s 4K Upscaler computes the colour of adjacent pixels as well, to compensate accordingly, for a more vivid image.",https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/4/3/43ps850g.jpg,N/A,N/A,"ce, ISI, Ce, ul, Ul, isi, CE",on,India,N/A
Havells,Lloyd_TV,televisions,https://havells.com/lloyd/home-appliances/tv-s/qled-television-189-m-75qx900g-gl75u5f3io.html,,Standard,SKUGL75U5F3IO,183900.00,94900.00,N/A,"Key Features QLED Panel : QLED panel delivers on screen a wider range of colors for a real life image. 4K Ultra HD : UHD resolution refers to 3840 pixels x 2160 pixels bifurcation of the LED Screen, which is around 4 times higher than full HD TVs; and results in an ultra- sharp picture quality. Far Field Technology : Conveniently use Google Assistant built-in to control your TV without using the TV remote. Hands free operation.",https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/7/5/75qx900g.jpg,N/A,N/A,"ce, ISI, Ce, ul, Ul, isi, CE",on,India,N/A
Havells,Lloyd_TV,televisions,https://havells.com/lloyd/home-appliances/tv-s/led-tv-65-inch-smart-qled-tv-65qs850g-gl65u4i3jq.html,,Standard,SKUGL65U4I3JQ,91900.00,58900.00,N/A,"Key Features QLED Panel : QLED panel delivers on screen a wider range of colors for a real life image. 4K Ultra HD : UHD resolution refers to 3840 pixels x 2160 pixels bifurcation of the LED Screen, which is around 4 times higher than full HD TVs; and results in an ultra- sharp picture quality. Far Field Technology : Conveniently use Google Assistant built-in to control your TV without using the TV remote. Hands free operation.",https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/6/5/65qs850g.jpg,N/A,N/A,"ce, ISI, Ce, ul, Ul, isi, CE",on,India,N/A
Havells,Lloyd_TV,televisions,https://havells.com/lloyd/home-appliances/tv-s/led-tv-65-inch-smart-qwcg-tv-65ps850g-gl65u4i3jp.html,,Standard,SKUGL65U4I3JP,91900.00,58900.00,N/A,"Key Features QLED Vision Pro+ : Elevate your viewing experience and get closer to reality like never before with 94 % color gamut 4K Ultra HD : UHD resolution refers to 3840 pixels x 2160 pixels bifurcation of the LED Screen, which is around 4 times higher than full HD TVs; and results in an ultra- sharp picture quality. 4K Upscaler : A UHD Upscaler upgrades FHD signal to near-4K quality to deliver powerful details, allowing viewers to enjoy 4K picture quality even with FHD signal. Instead of simply amplifying every pixel by 4 times, Lloyd’s 4K Upscaler computes the colour of adjacent pixels as well, to compensate accordingly, for a more vivid image.",https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/6/5/65ps850g.jpg,N/A,N/A,"ce, ISI, Ce, ul, Ul, isi, CE",on,India,N/A
Havells,Lloyd_TV,televisions,https://havells.com/lloyd/home-appliances/tv-s/qled-vision-pro-television-126-m-50ps850g-gl50u5h3jp.html,,Standard,SKUGL50U5H3JP,50500.00,34600.00,N/A,"Key Features QLED Vision Pro+ : Elevate your viewing experience and get closer to reality like never before with 94 % color gamut 4K Ultra HD : UHD resolution refers to 3840 pixels x 2160 pixels bifurcation of the LED Screen, which is around 4 times higher than full HD TVs; and results in an ultra- sharp picture quality. 4K Upscaler : A UHD Upscaler upgrades FHD signal to near-4K quality to deliver powerful details, allowing viewers to enjoy 4K picture quality even with FHD signal. Instead of simply amplifying every pixel by 4 times, Lloyd’s 4K Upscaler computes the colour of adjacent pixels as well, to compensate accordingly, for a more vivid image.",https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/5/0/50ps850g.jpg,N/A,N/A,"ce, ISI, Ce, ul, Ul, isi, CE",on,India,N/A
Havells,Lloyd_TV,televisions,https://havells.com/lloyd/home-appliances/tv-s/led-tv-43-inch-uhd-gl43u4d3go-43qx900h-gl43u4d3go.html,,Standard,SKUGL43U4D3GO,49900.00,32000.00,N/A,"Key Features QLED Panel : QLED panel delivers on screen a wider range of colors for a real life image. 4K Ultra HD : UHD resolution refers to 3840 pixels x 2160 pixels bifurcation of the LED Screen, which is around 4 times higher than full HD TVs; and results in an ultra- sharp picture quality. Far Field Technology : Conveniently use Google Assistant built-in to control your TV without using the TV remote. Hands free operation.",https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/4/3/43qx900h.jpg,N/A,N/A,"ce, ISI, Ce, ul, Ul, isi, CE",on,India,N/A
Havells,Lloyd_TV,televisions,https://havells.com/lloyd/home-appliances/tv-s/led-tv-43-inch-qled-gl43u4d3cp-43ps850g-gl43u4d3cp.html,,Standard,SKUGL43U4D3CP,46500.00,29500.00,N/A,"Key Features QLED Vision Pro+ : Elevate your viewing experience and get closer to reality like never before with 94 % color gamut 4K Ultra HD : UHD resolution refers to 3840 pixels x 2160 pixels bifurcation of the LED Screen, which is around 4 times higher than full HD TVs; and results in an ultra- sharp picture quality. 4K Upscaler : A UHD Upscaler upgrades FHD signal to near-4K quality to deliver powerful details, allowing viewers to enjoy 4K picture quality even with FHD signal. Instead of simply amplifying every pixel by 4 times, Lloyd’s 4K Upscaler computes the colour of adjacent pixels as well, to compensate accordingly, for a more vivid image.",https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/4/3/43ps850g_2_.jpg,N/A,N/A,"ce, ISI, Ce, ul, Ul, isi, CE",on,India,N/A
Havells,Lloyd_TV,televisions,https://havells.com/lloyd/home-appliances/tv-s/led-tv-43-inch-gtv-gl43f4v3eg-43fx600h-gl43f4v3eg.html,,Standard,SKUGL43F4V3EG,39500.00,24300.00,N/A,"Key Features HDR10 : Delivering stunning visuals including brighter highlights, deeper shadows and a broader range of colors Dual Band Wi-Fi : Double the advantage with usage of both 2.4 GHz and 5 GHz frequency which lets you enjoy higher internet speeds. Google Assistant : It offers a virtual personal assistant experience by utilizing a natural language speech interface, enabling you to accomplish a wide range of tasks through voice commands",https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/4/3/43fx600h_2_.jpg,N/A,N/A,"ce, ISI, Ce, ul, Ul, isi, CE",on,India,N/A
Havells,Lloyd_TV,televisions,https://havells.com/lloyd/home-appliances/tv-s/led-tv-43-inch-fhd-gl43f4v2ym-43fs501g-gl43f4v2ym.html,,Standard,SKUGL43F4V2YM,38900.00,24300.00,N/A,"Key Features HDR10 : Delivering stunning visuals including brighter highlights, deeper shadows and a broader range of colors Dual Band Wi-Fi : Double the advantage with usage of both 2.4 GHz and 5 GHz frequency which lets you enjoy higher internet speeds. Magic Remote : Easily navigate through, select content using Air mouse and click wheel function",https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/4/3/43fs501g.jpg,N/A,N/A,"ce, ISI, Ce, ul, Ul, isi, CE",on,India,N/A
Havells,Lloyd_TV,televisions,https://havells.com/lloyd/home-appliances/tv-s/led-tv-43-inch-smart-gl43f4v2rc-43fs411h-gl43f4v2rc.html,,Standard,SKUGL43F4V2RC,35900.00,23000.00,N/A,Key Features Bezelless design : Crafted with artistic intent to enhance the aesthetic appeal of your space 20 W Sound : Experience every nuance of your preferred content with pristine and vibrant audio Wide viewing angle : An A+ grade panel designed to enhance your visibility of details from limited viewing angles,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/4/3/43fs411h_2_.jpg,N/A,N/A,"ce, ISI, Ce, ul, Ul, isi, CE",bility,India,N/A
