Brand,Main_Category,Sub_Category,Source_URL,Model_Name,Variant_Description,SKU,MRP,Selling_Price,Dealer_Price,Product_Description,Image_URL,Warranty,Datasheet_URL,Certifications,BIS_Registration,Country_of_Origin,HSN_Code
Havells,Lloyd_Washing_Machines,semi-automatic,https://havells.com/lloyd/home-appliances/washing-machines/semi-automatic/aria-semi-automatic-90-kg-glws905aonib.html,,Standard,SKUGLWS905AONIB,17990.00,14990.00,N/A,"Key Features 5 Star Rating : BEE (Bureau of Energy Efficiency) has rated this machine with highest 5 Star rating. Consumes minimum energy and water with best wash performance Detergent Dock: Convenient Storage Zone Stylish & Strong Plastic Lids Swift Dry: Helps in better drying Scrubbing Zone : Big Scrubbing Zone in wash tub to remove hard stains Stainless Steel Mesh Filter : Get the most hygienic wash, thanks to Its unique double valve design which helps in better lint collection Aqua Balancer : Water filled double layered balancer reduces Vibrations during Spinning Durable Motor F-Class Insulation : Ensures longer life Wash Program: Gentle / Normal / Strong",https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/g/l/glws905aonib_1_.jpg,N/A,N/A,"ul, isi, ISI, Ce, ce, BEE, CE",onsWashing,India,N/A
Havells,Lloyd_Washing_Machines,semi-automatic,https://havells.com/lloyd/home-appliances/washing-machines/semi-automatic/aria-semi-automatic-80-kg-glws805aoddm.html,,Standard,SKUGLWS805AODDM,16490.00,12990.00,N/A,"Key Features 5 Star Rating : BEE (Bureau of Energy Efficiency) has rated this machine with highest 5 Star rating. Consumes minimum energy and water with best wash performance Detergent Dock: Convenient Storage Zone Stylish & Strong Plastic Lids Swift Dry: Helps in better drying Scrubbing Zone : Big Scrubbing Zone in wash tub to remove hard stains Stainless Steel Mesh Filter + 2 Way Magic Filter : Get the most hygienic wash, thanks to Its unique double valve design which helps in better lint collection Aqua Balancer : Water filled double layered balancer reduces Vibrations during Spinning Durable Motor F-Class Insulation : Ensures longer life Wash Program: Gentle / Normal / Strong",https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/g/l/glws805aoddm_3__1.jpg,N/A,N/A,"ul, isi, ISI, Ce, ce, BEE, CE",onsWashing,India,N/A
Havells,Lloyd_Washing_Machines,semi-automatic,https://havells.com/lloyd/home-appliances/washing-machines/semi-automatic/aria-semi-automatic-80-kg-glws805aodib.html,,Standard,SKUGLWS805AODIB,16490.00,12990.00,N/A,"Key Features 5 Star Rating : BEE (Bureau of Energy Efficiency) has rated this machine with highest 5 Star rating. Consumes minimum energy and water with best wash performance Detergent Dock: Convenient Storage Zone Stylish & Strong Plastic Lids Swift Dry: Helps in better drying Scrubbing Zone : Big Scrubbing Zone in wash tub to remove hard stains Stainless Steel Mesh Filter + 2 Way Magic Filter : Get the most hygienic wash, thanks to Its unique double valve design which helps in better lint collection Aqua Balancer : Water filled double layered balancer reduces Vibrations during Spinning Durable Motor F-Class Insulation : Ensures longer life Wash Program: Gentle / Normal / Strong",https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/g/l/glws805aodib.jpg,N/A,N/A,"ul, isi, ISI, Ce, ce, BEE, CE",onsWashing,India,N/A
Havells,Lloyd_Washing_Machines,semi-automatic,https://havells.com/lloyd/home-appliances/washing-machines/semi-automatic/aria-semi-automatic-70-kg-glws705aoddm.html,,Standard,SKUGLWS705AODDM,13990.00,11290.00,N/A,"Key Features 5 Star Rating : BEE (Bureau of Energy Efficiency) has rated this machine with highest 5 Star rating. Consumes minimum energy and water with best wash performance Detergent Dock: Convenient Storage Zone Stylish & Strong Plastic Lids Swift Dry: Helps in better drying Scrubbing Zone : Big Scrubbing Zone in wash tub to remove hard stains 2 Way Magic Filter : Get the most hygienic wash, thanks to Its unique double valve design which helps in better lint collection Aqua Balancer : Water filled double layered balancer reduces Vibrations during Spinning Durable Motor F-Class Insulation : Ensures longer life Wash Program: Gentle / Normal / Strong",https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/g/l/glws705aoddm_1_.jpg,N/A,N/A,"ul, isi, ISI, Ce, ce, BEE, CE",onsWashing,India,N/A
Havells,Lloyd_Washing_Machines,semi-automatic,https://havells.com/lloyd/home-appliances/washing-machines/semi-automatic/aria-semi-automatic-70-kg-glws705aodib.html,,Standard,SKUGLWS705AODIB,13990.00,11290.00,N/A,"Key Features 5 Star Rating : BEE (Bureau of Energy Efficiency) has rated this machine with highest 5 Star rating. Consumes minimum energy and water with best wash performance Detergent Dock: Convenient Storage Zone Stylish & Strong Plastic Lids Swift Dry: Helps in better drying Scrubbing Zone : Big Scrubbing Zone in wash tub to remove hard stains 2 Way Magic Filter : Get the most hygienic wash, thanks to Its unique double valve design which helps in better lint collection Aqua Balancer : Water filled double layered balancer reduces Vibrations during Spinning Durable Motor F-Class Insulation : Ensures longer life Wash Program: Gentle / Normal / Strong",https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/g/l/glws705aodib_1_.jpg,N/A,N/A,"ul, isi, ISI, Ce, ce, BEE, CE",onsWashing,India,N/A
Havells,Lloyd_Washing_Machines,semi-automatic,https://havells.com/lloyd/home-appliances/washing-machines/semi-automatic/aria-semi-automatic-75-kg-glws755aodvg.html,,Standard,SKUGLWS755AODVG,15490.00,11990.00,N/A,"Key Features 5 Star Rating : BEE (Bureau of Energy Efficiency) has rated this machine with highest 5 Star rating. Consumes minimum energy and water with best wash performance Detergent Dock: Convenient Storage Zone Stylish & Strong Plastic Lids Swift Dry: Helps in better drying Scrubbing Zone : Big Scrubbing Zone in wash tub to remove hard stains 2 Way Magic Filter : Get the most hygienic wash, thanks to Its unique double valve design which helps in better lint collection Aqua Balancer : Water filled double layered balancer reduces Vibrations during Spinning Durable Motor F-Class Insulation : Ensures longer life Wash Program: Gentle / Normal / Strong",https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/g/l/glws755aodvg.jpg,N/A,N/A,"ul, isi, ISI, Ce, ce, BEE, CE",onsWashing,India,N/A
Havells,Lloyd_Washing_Machines,semi-automatic,https://havells.com/lloyd/home-appliances/washing-machines/semi-automatic/magnum-semi-automatic-110-kg-glwms11adgma.html,,Standard,SKUGLWMS11ADGMA,21990.00,15490.00,N/A,"Key Features 5 star rating : BEE (Bureau of Energy Efficiency) has rated this machine with highest “5 star” rating. Consumes minimum energy and water with best wash performance Transparent Wash Basin Design Lids : The convenient wash basin design of Lloyd washing machines lets you scrub off stubborn dirt and stains from your clothes in the machine itself instead of doing it separately 4 Wash Program : Additional wash program ‘Strongest’ gives extra power to washing, thus resulting best possible wash performance in a semi-automatic washing machine. Magic Filter : The Magic Filter feature prevents any build-up of lint and soap in the laundry tub. Additionally, it also collects threads and lint that come out of clothes during washing, which can be later removed manually. Swift Dry : Spin Tub rotates at a high RPM, also air enters through the Spin lid perforations help to dry the cloth faster & better. Active Soak : Helps in removing tough dirt and deep-seated stain by letting soak clothes in Detergent water before the washing begins Electro Mechanical Timer : Power Back up- Resumes washing cycle even after Power failure Durable Motor F-Class Insulation : Ensures longer life",https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/g/l/glwms11adgma_5_star.jpg,N/A,N/A,"ul, isi, ISI, Ce, ce, BEE, bee, CE",onsWashing,India,N/A
Havells,Lloyd_Washing_Machines,semi-automatic,https://havells.com/lloyd/home-appliances/washing-machines/semi-automatic/digi-grande-h-semi-automatic-90-kg-glws905gh1vg.html,,Standard,SKUGLWS905GH1VG,27890.00,16990.00,N/A,"Key Features In-built Heater with Digital Panel : Washes and sanitises clothes at a high temperature, removing upto 99.9%* of germs. 8 Wash-Program : Stylish & Contemporary washing machine Tougehend Premium Glass Lids design with soft closing which is Super Silent, most convenient and safe to use. One of the most beautiful clutter breaking washing machine in the industry. Memory Back-up Durable Motor : Lloyd model comes with unique, specially made “Stain remover” wash programs– Delicate, Gentle, Normal & Stain remover wash Programs - Intense, Ultra+ Special Detergent Mix Cycle : Power Back up- Resumes washing cycle even after Power failure Anti Skid Big wheels : Easy to move with help of big size wheel 360° Water Shower : Unique detergent mix helps in efficient mixing of detergent and thus deliver best wash performance Stainless Steel Mesh Filter : Durable Stainless Steel (Higher grade- SS304) mesh ensures better lint collection because the filter is positioned in bottom of tub .",https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/g/l/glws905gh1vg_main.jpg,N/A,N/A,"Ul, ul, isi, ISI, Ce, ce, BEE, bee, CE",onsWashing,India,N/A
Havells,Lloyd_Washing_Machines,semi-automatic,https://havells.com/lloyd/home-appliances/washing-machines/semi-automatic/aria-semi-automatic-70-kg-glws705ardvg.html,,Standard,SKUGLWS705ARDVG,17490.00,11990.00,N/A,"Key Features 5 Star Rating : BEE (Bureau of Energy Efficiency) has rated this machine with highest “5 Star” rating. Consumes minimum energy and water with best wash performance Detergent Dock: Convenient Storage Zone Stylish & Strong Transparent Plastic Lids Swift Dry: Helps in better drying Scrubbing Zone : Big Scrubbing Zone in wash tub to remove hard stains 2 Way Magic Filter : Get the most hygienic wash, thanks to Its unique double valve design which helps in better lint collection Aqua Balancer : Water filled double layered balancer reduces Vibrations during Spinning Durable Motor F-Class Insulation : Ensures longer life Wash Program: Gentle / Normal / Strong",https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/g/l/glws705ardvg_main.jpg,N/A,N/A,"ul, isi, ISI, Ce, ce, BEE, CE",onsWashing,India,N/A
Havells,Lloyd_Washing_Machines,semi-automatic,https://havells.com/lloyd/home-appliances/washing-machines/semi-automatic/aria-semi-automatic-80-kg-glws805arjvg.html,,Standard,SKUGLWS805ARJVG,20490.00,12990.00,N/A,Key Features 5 Star Rating : BEE (Bureau of Energy Efficiency) has rated this machine with highest “5 Star” rating. Consumes minimum energy and water with best wash performance Special Detergent Mix : Unique detergent mix helps in efficient mixing of detergent and thus deliver best wash performance 360° Water Shower : Unique detergent mix helps in efficient mixing of detergent and thus deliver best wash performance Active Soak : Helps in removing tough dirt and deep-seated stain by letting soak clothes in Detergent water before the washing begins Anti Skid Big wheels : Easy to move with help of big size wheel Memory Back-up Detergent Dock : Convenient Storage Zone Stylish & Strong Transparent Plastic Lids Swift Dry : Helps in better drying Aqua Balancer : Water filled double layered balancer reduces Vibrations during Spinning,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/g/l/glws805arjvg_1_.jpg,N/A,N/A,"Ul, ul, isi, ISI, Ce, ce, BEE, CE",onsWashing,India,N/A
