Brand,Main_Category,Sub_Category,Source_URL,Model_Name,Variant_Description,SKU,MRP,Selling_Price,Dealer_Price,Product_Description,Image_URL,Warranty,Datasheet_URL,Certifications,BIS_Registration,Country_of_Origin,HSN_Code
Havells,Personal_Grooming,multi-styling-kit,https://havells.com/home-appliances/personal-grooming/multi-styling-kit/hs4000-beach-wave-styler-ghphhfbkbk00.html,,Standard,SKUGHPHHFBKBK00,4595.00,2899.00,N/A,Key Features 16 mm x 125 mm Barrel Length 6 Adjustable Temperature Settings Cool Insulated Tip LED Digital Display Ceramic Coated Barrel 3 Adjustable Barrel Depth Setting Plate Lock Button 30 Mins Auto Shut Off 1.8 m Power Cord 360° Swivel Cord with Hanging Loop for easy movement and storage,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/g/h/ghphhfbkbk00_4_.jpg,N/A,N/A,"CE, ISI, ul, ce, isi, Ce",onsWashing,India,N/A
Havells,Personal_Grooming,multi-styling-kit,https://havells.com/home-appliances/personal-grooming/multi-styling-kit/hc4085-air-care-volumizing-kit-ghphhjbbsl00.html,,Standard,SKUGHPHHJBBSL00,3495.00,2099.00,N/A,"Key Features Pre Styling : Pre styling half brush comb and Nozzle - Dries the wet hair, to prep for styling Roller Brush : Soft smoothing roller brush - Use for natural straight hair or big curls Styling : Shrinkable style brush - To give volume and shape fine, flat hair Curling : 19 mm curling iron - To create beautiful spiral curls",https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/import/PG/GHPHHJBBSL00.jpg,N/A,N/A,"CE, ISI, ul, ce, isi, Ce",onsWashing,India,N/A
Havells,Personal_Grooming,multi-styling-kit,https://havells.com/home-appliances/personal-grooming/multi-styling-kit/hc4035-hair-dryer-and-straightener-combo-ghphbrpp00.html,,Standard,SKUGHPHBRPP00,2895.00,2199.00,N/A,Key Features Ceramic coated floating plates : Ensure frizz free hair Glamorous looking one stroke straightening Salon-like styling on the go,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/g/h/ghphbrpp00_1_1.jpg,N/A,N/A,"CE, ISI, ul, ce, isi, Ce",onsWashing,India,N/A
Havells,Personal_Grooming,multi-styling-kit,https://havells.com/home-appliances/personal-grooming/multi-styling-kit/hc4055-hair-straightener-and-curler-combo-ghphhfbabk00.html,,Standard,SKUGHPHHFBABK00,3995.00,2550.00,N/A,Key Features Combo Pack of Hair Curler and Straightener :  For perfect straightening and curling Straightener : Elegant special round design with floating ceramic coated plates Curler : 25 mm x 120 mm barrel dimension ensures quick styling Straightener : Plate lock function,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/import/PG/GHPHHFBABK00.jpg,N/A,N/A,"CE, ISI, ul, ce, isi, Ce",onsWashing,India,N/A
Havells,Personal_Grooming,multi-styling-kit,https://havells.com/home-appliances/personal-grooming/multi-styling-kit/hc4045-5-in-1-multi-styling-kit-ghphhjakgn00.html,,Standard,SKUGHPHHJAKGN00,3695.00,2499.00,N/A,"Key Features PTC Heater for Uniform Heating : The ceramic coated plates provide the perfect temperature for the smoothest glide over your hair and a tangle-free experience. Gentle on Hair : Each styling attachment has a ceramic coating for optimal heating performance, which ensures outstanding results along with minimal damage to the hair. High Performance : Continued peak operating temperature of 190 °C for perfect results with minimal damage to the hair. Guarantee : 2 year product Guarantee",https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/import/PG/GHPHHJAKGN00.jpg,N/A,https://havells.com/media/wysiwyg/Brochure-and-pricelist/Female_Grooming/Catalogue_Havells_Female_Grooming.pdf,"CE, ISI, ul, ce, isi, Ce",onsWashing,India,N/A
Havells,Personal_Grooming,hair-straighteners,https://havells.com/home-appliances/personal-grooming/hair-straighteners/hs4101v-hair-straightener-ghphhcbupp00.html,,Standard,SKUGHPHHCBUPP00,1695.00,999.00,N/A,Key Features Ceramic Coated Floating Plates Ready to use in 14 secs 360° Swivel Cord with Hanging Loop Advanced PTC Heating Element 210 °C Highest Temperature Plate Lock System Flexible Rubberized Cord for Convenient usage,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/g/h/ghphhcbupp00_5__1.jpg,N/A,N/A,"CE, ISI, ul, ce, isi, Ce",onsWashing,India,N/A
Havells,Personal_Grooming,hair-straighteners,https://havells.com/home-appliances/personal-grooming/hair-straighteners/hs4104p-hair-straightener-ghphhcbtpk00.html,,Standard,SKUGHPHHCBTPK00,1695.00,849.00,N/A,Key Features Ceramic Coated Floating Plates Ready to use in 14 secs 360° Swivel Cord with Hanging Loop Advanced PTC Heating Element 210 °C Highest Temperature Plate Lock System Flexible Rubberized Cord for Convenient Usage,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/g/h/ghphhcbtpk00_1__3.jpg,N/A,N/A,"CE, ISI, ul, ce, isi, Ce",onsWashing,India,N/A
Havells,Personal_Grooming,hair-straighteners,https://havells.com/catalog/product/view/id/165158/s/hs6000-hair-straightening-brush-ghphhkbhgr00/category/86/,,Standard,SKUGHPHHKBHGR00,3795.00,2499.00,N/A,Key Features Keratin Infused Ceramic Coating LED Temperature Display Adjustable Temperature Setting,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/g/h/ghphhkbhgr00_4__1.jpg,N/A,N/A,"CE, ISI, ul, ce, isi, Ce",onsWashing,India,N/A
Havells,Personal_Grooming,hair-straighteners,https://havells.com/catalog/product/view/id/165155/s/hs4501-hair-crimper-ghphhjbqbk00/category/86/,,Standard,SKUGHPHHJBQBK00,2545.00,1799.00,N/A,"Key Features Ceramic
coated Plates 42 mm x 100 mm Wide Plates Instant Heating
Technology",https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/g/h/ghphhjbqbk00_front_1.jpg,N/A,N/A,"CE, ISI, ul, ce, isi, Ce",onsWashing,India,N/A
Havells,Personal_Grooming,hair-straighteners,https://havells.com/home-appliances/personal-grooming/hair-straighteners/hs4404-argan-revitalizer-hair-straightener-ghphhcbmgn00.html,,Standard,SKUGHPHHCBMGN00,1995.00,1299.00,N/A,Key Features Argan Revitalizer Straightening Instant Heating Technology Root to Tip Straight Look,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/g/h/ghphhcbmgn00_front_1.jpg,N/A,N/A,"CE, ISI, ul, ce, isi, Ce",onsWashing,India,N/A
Havells,Personal_Grooming,hair-straighteners,https://havells.com/home-appliances/personal-grooming/hair-straighteners/hs3406-keranourish-hair-straightener-ghphhcbspk00.html,,Standard,SKUGHPHHCBSPK00,1945.00,1199.00,N/A,Key Features Keratin nourish straightening Instant Heating Technology Root to Tip Straight Look,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/g/h/ghphhcbspk00_front_1.jpg,N/A,N/A,"CE, ISI, ul, ce, isi, Ce",onsWashing,India,N/A
Havells,Personal_Grooming,hair-straighteners,https://havells.com/home-appliances/personal-grooming/hair-straighteners/hs4408-keranourish-hair-straightener-ghphhcbppp00.html,,Standard,SKUGHPHHCBPPP00,1945.00,1199.00,N/A,Key Features Keratin nourish straightening Instant Heating Technology Root to Tip Straight Look,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/g/h/ghphhcbppp00_front_1.jpg,N/A,N/A,"CE, ISI, ul, ce, isi, Ce",onsWashing,India,N/A
Havells,Personal_Grooming,hair-straighteners,https://havells.com/home-appliances/personal-grooming/hair-straighteners/hs4401-keranourish-hair-straightener-ghphhcblbk00.html,,Standard,SKUGHPHHCBLBK00,1945.00,1199.00,N/A,Key Features Keratin nourish straightening Instant Heating Technology Root to Tip Straight Look,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/g/h/ghphhcblbk00_front_1.jpg,N/A,N/A,"CE, ISI, ul, ce, isi, Ce",onsWashing,India,N/A
