Brand,Main_Category,Sub_Category,Source_URL,Model_Name,Variant_Description,SKU,MRP,Selling_Price,Dealer_Price,Approx_Price,Product_Description,Image_URL,Wattage_W,Capacity_L,Warranty,Datasheet_URL,Certifications,BIS_Registration,Country_of_Origin,HSN_Code,Color_Variant
Havells,Small_Appliances,craft-series,https://havells.com/home-appliances/appliances/craft-series/craft-mixer-grinder-ghfmgfqb080.html,,Standard,SKUGHFMGFQB080,15995.00,12495.00,N/A,N/A,Key Features Powerful 800 W BLDC Motor 50 % Quieter Performance Lifetime Warranty on Motor Unique Touch Control Perfect Grinding Mode,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/c/r/craft_mg_1.jpg,800,N/A,N/A,N/A,"isi, ce, Ce, ul, CE, ISI",onsWashing,India,N/A,
Havells,Small_Appliances,craft-series,https://havells.com/home-appliances/appliances/craft-series/craft-rice-cooker-ghcrcsbb070.html,,Standard,SKUGHCRCSBB070,7995.00,5195.00,N/A,N/A,Key Features Triple Safety Protection : Safety and durability built-in Keep Warm Mode : The Keep Warm mode keeps your food perfectly warm for up to 6 hours Capacity : Large 1.8 L Capacity Wattage : 700 W Warranty : 2 Years Product Warranty*,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/g/h/ghcrcsbb070_4_.jpg,700,1.8,Warranty : 2 Years,N/A,"isi, ce, Ce, ul, CE, ISI",onsWashing,India,N/A,
Havells,Small_Appliances,craft-series,https://havells.com/home-appliances/appliances/craft-series/craft-2-slice-pop-up-toaster-ghcptfrb085.html,,Standard,SKUGHCPTFRB085,6295.00,3899.00,N/A,N/A,Key Features 850 W Defrost Mode Reheat Mode Intelligent Operation Custom Browning Level with Timer Display Panel with Touch Control 2 Years Product Warranty*,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/g/h/ghcptfrb085_3_.jpg,850,N/A,N/A,N/A,"isi, ce, Ce, ul, CE, ISI",onsWashing,India,N/A,
Havells,Small_Appliances,craft-series,https://havells.com/home-appliances/appliances/craft-series/craft-electric-kettle-ghbktbcb160.html?color=58,,Black,SKUGHBKTBCB160,6595.00,4199.00,N/A,N/A,Key Features 1.5 L Capacity 1600 W Strix Controller: Enhanced durability with 5X lifespan Intelligent Preset Modes Live Temperature Display Keep Warm,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/g/h/ghbktbcb160.jpg,1600,1.5,N/A,N/A,"isi, ce, Ce, ul, CE, ISI",onsWashing,India,N/A,Black
Havells,Small_Appliances,craft-series,https://havells.com/home-appliances/appliances/craft-series/craft-electric-kettle-ghbktbcb160.html?color=59,,Blue,SKUGHBKTBCB160,6595.00,4199.00,N/A,N/A,Key Features 1.5 L Capacity 1600 W Strix Controller: Enhanced durability with 5X lifespan Intelligent Preset Modes Live Temperature Display Keep Warm,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/g/h/ghbktbcb160.jpg,1600,1.5,N/A,N/A,"isi, ce, Ce, ul, CE, ISI",onsWashing,India,N/A,Blue
Havells,Small_Appliances,craft-series,https://havells.com/home-appliances/appliances/craft-series/craft-hand-blender-ghfhbfpb030.html,,Standard,SKUGHFHBFPB030,2795.00,2495.00,N/A,N/A,Key Features 50 % Quieter Operation Easy Blending with 300 W Power Easy to Clean Body Food Grade Material - SS 304 Shaft and Blade Ergonomic One Button Operation 2 Years Product Warranty*,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/g/h/ghfhbfpb030.jpg,300,N/A,N/A,N/A,"isi, ce, Ce, ul, CE, ISI",onsWashing,India,N/A,
Havells,Small_Appliances,irons,https://havells.com/home-appliances/appliances/irons/fyber-standing-garment-steamer-ghggsdgu160.html,,Standard,SKUGHGGSDGU160,8495.00,4999.00,N/A,N/A,Key Features Powerful Steam Output at 35 g/min Height Adjustable 3 levels 3-Steam Settings Dry Run Protection & Overheat Protection,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/g/h/ghggsdgu160.jpg,N/A,3,N/A,N/A,"isi, ce, ISI certified, Ce, ISI Certified, ul, CE, ISI",onsWashing,India,N/A,
Havells,Small_Appliances,irons,https://havells.com/home-appliances/appliances/irons/vela-hand-held-garment-steamer-ghggsddw110.html,,Standard,SKUGHGGSDDW110,4995.00,2399.00,N/A,N/A,Key Features Powerful Steam Output at 22 g/min 1100 W Stem Generator 100 ml Detachable Tank Dry Run Protection & Overheat Protection,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/g/h/ghggsddw110.jpg,1100,N/A,N/A,N/A,"isi, ce, ISI certified, Ce, ISI Certified, ul, CE, ISI",onsWashing,India,N/A,
Havells,Small_Appliances,irons,https://havells.com/home-appliances/appliances/irons/falcon-hand-held-garment-steamer-ghggsdeb110.html,,Standard,SKUGHGGSDEB110,4995.00,2799.00,N/A,N/A,Key Features Powerful Steam Output at 22 g/min 1100 W Stem Generator 100 ml Detachable Tank Dry Run Protection & Overheat Protection,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/g/h/ghggsdeb110_1.jpg,1100,N/A,N/A,N/A,"isi, ce, ISI certified, Ce, ISI Certified, ul, CE, ISI",onsWashing,India,N/A,
Havells,Small_Appliances,irons,https://havells.com/home-appliances/appliances/dry-irons/delite-standing-garment-steamer-ghggsbrp142.html,,Standard,SKUGHGGSBRP142,8695.00,4999.00,N/A,N/A,Key Features Powerful Steam Output : Powerful Steam Output at 32 g/min steaming rate at maximum setting for that perfect ironing result Large Water Tank Capacity : Large 1.7 L water tank capacity that allows longer duration of ironing before a refill is required Quick Steam Ready Time : Steam ready time is just 50 seconds Ideal for all Kind of Ironing : It is ideal for all kind of ironing requirements as continuous steaming times 45 minutes,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/g/h/ghggsbrp142_1.jpg,N/A,1.7,N/A,N/A,"isi, ce, Ce, ul, CE, ISI",onsWashing,India,N/A,
