Brand,Main_Category,Sub_Category,Source_URL,Model_Name,Variant_Description,SKU,MRP,Selling_Price,Dealer_Price,Approx_Price,Product_Description,Image_URL,Capacity,Poles,Current_Rating_A,Breaking_Capacity_kA,Warranty,Datasheet_URL,Certifications,BIS_Registration,Country_of_Origin,HSN_Code,Product_URL
Havells,Switchgear_Protection,circuit-breaker,https://havells.com/home-electricals/switchgears/circuit-breaker/dhmgctpf063-havells-bcp-1.html?switchgear_ampere_capacity_variant=5873,,2 A,SKUDHMGCTPF002,2023.00,1066.00,N/A,N/A,Key Features Application : Suitable for protection against overload & short circuit for Motor and other Inductive loads Rating : 0.5 A to 63 A Specification : IS/IEC 60898-1 Note: Product images are for illustrative purposes and may differ from the actual product,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/import/Switchgear/DHMGCTPF002.jpg,2 A,N/A,5,N/A,N/A,N/A,"ISI, ul, ce, isi, CE, Ce",onsWashing,India,N/A,
Havells,Switchgear_Protection,circuit-breaker,https://havells.com/home-electricals/switchgears/circuit-breaker/dhmgctpf063-havells-bcp-1.html?switchgear_ampere_capacity_variant=5909,,6 A,SKUDHMGCTPF006,1817.00,959.00,N/A,N/A,Key Features Application : Suitable for protection against overload & short circuit for Motor and other Inductive loads Rating : 0.5 A to 63 A Specification : IS/IEC 60898-1 Note: Product images are for illustrative purposes and may differ from the actual product,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/import/Switchgear/DHMGCTPF006.jpg,6 A,N/A,5,N/A,N/A,N/A,"ISI, ul, ce, isi, CE, Ce",onsWashing,India,N/A,
Havells,Switchgear_Protection,circuit-breaker,https://havells.com/home-electricals/switchgears/circuit-breaker/dhmgctpf063-havells-bcp-1.html?switchgear_ampere_capacity_variant=5858,,10 A,SKUDHMGCTPF010,1817.00,959.00,N/A,N/A,Key Features Application : Suitable for protection against overload & short circuit for Motor and other Inductive loads Rating : 0.5 A to 63 A Specification : IS/IEC 60898-1 Note: Product images are for illustrative purposes and may differ from the actual product,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/import/Switchgear/DHMGCTPF010.jpg,10 A,N/A,5,N/A,N/A,N/A,"ISI, ul, ce, isi, CE, Ce",onsWashing,India,N/A,
Havells,Switchgear_Protection,circuit-breaker,https://havells.com/home-electricals/switchgears/circuit-breaker/dhmgctpf063-havells-bcp-1.html?switchgear_ampere_capacity_variant=5870,,16 A,SKUDHMGCTPF016,1817.00,959.00,N/A,N/A,Key Features Application : Suitable for protection against overload & short circuit for Motor and other Inductive loads Rating : 0.5 A to 63 A Specification : IS/IEC 60898-1 Note: Product images are for illustrative purposes and may differ from the actual product,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/import/Switchgear/DHMGCTPF016.jpg,16 A,N/A,5,N/A,N/A,N/A,"ISI, ul, ce, isi, CE, Ce",onsWashing,India,N/A,
Havells,Switchgear_Protection,circuit-breaker,https://havells.com/home-electricals/switchgears/circuit-breaker/dhmgctpf063-havells-bcp-1.html?switchgear_ampere_capacity_variant=5879,,20 A,SKUDHMGCTPF020,1817.00,959.00,N/A,N/A,Key Features Application : Suitable for protection against overload & short circuit for Motor and other Inductive loads Rating : 0.5 A to 63 A Specification : IS/IEC 60898-1 Note: Product images are for illustrative purposes and may differ from the actual product,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/import/Switchgear/DHMGCTPF020.jpg,20 A,N/A,5,N/A,N/A,N/A,"ISI, ul, ce, isi, CE, Ce",onsWashing,India,N/A,
Havells,Switchgear_Protection,circuit-breaker,https://havells.com/home-electricals/switchgears/circuit-breaker/dhmgctpf063-havells-bcp-1.html?switchgear_ampere_capacity_variant=5882,,25 A,SKUDHMGCTPF025,1817.00,959.00,N/A,N/A,Key Features Application : Suitable for protection against overload & short circuit for Motor and other Inductive loads Rating : 0.5 A to 63 A Specification : IS/IEC 60898-1 Note: Product images are for illustrative purposes and may differ from the actual product,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/import/Switchgear/DHMGCTPF025.jpg,25 A,N/A,5,N/A,N/A,N/A,"ISI, ul, ce, isi, CE, Ce",onsWashing,India,N/A,
Havells,Switchgear_Protection,circuit-breaker,https://havells.com/home-electricals/switchgears/circuit-breaker/dhmgctpf063-havells-bcp-1.html?switchgear_ampere_capacity_variant=5891,,32 A,SKUDHMGCTPF032,1817.00,959.00,N/A,N/A,Key Features Application : Suitable for protection against overload & short circuit for Motor and other Inductive loads Rating : 0.5 A to 63 A Specification : IS/IEC 60898-1 Note: Product images are for illustrative purposes and may differ from the actual product,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/import/Switchgear/DHMGCTPF032.jpg,32 A,N/A,5,N/A,N/A,N/A,"ISI, ul, ce, isi, CE, Ce",onsWashing,India,N/A,
Havells,Switchgear_Protection,circuit-breaker,https://havells.com/home-electricals/switchgears/circuit-breaker/dhmgctpf063-havells-bcp-1.html?switchgear_ampere_capacity_variant=5900,,40 A,SKUDHMGCTPF040,2727.00,1438.00,N/A,N/A,Key Features Application : Suitable for protection against overload & short circuit for Motor and other Inductive loads Rating : 0.5 A to 63 A Specification : IS/IEC 60898-1 Note: Product images are for illustrative purposes and may differ from the actual product,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/import/Switchgear/DHMGCTPF040.jpg,40 A,N/A,5,N/A,N/A,N/A,"ISI, ul, ce, isi, CE, Ce",onsWashing,India,N/A,
Havells,Switchgear_Protection,circuit-breaker,https://havells.com/home-electricals/switchgears/circuit-breaker/dhmgctpf063-havells-bcp-1.html?switchgear_ampere_capacity_variant=5912,,63 A,SKUDHMGCTPF063,2833.00,1494.00,N/A,N/A,Key Features Application : Suitable for protection against overload & short circuit for Motor and other Inductive loads Rating : 0.5 A to 63 A Specification : IS/IEC 60898-1 Note: Product images are for illustrative purposes and may differ from the actual product,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/import/Switchgear/DHMGCTPF063.jpg,63 A,N/A,5,N/A,N/A,N/A,"ISI, ul, ce, isi, CE, Ce",onsWashing,India,N/A,
Havells,Switchgear_Protection,circuit-breaker,https://havells.com/home-electricals/switchgears/circuit-breaker/mcb-sp-c-curve-dhmgcspf032-1.html?switchgear_ampere_capacity_variant=5852,,1 A,SKUDHMGCSPF001,609.00,322.00,N/A,N/A,Key Features Application : Suitable for protection against overload & short circuit for Motor and other Inductive loads Rating : 0.5 A to 63 A Specification : IS/IEC 60898-1 Note: Product images are for illustrative purposes and may differ from the actual product,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/import/Switchgear/DHMGCSPF001.jpg,1 A,N/A,5,N/A,N/A,N/A,"ISI, ul, ce, isi, CE, Ce",onsWashing,India,N/A,
