Brand,Main_Category,Sub_Category,Source_URL,Model_Name,Variant_Description,SKU,MRP,Selling_Price,Dealer_Price,Product_Description,Image_URL,Capacity,Capacity_L,Wattage_W,Heater_Type,Warranty,Datasheet_URL,Certifications,BIS_Registration,Country_of_Origin,HSN_Code,Color_Variant
Havells,Water_Heaters,storage-water-heaters,https://havells.com/home-appliances/water-heaters/storage-water-heaters/magnatron-prime-storage-water-heater-geyser.html?wh_capacity_variant=4119,,15 L,SKUGHWVMGEREW15,30390.00,16290.00,N/A,"Key Features Induction Technoloy: 25 % Faster Heating No Heating element: Scaling Resistant Saves energy: Rs 30,000 saving in 5 Years span: 25 % less yearly electricity consumption Remote Control : Easy operation Feroglas Coated Inner Container: Provides superior corrosion resistance Digital Temperature Display: Temperature setting as per comfort Smart Mode Setting : Auto off & Auto on time Eco Mode: Optimal bathing temperature",https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/m/a/magnatron_prime.jpg,15 L,15,N/A,N/A,N/A,N/A,"Ce, ul, bee, CE, ce, ISI, isi",onsWashing,India,N/A,
Havells,Water_Heaters,storage-water-heaters,https://havells.com/home-appliances/water-heaters/storage-water-heaters/magnatron-prime-storage-water-heater-geyser.html?wh_capacity_variant=4122,,25 L,SKUGHWVMGEREW25,32290.00,17290.00,N/A,"Key Features Induction Technology: 25 % Faster Heating No Heating element: Scaling Resistant Saves energy: Rs 30,000 saving in 5 Years span: 25 % less yearly electricity consumption Remote Control : Easy operation Feroglas Coated Inner Container: Provides superior corrosion resistance Digital Temperature Display: Temperature setting as per comfort Smart Mode Setting : Auto off & Auto on time Eco Mode: Optimal bathing temperature",https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/m/a/magnatron_prime_1.jpg,25 L,25,N/A,N/A,N/A,N/A,"Ce, ul, bee, CE, ce, ISI, isi",onsWashing,India,N/A,
Havells,Water_Heaters,storage-water-heaters,https://havells.com/home-appliances/water-heaters/storage-water-heaters/magnatron-pro-storage-water-heater-geyser.html?wh_capacity_variant=4119,,15 L,SKUGHWVMGEWEW15,27490.00,15590.00,N/A,"Key Features Induction Technology: 25 % Faster Heating No Heating element: Scaling Resistant Saves energy: Rs 30,000 saving in 5 Years span: 25 % less yearly electricity consumption Dual LED Indicator (Warm & Hot): Heating Indication & Power saving Feroglas Coated Inner Container: Provides superior corrosion resistance High Density PUF Insulation : Stores hot water for longer time High Working Pressure 0.8 MPa : Ideal for High rise building Heavy Duty Protective Anode Rod : Protects the inner container from corrosion",https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/m/a/magnatron_pro_1200.jpg,15 L,15,N/A,N/A,N/A,N/A,"Ce, ul, bee, CE, ce, ISI, isi",onsWashing,India,N/A,
Havells,Water_Heaters,storage-water-heaters,https://havells.com/home-appliances/water-heaters/storage-water-heaters/magnatron-pro-storage-water-heater-geyser.html?wh_capacity_variant=4122,,25 L,SKUGHWVMGEWEW25,29390.00,16590.00,N/A,"Key Features Induction Technology: 25 % Faster Heating No Heating element: Scaling Resistant Saves energy: Rs 30,000 saving in 5 Years span: 25 % less yearly electricity consumption Dual LED Indicator (Warm & Hot): Heating Indication & Power saving Feroglas Coated Inner Container: Provides superior corrosion resistance High Density PUF Insulation : Stores hot water for longer time High Working Pressure 0.8 MPa : Ideal for High rise building Heavy Duty Protective Anode Rod : Protects the inner container from corrosion",https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/m/a/magnatron_pro_1200_1.jpg,25 L,25,N/A,N/A,N/A,N/A,"Ce, ul, bee, CE, ce, ISI, isi",onsWashing,India,N/A,
Havells,Water_Heaters,storage-water-heaters,https://havells.com/home-appliances/water-heaters/storage-water-heaters/bianca-dg-convertible-storage-water-heater-geyser.html?wh_capacity_variant=4119,,15 L,SKUGHWVBADREW15,27990.00,15490.00,N/A,Key Features 3-in-1 Convertible Dual Element Water Heater with 3 Heating modes: 33 % Faster Heating Remote control: Easy operation Feroglas Coated Inner Container: Provides superior corrosion resistance Incoloy glass coated Heating element: Minimal scaling & Quick heating Digital Temperature display and Wattage setting Smart Mode setting: Auto off & Auto on time Eco Mode: Optimal bathing temperature High Density PUF insulation: Stores hot water for longer time,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/g/h/ghwvbadrew15_1_.jpg,15 L,15,N/A,N/A,N/A,N/A,"Ce, ul, bee, CE, ce, ISI, isi",onsWashing,India,N/A,
Havells,Water_Heaters,storage-water-heaters,https://havells.com/home-appliances/water-heaters/storage-water-heaters/bianca-dg-convertible-storage-water-heater-geyser.html?wh_capacity_variant=4122,,25 L,SKUGHWVBADREW25,29890.00,16490.00,N/A,Key Features 3-in-1 Convertible Dual Element Water Heater with 3 Heating modes: 33 % Faster Heating Remote control: Easy operation Feroglas Coated Inner Container: Provides superior corrosion resistance Incoloy glass coated Heating element: Minimal scaling & Quick heating Digital Temperature display and Wattage setting Smart Mode setting: Auto off & Auto on time Eco Mode: Optimal bathing temperature High Density PUF insulation: Stores hot water for longer time,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/g/h/ghwvbadrew15_1__2.jpg,25 L,25,N/A,N/A,N/A,N/A,"Ce, ul, bee, CE, ce, ISI, isi",onsWashing,India,N/A,
Havells,Water_Heaters,storage-water-heaters,https://havells.com/home-appliances/water-heaters/storage-water-heaters/monza-prime-cf-storage-water-heater-geyser-ghwhmpumdw35.html?wh_capacity_variant=4119,,15 L,SKUGHWHMPUMDW35,22490.00,12590.00,N/A,Key Features Feroglas Coated Inner Container : Provides superior corrosion resistance Incoloy Glass Coated Heating Element : Minimal scaling & quick heating High Density PUF Insulation : Stores hot water for longer time High Working Pressure 0.8 MPa : Ideal for high rise building Whirlflow Technology : 20 % more hot water output Heavy Duty Protective Anode Rod: Protects the inner container from corrosion Temperature setting knob Dual Safety Adapter : For fire & electric shocks,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/g/h/ghwhmpumdw35_1_.jpg,15 L,15,N/A,N/A,N/A,N/A,"Ce, ul, bee, CE, ce, ISI, isi",onsWashing,India,N/A,
Havells,Water_Heaters,storage-water-heaters,https://havells.com/home-appliances/water-heaters/storage-water-heaters/monza-prime-cf-storage-water-heater-geyser-ghwhmpumdw35.html?wh_capacity_variant=4122,,25 L,SKUGHWHMPUMDW35,22490.00,12590.00,N/A,Key Features Feroglas Coated Inner Container : Provides superior corrosion resistance Incoloy Glass Coated Heating Element : Minimal scaling & quick heating High Density PUF Insulation : Stores hot water for longer time High Working Pressure 0.8 MPa : Ideal for high rise building Whirlflow Technology : 20 % more hot water output Heavy Duty Protective Anode Rod: Protects the inner container from corrosion Temperature setting knob Dual Safety Adapter : For fire & electric shocks,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/g/h/ghwhmpumdw35_1_.jpg,25 L,25,N/A,N/A,N/A,N/A,"Ce, ul, bee, CE, ce, ISI, isi",onsWashing,India,N/A,
Havells,Water_Heaters,storage-water-heaters,https://havells.com/home-appliances/water-heaters/storage-water-heaters/fabia-prime-h-storage-water-heater-geyser-ghwhfbumdw06.html?wh_capacity_variant=4119,,15 L,SKUGHWHFBUMDW06,12390.00,6990.00,N/A,Key Features Feroglas Coated Inner Container: Provides superior corrosion resistance Mcoloy Heating Element: High Performance & Quick heating High Density PUF insulation: Stores hot water for longer time High Working Pressure 0.8 MPa: Ideal for High rise building Whirlflow Technology: 20% more hot water output Heavy duty Protective anode rod: Protects the inner container from corrosion Dual Safety adapter: For fire & electric shocks Temperature setting knob,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/g/h/ghwhfbumdw06.jpg,15 L,15,N/A,N/A,N/A,N/A,"Ce, ul, bee, CE, ce, ISI, isi",onsWashing,India,N/A,
Havells,Water_Heaters,storage-water-heaters,https://havells.com/home-appliances/water-heaters/storage-water-heaters/fabia-prime-h-storage-water-heater-geyser-ghwhfbumdw06.html?wh_capacity_variant=4122,,25 L,SKUGHWHFBUMDW06,12390.00,6990.00,N/A,Key Features Feroglas Coated Inner Container: Provides superior corrosion resistance Mcoloy Heating Element: High Performance & Quick heating High Density PUF insulation: Stores hot water for longer time High Working Pressure 0.8 MPa: Ideal for High rise building Whirlflow Technology: 20% more hot water output Heavy duty Protective anode rod: Protects the inner container from corrosion Dual Safety adapter: For fire & electric shocks Temperature setting knob,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/g/h/ghwhfbumdw06.jpg,25 L,25,N/A,N/A,N/A,N/A,"Ce, ul, bee, CE, ce, ISI, isi",onsWashing,India,N/A,
Havells,Water_Heaters,storage-water-heaters,https://havells.com/home-appliances/water-heaters/storage-water-heaters/monza-pro-storage-water-heater-geyser.html?wh_capacity_variant=4116,,10 L,SKUGHWVMPUWAW10,13290.00,7391.00,N/A,Key Features Endurashield Coated Inner Container: Provides superior corrosion resistance Mcoloy Heating Element: High Performance & Quick heating High Density PUF insulation: Stores hot water for longer time High Working Pressure 0.8 MPa : Ideal for High rise building Whirlflow Technology: 20 % more hot water output Heavy Duty Protective Anode Rod : Protects the inner container from corrosion Dual Safety Adapter : For fire & electric shocks,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/m/o/monza_pro_storage_water_heater_geyser_1__1.jpg,10 L,10,N/A,N/A,N/A,N/A,"Ce, ul, bee, CE, ce, ISI, isi",onsWashing,India,N/A,
Havells,Water_Heaters,storage-water-heaters,https://havells.com/home-appliances/water-heaters/storage-water-heaters/monza-pro-storage-water-heater-geyser.html?wh_capacity_variant=4119,,15 L,SKUGHWVMPUWAW15,14690.00,7990.00,N/A,Key Features Endurashield Coated Inner Container: Provides superior corrosion resistance Mcoloy Heating Element: High Performance & Quick heating High Density PUF insulation: Stores hot water for longer time High Working Pressure 0.8 MPa : Ideal for High rise building Whirlflow Technology: 20 % more hot water output Heavy Duty Protective Anode Rod : Protects the inner container from corrosion Dual Safety Adapter : For fire & electric shocks,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/m/o/monza_pro_storage_water_heater_geyser_1__2.jpg,15 L,15,N/A,N/A,N/A,N/A,"Ce, ul, bee, CE, ce, ISI, isi",onsWashing,India,N/A,
Havells,Water_Heaters,storage-water-heaters,https://havells.com/home-appliances/water-heaters/storage-water-heaters/monza-pro-storage-water-heater-geyser.html?wh_capacity_variant=4122,,25 L,SKUGHWVMPUWAW25,16490.00,8990.00,N/A,Key Features Endurashield Coated Inner Container: Provides superior corrosion resistance Mcoloy Heating Element: High Performance & Quick heating High Density PUF insulation: Stores hot water for longer time High Working Pressure 0.8 MPa : Ideal for High rise building Whirlflow Technology: 20 % more hot water output Heavy Duty Protective Anode Rod : Protects the inner container from corrosion Dual Safety Adapter : For fire & electric shocks,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/m/o/monza_pro_storage_water_heater_geyser_1__3.jpg,25 L,25,N/A,N/A,N/A,N/A,"Ce, ul, bee, CE, ce, ISI, isi",onsWashing,India,N/A,
Havells,Water_Heaters,storage-water-heaters,https://havells.com/home-appliances/water-heaters/storage-water-heaters/carlo-storage-water-heater-geyser.html?wh_capacity_variant=4119,,15 L,SKUGHWACATWH015-c,30390.00,16290.00,N/A,Key Features Feroglas Coated Inner Container: Provides superior corrosion resistance Mcoloy Heating Element: High Performance & Quick heating Temperature Sensing Color Changing ring LED Indicator High Density PUF Insulation: Stores hot water for longer time High Working Pressure 0.8 MPa : Ideal for High rise building Whirlflow Technology : 20 % more hot water output Heavy Duty Protective Anode Rod : Protects the inner container from corrosion Dual Safety Adapter : For fire & electric shocks,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/c/a/carlo_front_2.jpg,15 L,15,N/A,N/A,N/A,N/A,"Ce, ul, CE, ce, ISI, isi",onsWashing,India,N/A,
Havells,Water_Heaters,storage-water-heaters,https://havells.com/home-appliances/water-heaters/storage-water-heaters/carlo-storage-water-heater-geyser.html?wh_capacity_variant=4122,,25 L,SKUGHWACATWH015-c,32290.00,17290.00,N/A,Key Features Feroglas Coated Inner Container: Provides superior corrosion resistance Mcoloy Heating Element: High Performance & Quick heating Temperature Sensing Color Changing ring LED Indicator High Density PUF Insulation: Stores hot water for longer time High Working Pressure 0.8 MPa : Ideal for High rise building Whirlflow Technology : 20 % more hot water output Heavy Duty Protective Anode Rod : Protects the inner container from corrosion Dual Safety Adapter : For fire & electric shocks,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/c/a/carlo_front_2.jpg,25 L,25,N/A,N/A,N/A,N/A,"Ce, ul, CE, ce, ISI, isi",onsWashing,India,N/A,
Havells,Water_Heaters,storage-water-heaters,https://havells.com/home-appliances/water-heaters/storage-water-heaters/adonia-spin-storage-water-heater.html?wh_capacity_variant=4116,,10 L,SKUGHWVASUMDW10,19190.00,9490.00,N/A,Key Features Feroglas Coated Inner Container: Provides superior corrosion resistance Mcoloy Heating Element: High Performance & Quick heating High Density PUF insulation: Stores hot water for longer time High Working Pressure 0.8 MPa : Ideal for High rise building Whirlflow Technology: 20 % more hot water output Heavy Duty Protective Anode Rod : Protects the inner container from corrosion Dual Safety Adapter : For fire & electric shocks Temperature Setting Knob,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/a/d/adonia_spin_storage_water_heater_geyser_1__2.jpg,10 L,10,N/A,N/A,N/A,N/A,"Ce, ul, bee, CE, ce, ISI, isi",onsWashing,India,N/A,
Havells,Water_Heaters,storage-water-heaters,https://havells.com/home-appliances/water-heaters/storage-water-heaters/adonia-spin-storage-water-heater.html?wh_capacity_variant=4119,,15 L,SKUGHWVASUMDW15,20390.00,9990.00,N/A,Key Features Feroglas Coated Inner Container: Provides superior corrosion resistance Mcoloy Heating Element: High Performance & Quick heating High Density PUF insulation: Stores hot water for longer time High Working Pressure 0.8 MPa : Ideal for High rise building Whirlflow Technology: 20 % more hot water output Heavy Duty Protective Anode Rod : Protects the inner container from corrosion Dual Safety Adapter : For fire & electric shocks Temperature Setting Knob,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/a/d/adonia_spin_storage_water_heater_geyser_1__1.jpg,15 L,15,N/A,N/A,N/A,N/A,"Ce, ul, bee, CE, ce, ISI, isi",onsWashing,India,N/A,
Havells,Water_Heaters,storage-water-heaters,https://havells.com/home-appliances/water-heaters/storage-water-heaters/adonia-spin-storage-water-heater.html?wh_capacity_variant=4122,,25 L,SKUGHWVASUMDW25,22290.00,10990.00,N/A,Key Features Feroglas Coated Inner Container: Provides superior corrosion resistance Mcoloy Heating Element: High Performance & Quick heating High Density PUF insulation: Stores hot water for longer time High Working Pressure 0.8 MPa : Ideal for High rise building Whirlflow Technology: 20 % more hot water output Heavy Duty Protective Anode Rod : Protects the inner container from corrosion Dual Safety Adapter : For fire & electric shocks Temperature Setting Knob,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/a/d/adonia_spin_storage_water_heater_geyser_1__3.jpg,25 L,25,N/A,N/A,N/A,N/A,"Ce, ul, bee, CE, ce, ISI, isi",onsWashing,India,N/A,
Havells,Water_Heaters,storage-water-heaters,https://havells.com/home-appliances/water-heaters/storage-water-heaters/orazio-convertible-storage-water-heater-geyser.html?wh_capacity_variant=4116,,10 L,SKUGHWVRZDMEW10,21790.00,12790.00,N/A,Key Features 3-in-1 Convertible Dual Element Water Heater with 3 Heating modes: 33 % Faster Heating Feroglas Coated Inner Container: Provides superior corrosion resistance Incoloy glass coated Heating element: Minimal scaling & Quick heating High Density PUF Insulation: Stores hot water for longer time High Working Pressure 0.8 MPa : Ideal for High rise building Whirlflow Technology : 20 % more hot water output Dual Adjustable Knobs: For Temperature setting & heating mode selection Heavy Duty Protective Anode Rod : Protects the inner container from corrosion,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/o/r/orazio_1_.jpg,10 L,10,N/A,N/A,N/A,N/A,"Ce, ul, bee, CE, ce, ISI, isi",onsWashing,India,N/A,
Havells,Water_Heaters,storage-water-heaters,https://havells.com/home-appliances/water-heaters/storage-water-heaters/orazio-convertible-storage-water-heater-geyser.html?wh_capacity_variant=4119,,15 L,SKUGHWVRZDMEW15,23290.00,13490.00,N/A,Key Features 3-in-1 Convertible Dual Element Water Heater with 3 Heating modes: 33 % Faster Heating Feroglas Coated Inner Container: Provides superior corrosion resistance Incoloy glass coated Heating element: Minimal scaling & Quick heating High Density PUF Insulation: Stores hot water for longer time High Working Pressure 0.8 MPa : Ideal for High rise building Whirlflow Technology : 20 % more hot water output Dual Adjustable Knobs: For Temperature setting & heating mode selection Heavy Duty Protective Anode Rod : Protects the inner container from corrosion,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/o/r/orazio_1__1.jpg,15 L,15,N/A,N/A,N/A,N/A,"Ce, ul, bee, CE, ce, ISI, isi",onsWashing,India,N/A,
Havells,Water_Heaters,storage-water-heaters,https://havells.com/home-appliances/water-heaters/storage-water-heaters/orazio-convertible-storage-water-heater-geyser.html?wh_capacity_variant=4122,,25 L,SKUGHWVRZDMEW25,25190.00,14490.00,N/A,Key Features 3-in-1 Convertible Dual Element Water Heater with 3 Heating modes: 33 % Faster Heating Feroglas Coated Inner Container: Provides superior corrosion resistance Incoloy glass coated Heating element: Minimal scaling & Quick heating High Density PUF Insulation: Stores hot water for longer time High Working Pressure 0.8 MPa : Ideal for High rise building Whirlflow Technology : 20 % more hot water output Dual Adjustable Knobs: For Temperature setting & heating mode selection Heavy Duty Protective Anode Rod : Protects the inner container from corrosion,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/o/r/orazio_1__2.jpg,25 L,25,N/A,N/A,N/A,N/A,"Ce, ul, bee, CE, ce, ISI, isi",onsWashing,India,N/A,
Havells,Water_Heaters,storage-water-heaters,https://havells.com/home-appliances/water-heaters/storage-water-heaters/orazio-prime-storage-water-heater-geyser.html?wh_capacity_variant=4116,,10 L,SKUGHWVRZUMDW10,18990.00,11290.00,N/A,Key Features Feroglas Coated Inner Container: Provides superior corrosion resistance Mcoloy Heating Element: High Performance & Quick heating High Density PUF insulation: Stores hot water for longer time High Working Pressure 0.8 MPa : Ideal for High rise building Whirlflow Technology: 20 % more hot water output Heavy Duty Protective Anode Rod : Protects the inner container from corrosion Dual Safety Adapter : For fire & electric shocks Temperature Setting Knob,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/o/r/orazio_prime.jpg,10 L,10,N/A,N/A,N/A,N/A,"Ce, ul, bee, CE, ce, ISI, isi",onsWashing,India,N/A,
