Brand,Main_Category,Sub_Category,Source_URL,Model_Name,Variant_Description,SKU,MRP,Selling_Price,Dealer_Price,Product_Description,Image_URL,Capacity_L,Purification_Type,Warranty,Datasheet_URL,Certifications,BIS_Registration,Country_of_Origin,HSN_Code
Havells,Water_Purifiers,ro-uv-purifiers,https://havells.com/home-appliances/water-purifier/ro-and-uv-water-purifiers/havells-gracia-alkaline-fab-water-purifier-ghwrgfs015.html,,Standard,SKUGHWRGFS015,52195.00,22500.00,N/A,"Key Features Futuristic Design : Featuring a classy design with stainless steel tank, the water purifier comes in black. It has a touch option with dispensing of Hot or Warm or Ambient water. Triple Protection Technology : 100% RO + Germicidal UV column + Germicidal UV LED, Powerful 9 stage purification provides absolute safe drinking water. Bacteriostatic Alkaline Technology, It improves the pH of purified water by adding back wide spectrum of natural minerals & trace elements, transforms regular water into Alkaline Water, which is healthier & tastier. Revitalizer restructures water molecules for improved hydration and mineral absorption. Convenience Features : Features iProtect purification monitoring that cuts off water if it is no longer safe to drink. UV LED provided on tank for 24x7 tank sanitation. Other features include smart indications & error alerts. Absolute Safety through 100% RO, Germicidal UV and UV LED ( Triple Purification) : 100% Water passes through the RO Membrane to ensure absolutely safe and pure drinking water. An optimum exposure of water to germicidal UV-C radiation in UV Disinfection Column makes water free from microbiological threats
like pathogenic bacteria and viruses. 24 × 7 tank sterilization UV LED prevents the Bio-film formation. Maintains hygiene of water and stainless steel tank. Installation & Warranty Experience best in class care 360 service & manufacturers warranty cover for 1 year. T&C apply. Cover your product with attractive extended warranty plans to enjoy life long safe and healthy drinking water.",https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/g/h/ghwrgfs015_1.jpg,N/A,RO+UV+Alkaline,N/A,N/A,"CE, ce, bee, ul, Ce, ISI, isi",standard,India,N/A
Havells,Water_Purifiers,ro-uv-purifiers,https://havells.com/home-appliances/water-purifier/ro-and-uv-water-purifiers/havells-fab-water-purifier-ghwrhfb015.html,,Standard,SKUGHWRHFB015,20418.00,14350.00,N/A,"Key Features Futuristic Design : Its unique design is only of its kind that lets you to mount it in a corner. Featuring a compact design, it comes in  decent white and grey dual tone colour combination with a transparent water tank Best-in-class Purification Technology : 100% RO & UV purification in 7 stages with germicidal UV-C provides absolute safe drinking water. Revitalizer restructures water molecules for improved hydration, alkalinity, and mineral absorption. Mineralz technology ensures pH balance and fortified safe and healthier water Convenience Features : It features a space-saving design that can be mounted in a corner, on a wall or kept on a table top. Other than iProtect auto water cut-off, it also boasts consumer-friendly alerts for self-diagnostic, purification process,Cartridge life indicator , tank full, low water pressure, and error alerts for UV, SV, and pump failure Installation & Warranty : Experience best in class Care 360 Service & manufacturers warranty cover for 1 year. T&C apply. cover your product with attractive extended warranty plans to enjoy life long safe and healthy drinking water",https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/g/h/ghwrhfb015.jpg,N/A,RO+UV,N/A,https://integration-5ojmyuq-hkosayfn2zwv6.ap-3.magentosite.cloud/media/wysiwyg/Brochure-and-pricelist/Water_Purifier/Catalogue_Havells_Water_Purifier.pdf,"CE, ce, bee, ul, Ce, ISI, Ul, isi",onsWashing,India,N/A
Havells,Water_Purifiers,ro-uv-purifiers,https://havells.com/home-appliances/water-purifier/ro-and-uv-water-purifiers/havells-25-lph-utc-water-purifier-ghwrutw025.html,,Standard,SKUGHWRUTW025,51395.00,25000.00,N/A,"Key Features Futuristic Design : A compact and futuristic product built with focus on hygeine of product and process Best-in-class Purification Technology : 8 Stages 100 % RO & UV purification delivers pH balanced water. Revitalizer restructures water molecules for improved hydration, and mineral absorption Convenience Features : Compact design with a free wall mounting stand and digital process indicators Installation & Warranty : Experience best in class Care 360 Service & manufacturers warranty cover for 1 year. T&C apply. cover your product with attractive extended warranty plans to enjoy life long safe and healthy drinking water",https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/g/h/ghwrutw025.jpg,N/A,RO+UV,N/A,https://havells.com/media/wysiwyg/Manuals/25_LPH_Manual.pdf,"CE, ce, bee, ul, Ce, ISI, isi",onsWashing,India,N/A
Havells,Water_Purifiers,ro-uv-purifiers,https://havells.com/home-appliances/water-purifier/ro-and-uv-water-purifiers/havells-max-water-purifier-ghwrpmb015.html,,Standard,SKUGHWRPMB015,30095.00,14950.00,N/A,"Key Features Futuristic Design : Its unique design is only of its kind that lets you to mount it in a corner. Featuring a compact design, it comes in a vibrant white and sky blue dual tone colour combination with a transparent water tank Best-in-class Purification Technology : 100% RO & UV purification in 7 stages with germicidal UV-C provides absolute safe drinking water. Revitalizer restructures water molecules for improved hydration, alkalinity, and mineral absorption. Mineralz technology ensures pH balance and fortified safe and healthier water Convenience Features : It features a space-saving design that can be mounted in a corner, on a wall or kept on a table top. Other than iProtect auto water cut-off, it also boasts consumer-friendly alerts for self-diagnostic, purification process, tank full, low water pressure, and error alerts for UV, SV, and pump failure Installation & Warranty : Experience best in class Care 360 Service & manufacturers warranty cover for 1 year. T&C apply. cover your product with attractive extended warranty plans to enjoy life long safe and healthy drinking water",https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/g/h/ghwrpmb015.jpg,N/A,RO+UV,N/A,N/A,"CE, ce, bee, ul, Ce, ISI, Ul, isi",onsWashing,India,N/A
Havells,Water_Purifiers,uv-purifiers,https://havells.com/home-appliances/water-purifier/uv-water-purifiers/havells-gracia-alkaline-max-water-purifier-ghwrgms015.html,,Standard,SKUGHWRGMS015,52195.00,22990.00,N/A,"Key Features Futuristic Design : Featuring a classy design with Stainless Steel Tank, the water purifier comes in Grey & Black. It has a Touch option with dispensing of Hot or Warm or Ambient water. Best in class Purification Technology : Triple Protection Technology : 100 % RO + Germicidal UV column + Germicidal UV LED, Powerful 10 stage Purification  provides absolute safe drinking water.  Bacteriostatic Alkaline Technology, It improves the pH of purified water by adding back wide spectrum of natural minerals & trace elements, transforms regular water into Alkaline Water, which is healthier & tastier. Revitalizer restructures water molecules for improved hydration, and mineral absorption. Convenience Features : Features iProtect purification monitoring that cuts off water if it is no longer safe to drink. UV LED provided on tank for 24 x 7 tank sanitation. Other features include Smart indications & error alerts. Installation & Warranty : Experience best in class care 360 service & manufacturers standard warranty cover for 1 year. * T&C apply (refer to attachment). Cover your product with attractive extended warranty plans to enjoy life long safe and healthy drinking water.",https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/g/h/ghwrgms015_1__2.jpg,N/A,RO+UV+Alkaline,N/A,N/A,"CE, ce, bee, ul, Ce, ISI, Ul, isi",onsWashing,India,N/A
Havells,Water_Purifiers,uv-purifiers,https://havells.com/home-appliances/water-purifier/uv-water-purifiers/havells-delite-kopere-water-purifier-ghwrdke015.html,,Standard,SKUGHWRDKE015,41095.00,15000.00,N/A,"Key Features Futuristic Design : Featuring a classy design with hygienic flow controller and zero splash dispensing comes with sea green & white color with textured design Best-in-class Purification Technology : 7 Stages 100% RO & UV purification delivers pH balanced water. Revitalizer restructures water molecules for improved hydration, and mineral absorption. Convenience Features : Features iProtect purification monitoring that cuts off water if it is no longer safe to drink. UV LED lamp in tank given purified water all time. Other features include maintenance and error alert, filter life indicator, process indicator and zero splash hygienic water dispensing Installation & Warranty : Experience best in class Care 360 Service & manufacturers warranty cover for 1 year. T&C apply. cover your product with attractive extended warranty plans to enjoy life long safe and healthy drinking water.",https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/g/h/ghwrdke015.jpg,N/A,RO+UV,N/A,https://havells.com/media/wysiwyg/Brochure-and-pricelist/Water_Purifier/Catalogue_Havells_Water_Purifier.pdf,"CE, ce, bee, ul, Ce, ISI, Ul, isi",onsWashing,India,N/A
Havells,Water_Purifiers,uv-purifiers,https://havells.com/home-appliances/water-purifier/uv-water-purifiers/havells-max-utc-alkaline-ghwruae025.html,,Standard,SKUGHWRUAE025,37995.00,21000.00,N/A,"Key Features Compact Design with Inbuilt Storage Tank : Featuring a classy design, the water purifier comes in White. Unique brass faucet with flow control and rotates 360° for dispensing of water. Best in class Purification Technology : Absolute Safety through 100 % RO + Germicidal UV column Purified Water, Powerful 10 stage Purification provides absolute safe drinking water.  Bacteriostatic Alkaline Technology, It improves the pH of purified water by adding back wide spectrum of natural minerals & trace elements, transforms regular water into Alkaline Water, which is healthier & tastier. Revitalizer restructures water molecules for improved hydration, and mineral absorption. Convenience Features : Double Protection : 100 % RO + Germicidal UV Purification Installation & Warranty : Experience best in class care 360 service & manufacturers standard warranty cover for 1 year. * T&C apply (refer to attachment). Cover your product with attractive extended warranty plans to enjoy life long safe and healthy drinking water.",https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/g/h/ghwruae025.jpg,N/A,RO+UV+Alkaline,N/A,N/A,"CE, ce, ul, Ce, ISI, Ul, isi",onsWashing,India,N/A
Havells,Water_Purifiers,uv-purifiers,https://havells.com/home-appliances/water-purifier/uv-water-purifiers/fab-utc-alkaline.html,,Standard,SKUGHWRFUW025,36695.00,20000.00,N/A,"Key Features Compact Design with Inbuilt Storage Tank : Featuring a classy design, the water purifier comes in Dark Grey. Unique brass faucet with flow control and rotates 360° for dispensing of water. Best in class Purification Technology : Absolute Safety through 100 % RO+ Germicidal UV column Purified Water, Powerful 10 stage Purification provides absolute safe drinking water. Bacteriostatic Alkaline Technology, It improves the pH of purified water by adding back wide spectrum of natural minerals & trace elements, transforms regular water into Alkaline Water, which is healthier & tastier. Revitalizer restructures water molecules for improved hydration, and mineral absorption. Convenience Features : Double Protection : 100 % RO + Germicidal UV Purification Installation & Warranty : Experience best in class care 360 service & manufacturers standard warranty cover for 1 year. * T&C apply (refer to attachment). Cover your product with attractive extended warranty plans to enjoy life long safe and healthy drinking water.",https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/g/h/ghwrfuw025.jpg,N/A,RO+UV+Alkaline,N/A,N/A,"CE, ce, bee, ul, Ce, ISI, Ul, isi",onsWashing,India,N/A
Havells,Water_Purifiers,uv-purifiers,https://havells.com/home-appliances/water-purifier/uv-water-purifiers/havells-albus-uv-plus-water-purifier-ghwuaus030.html,,Standard,SKUGHWUAUS030,17695.00,9500.00,N/A,"Key Features Futuristic Design for Style Statement : Compact styling with black color & 6 L capacity water tank and hygienic flow control faucet. 100 % UV+UF Purification : Assured Safe & Healthy Water Convenience Features : Features iProtect purification monitoring that cuts off water if it is no longer safe to drink. Other features include maintenance and error alert, process indicator, digital clock, and zero splash hygienic water dispensing. Installation & Warranty : Experience best in class Care 360 Service & manufacturers warranty cover for 1 year. T&C apply. cover your product with attractive extended warranty plans to enjoy life long safe and healthy drinking water.",https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/g/h/ghwuaus030.jpg,6,UV+UF,N/A,N/A,"CE, ce, bee, ul, Ce, ISI, Ul, isi",onsWashing,India,N/A
Havells,Water_Purifiers,uv-purifiers,https://havells.com/home-appliances/water-purifier/uv-water-purifiers/havells-active-water-purifier-ghwuoab060.html,,Standard,SKUGHWUOAB060,14195.00,8000.00,N/A,"Key Features Futuristic Design : Its unique design is only of its kind that lets you to mount on surface & Table Top. Featuring a compact design, it comes in Navy blue & White Color Best in class Purification Technology : 4 Stages of UV purification, delivers safe water Convenience Features : iProtect purification monitoring cuts off water if it is no longer safe to drink, Smart alerts: Self Diagnostic & Process alerts, Error alerts if SV fails or inadequate UV dosage Installation & Warranty : Experience best in class Care 360 Service & manufacturers warranty cover for 1 year. T&C apply. cover your product with attractive extended warranty plans to enjoy life long safe and healthy drinking water",https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/g/h/ghwuoab060.jpg,N/A,UV,N/A,N/A,"CE, ce, bee, ul, Ce, ISI, Ul, isi",onsWashing,India,N/A
