Brand,Main_Category,Sub_Category,Source_URL,Model_Name,Product_Description,Color_Finish,MRP,Dealer_Price,SKU,Image_URL,Warranty,Datasheet_URL,Certifications,BIS_Registration,Country_of_Origin,HSN_Code
Polycab,Fans,ceiling-fan,https://polycab.com/fans/ceiling-fan/c,SUPERIA SP02 BLDC,1200mm Sweep5 Aluminium BladesAntique Copper Rosewood,Antique Copper Rosewood,19999,N/A,SUPERIASP0-ANTIQUEC,https://cms.polycab.com/media/uqndevyt/fcespst031p_img_01.png?format=webp,N/A,N/A,N/A,N/A,India,N/A
Polycab,Fans,ceiling-fan,https://polycab.com/fans/ceiling-fan/c,POISE BLDC,1200mm Sweep3 Aluminium BladesBlack Darkwood,BladesBlack Darkwood,18999,N/A,POISEBLDC-BLADESBL,https://cms.polycab.com/media/pgohhi00/fcespst034p_img_01.png?format=webp,N/A,N/A,N/A,N/A,India,N/A
Polycab,Fans,ceiling-fan,https://polycab.com/fans/ceiling-fan/c,DIVINA UL5 BLDC,1230mm Sweep5 Plastic BladeWalnut Wood,BladeWalnut Wood,17499,N/A,DIVINAUL5B-BLADEWAL,https://cms.polycab.com/media/5xhaouju/fcbldces070p_img_01.png?format=webp,N/A,N/A,N/A,N/A,India,N/A
Polycab,Fans,ceiling-fan,https://polycab.com/fans/ceiling-fan/c,DIVINA BLDC,1200mm Sweep6 Aluminium BladesAntique Copper Rosewood,Antique Copper Rosewood,16999,N/A,DIVINABLDC-ANTIQUEC,https://cms.polycab.com/media/oh3nlra2/fcespst033p_img_01.png?format=webp,N/A,N/A,N/A,N/A,India,N/A
Polycab,Fans,ceiling-fan,https://polycab.com/fans/ceiling-fan/c,SUPERIA SP04 BLDC,1200mm Sweep3 Aluminium BladesAntique Copper Rosewood,Antique Copper Rosewood,16999,N/A,SUPERIASP0-ANTIQUEC,https://cms.polycab.com/media/k3jipgow/fcespst032p_img_01.png?format=webp,N/A,N/A,N/A,N/A,India,N/A
Polycab,Fans,ceiling-fan,https://polycab.com/fans/ceiling-fan/c,DIVINA UL5 BLDC,1230mm Sweep5 Plastic BladeClassic White,Classic White,16999,N/A,DIVINAUL5B-CLASSICW,https://cms.polycab.com/media/ap0afjoh/fcbldces069p_img_01.png?format=webp,N/A,N/A,N/A,N/A,India,N/A
Polycab,Fans,ceiling-fan,https://polycab.com/fans/ceiling-fan/c,SUPERIA SP06,600mm Sweep4 Aluminium BladesBrown,Brown,15999,N/A,SUPERIASP0-BROWN,https://cms.polycab.com/media/4gxgwttj/fcespst006p_img_01.png?format=webp,N/A,N/A,N/A,N/A,India,N/A
Polycab,Fans,ceiling-fan,https://polycab.com/fans/ceiling-fan/c,SILENCIO CRUISER PRIME BLDC,1200mm Sweep3 ABS BladesWalnut Wood,BladesWalnut Wood,14999,N/A,SILENCIOCR-BLADESWA,https://cms.polycab.com/media/tmub5mfx/fcbldces052m_img_01.jpg?format=webp,N/A,N/A,N/A,N/A,India,N/A
Polycab,Fans,ceiling-fan,https://polycab.com/fans/ceiling-fan/c,SILENCIO CRUISER PRIME,1200mm Sweep3 ABS BladesWalnutwood,Standard,14199,N/A,SILENCIOCR,https://cms.polycab.com/media/xsxmjrla/fcespst053m_img_01.png?format=webp,N/A,N/A,N/A,N/A,India,N/A
Polycab,Fans,ceiling-fan,https://polycab.com/fans/ceiling-fan/c,SUPERIA SP01,1200mm Sweep3 Aluminium BladesAntique Copper Rosewood,Antique Copper Rosewood,13499,N/A,SUPERIASP0-ANTIQUEC,https://cms.polycab.com/media/q4hcnq33/fcespst024p_img_01.png?format=webp,N/A,N/A,N/A,N/A,India,N/A
