Brand,Main_Category,Sub_Category,Source_URL,Model_Name,Product_Description,Color_Finish,MRP,Dealer_Price,SKU,Image_URL,Warranty,Datasheet_URL,Certifications,BIS_Registration,Country_of_Origin,HSN_Code
Polycab,Solar,solar-inverter,https://polycab.com/solar/solar-inverter/c,Three Phase Inverter for Commercial & Industrial Solar Roof Top Projects,110 KW7 Years Warranty,Years Warranty,504000,N/A,THREEPHASE-YEARSWAR,https://cms.polycab.com/media/erannqek/oinstam1002_img_01.png?format=webp,N/A,N/A,N/A,N/A,India,N/A
Polycab,Solar,solar-inverter,https://polycab.com/solar/solar-inverter/c,Three Phase Inverter for Commercial & Industrial Solar Roof Top Projects,100 KW7 Years Warranty,Years Warranty,492000,N/A,THREEPHASE-YEARSWAR,https://cms.polycab.com/media/fruau3i3/oinstam1001_img_01.png?format=webp,N/A,N/A,N/A,N/A,India,N/A
Polycab,Solar,solar-inverter,https://polycab.com/solar/solar-inverter/c,Three Phase Inverter for Commercial & Industrial Solar Roof Top Projects,60 KW7 Years Warranty,Years Warranty,268800,N/A,THREEPHASE-YEARSWAR,https://cms.polycab.com/media/rpobrco5/oinstwsm823_img_01.png?format=webp,N/A,N/A,N/A,N/A,India,N/A
Polycab,Solar,solar-inverter,https://polycab.com/solar/solar-inverter/c,Three Phase Inverter for Commercial & Industrial Solar Roof Top Projects,50 KW7 Years Warranty,Years Warranty,257000,N/A,THREEPHASE-YEARSWAR,https://cms.polycab.com/media/5fzjghwb/oinstwsm822_img_01.png?format=webp,N/A,N/A,N/A,N/A,India,N/A
Polycab,Solar,solar-inverter,https://polycab.com/solar/solar-inverter/c,Three Phase Inverter for Commercial & Industrial Solar Roof Top Projects,40 KW7 Years Warranty,Years Warranty,230000,N/A,THREEPHASE-YEARSWAR,https://cms.polycab.com/media/o2rg1ajv/oinstwsm621_img_01.png?format=webp,N/A,N/A,N/A,N/A,India,N/A
Polycab,Solar,solar-inverter,https://polycab.com/solar/solar-inverter/c,Three Phase Inverter for Residential & Commercial Solar Roof Top Projects,30 KW7 Years Warranty,Years Warranty,191360,N/A,THREEPHASE-YEARSWAR,https://cms.polycab.com/media/a5yanxtg/oinstwsm419_img_01.png?format=webp,N/A,N/A,N/A,N/A,India,N/A
Polycab,Solar,solar-inverter,https://polycab.com/solar/solar-inverter/c,Three Phase Inverter for Residential & Commercial Solar Roof Top Projects,25 KW7 Years Warranty,Years Warranty,142290,N/A,THREEPHASE-YEARSWAR,https://cms.polycab.com/media/kjhhtu0z/oinstwsm418_img_01.png?format=webp,N/A,N/A,N/A,N/A,India,N/A
Polycab,Solar,solar-inverter,https://polycab.com/solar/solar-inverter/c,Three Phase Inverter for Residential & Commercial Solar Roof Top Projects,20 KW7 Years Warranty,Years Warranty,137150,N/A,THREEPHASE-YEARSWAR,https://cms.polycab.com/media/bponnrjv/oinstwsm416_img_01.png?format=webp,N/A,N/A,N/A,N/A,India,N/A
Polycab,Solar,solar-inverter,https://polycab.com/solar/solar-inverter/c,Three Phase Inverter for Residential & Commercial Solar Roof Top Projects,15 KW7 Years Warranty,Years Warranty,106290,N/A,THREEPHASE-YEARSWAR,https://cms.polycab.com/media/u1oojp5t/oinstwsm313_img_01.png?format=webp,N/A,N/A,N/A,N/A,India,N/A
Polycab,Solar,solar-inverter,https://polycab.com/solar/solar-inverter/c,Three Phase Inverter for Residential & Commercial Solar Roof Top Projects,12 KW7 Years Warranty,Years Warranty,105430,N/A,THREEPHASE-YEARSWAR,https://cms.polycab.com/media/n31pg03n/oinstwsm312_img_01.png?format=webp,N/A,N/A,N/A,N/A,India,N/A
