Brand,Main_Category,Sub_Category,Source_URL,Model_Name,Product_Description,Color_Finish,MRP,Dealer_Price,SKU,Image_URL,Warranty,Datasheet_URL,Certifications,BIS_Registration,Country_of_Origin,HSN_Code
Polycab,Switchgear_Boxes,surface-mounted-boxes,https://polycab.com/switches-and-accessories/plastic-modular-boxes/surface-mounted-boxes/c,Surface Mounted,Plastic BoxStandard18 Module,BoxStandard18 Module,360,N/A,SURFACEMOU-BOXSTAND,https://cms.polycab.com/media/nlhpwz3r/spb0200064_img_01.png?format=webp,N/A,N/A,N/A,N/A,India,N/A
Polycab,Switchgear_Boxes,surface-mounted-boxes,https://polycab.com/switches-and-accessories/plastic-modular-boxes/surface-mounted-boxes/c,Surface Mounted,Plastic BoxStandard8 Module,BoxStandard8 Module,199,N/A,SURFACEMOU-BOXSTAND,https://cms.polycab.com/media/5hjlchtw/spb0200062_img_01.png?format=webp,N/A,N/A,N/A,N/A,India,N/A
Polycab,Switchgear_Boxes,surface-mounted-boxes,https://polycab.com/switches-and-accessories/plastic-modular-boxes/surface-mounted-boxes/c,Surface Mounted,Plastic BoxStandard12 Module,BoxStandard12 Module,165,N/A,SURFACEMOU-BOXSTAND,https://cms.polycab.com/media/jp0dcony/spb0200063_img_01.png?format=webp,N/A,N/A,N/A,N/A,India,N/A
Polycab,Switchgear_Boxes,surface-mounted-boxes,https://polycab.com/switches-and-accessories/plastic-modular-boxes/surface-mounted-boxes/c,Surface Mounted,Plastic BoxStandard6 Module,BoxStandard6 Module,160,N/A,SURFACEMOU-BOXSTAND,https://cms.polycab.com/media/nwipwxli/spb0200060_img_01.png?format=webp,N/A,N/A,N/A,N/A,India,N/A
Polycab,Switchgear_Boxes,surface-mounted-boxes,https://polycab.com/switches-and-accessories/plastic-modular-boxes/surface-mounted-boxes/c,Surface Mounted,Plastic BoxStandard8 Module,BoxStandard8 Module,145,N/A,SURFACEMOU-BOXSTAND,https://cms.polycab.com/media/f20hmra5/spb0200061_img_01.png?format=webp,N/A,N/A,N/A,N/A,India,N/A
Polycab,Switchgear_Boxes,surface-mounted-boxes,https://polycab.com/switches-and-accessories/plastic-modular-boxes/surface-mounted-boxes/c,Surface Mounted,Plastic BoxStandard4 Module,BoxStandard4 Module,129,N/A,SURFACEMOU-BOXSTAND,https://cms.polycab.com/media/r0dfzq3f/spb0200059_img_01.png?format=webp,N/A,N/A,N/A,N/A,India,N/A
Polycab,Switchgear_Boxes,surface-mounted-boxes,https://polycab.com/switches-and-accessories/plastic-modular-boxes/surface-mounted-boxes/c,Surface Mounted,Plastic BoxStandard3 Module,BoxStandard3 Module,107,N/A,SURFACEMOU-BOXSTAND,https://cms.polycab.com/media/iwwjipbz/spb0200058_img_01.png?format=webp,N/A,N/A,N/A,N/A,India,N/A
Polycab,Switchgear_Boxes,surface-mounted-boxes,https://polycab.com/switches-and-accessories/plastic-modular-boxes/surface-mounted-boxes/c,Surface Mounted,Plastic BoxStandard1&2 Module,BoxStandard1&2 Module,89,N/A,SURFACEMOU-BOXSTAND,https://cms.polycab.com/media/tl1d0xel/spb0200057_img_01.png?format=webp,N/A,N/A,N/A,N/A,India,N/A
Polycab,Switchgear_Boxes,concealed-boxes,https://polycab.com/switches-and-accessories/plastic-modular-boxes/concealed-boxes/c,Concealed,Plastic BoxStandard18 Module,BoxStandard18 Module,222,N/A,CONCEALED-BOXSTAND,https://cms.polycab.com/media/wc3gjlad/spb0100072_img_01.png?format=webp,N/A,N/A,N/A,N/A,India,N/A
Polycab,Switchgear_Boxes,concealed-boxes,https://polycab.com/switches-and-accessories/plastic-modular-boxes/concealed-boxes/c,Concealed,Plastic BoxStandard12 Module,BoxStandard12 Module,174,N/A,CONCEALED-BOXSTAND,https://cms.polycab.com/media/ehdha2et/spb0100071_img_01.png?format=webp,N/A,N/A,N/A,N/A,India,N/A
