Brand,Main_Category,Sub_Category,Source_URL,Model_Name,Product_Description,Color_Finish,MRP,Dealer_Price,SKU,Image_URL,Warranty,Datasheet_URL,Certifications,BIS_Registration,Country_of_Origin,HSN_Code
Polycab,Switchgear_Modular_Etira,etira-modular-plates,https://polycab.com/switches-and-accessories/etira/etira-modular-plates/c,Colour Plate - Stylaz,Burnt Umber18 Module,Umber18 Module,1029,N/A,COLOURPLAT-UMBER18M,https://cms.polycab.com/media/1rnbtsnn/ser1101805_img_01.png?format=webp,N/A,N/A,N/A,N/A,India,N/A
Polycab,Switchgear_Modular_Etira,etira-modular-plates,https://polycab.com/switches-and-accessories/etira/etira-modular-plates/c,Colour Plate - Stylaz,Brushed Silver18 Module,Brushed Silver18,1029,N/A,COLOURPLAT-BRUSHEDS,https://cms.polycab.com/media/xvqprcxp/ser1101804_img_01.png?format=webp,N/A,N/A,N/A,N/A,India,N/A
Polycab,Switchgear_Modular_Etira,etira-modular-plates,https://polycab.com/switches-and-accessories/etira/etira-modular-plates/c,Colour Plate With Chrome Collar - Silvaz,Dark Wood18 Module,Dark Wood,1029,N/A,COLOURPLAT-DARKWOOD,https://cms.polycab.com/media/xwkpov0x/ser1201804_img_01.png?format=webp,N/A,N/A,N/A,N/A,India,N/A
Polycab,Switchgear_Modular_Etira,etira-modular-plates,https://polycab.com/switches-and-accessories/etira/etira-modular-plates/c,Colour Plate - Stylaz,Burnt Umber16 Module,Umber16 Module,939,N/A,COLOURPLAT-UMBER16M,https://cms.polycab.com/media/mszlz3js/ser1101605_img_01.png?format=webp,N/A,N/A,N/A,N/A,India,N/A
Polycab,Switchgear_Modular_Etira,etira-modular-plates,https://polycab.com/switches-and-accessories/etira/etira-modular-plates/c,Colour Plate - Stylaz,Brushed Silver16 Module,Brushed Silver16,939,N/A,COLOURPLAT-BRUSHEDS,https://cms.polycab.com/media/kgenczyz/ser1101604_img_01.png?format=webp,N/A,N/A,N/A,N/A,India,N/A
Polycab,Switchgear_Modular_Etira,etira-modular-plates,https://polycab.com/switches-and-accessories/etira/etira-modular-plates/c,Colour Plate With Chrome Collar - Silvaz,Dark Wood16 Module,Dark Wood,939,N/A,COLOURPLAT-DARKWOOD,https://cms.polycab.com/media/qm3d34q1/ser1201604_img_01.png?format=webp,N/A,N/A,N/A,N/A,India,N/A
Polycab,Switchgear_Modular_Etira,etira-modular-plates,https://polycab.com/switches-and-accessories/etira/etira-modular-plates/c,Colour Plate - Stylaz,Burnt Umber12 Module,Umber12 Module,831,N/A,COLOURPLAT-UMBER12M,https://cms.polycab.com/media/la4dwemh/ser1101205_img_01.png?format=webp,N/A,N/A,N/A,N/A,India,N/A
Polycab,Switchgear_Modular_Etira,etira-modular-plates,https://polycab.com/switches-and-accessories/etira/etira-modular-plates/c,Colour Plate - Stylaz,Brushed Silver12 Module,Brushed Silver12,831,N/A,COLOURPLAT-BRUSHEDS,https://cms.polycab.com/media/22jdeylu/ser1101204_img_01.png?format=webp,N/A,N/A,N/A,N/A,India,N/A
Polycab,Switchgear_Modular_Etira,etira-modular-plates,https://polycab.com/switches-and-accessories/etira/etira-modular-plates/c,Colour Plate With Chrome Collar - Silvaz,Dark Wood12 Module,Dark Wood,831,N/A,COLOURPLAT-DARKWOOD,https://cms.polycab.com/media/3n3jqzgv/ser1201204_img_01.png?format=webp,N/A,N/A,N/A,N/A,India,N/A
Polycab,Switchgear_Modular_Etira,etira-modular-plates,https://polycab.com/switches-and-accessories/etira/etira-modular-plates/c,Colour Plate - Stylaz,Burnt Umber8 Module,Umber8 Module,709,N/A,COLOURPLAT-UMBER8MO,https://cms.polycab.com/media/vtyc3ku2/ser1100805_img_01.png?format=webp,N/A,N/A,N/A,N/A,India,N/A
