Brand,Main_Category,Sub_Category,Source_URL,Model_Name,Product_Description,Color_Finish,MRP,Dealer_Price,SKU,Image_URL,Warranty,Datasheet_URL,Certifications,BIS_Registration,Country_of_Origin,HSN_Code
Polycab,Switchgear_Protection,mcb,https://polycab.com/switchgear/mcb/c,DC MCB,FP Pole40 Ampere6kA Breaking Capacity,Breaking Capacity,3149,N/A,DCMCB-BREAKING,https://cms.polycab.com/media/nttlxpvu/gmm404p007_img_01.png?format=webp,N/A,N/A,N/A,N/A,India,N/A
Polycab,Switchgear_Protection,mcb,https://polycab.com/switchgear/mcb/c,DC MCB,FP Pole50 Ampere6kA Breaking Capacity,Breaking Capacity,3149,N/A,DCMCB-BREAKING,https://cms.polycab.com/media/cploxnrj/gmm404p018_img_01.png?format=webp,N/A,N/A,N/A,N/A,India,N/A
Polycab,Switchgear_Protection,mcb,https://polycab.com/switchgear/mcb/c,DC MCB,FP Pole63 Ampere6kA Breaking Capacity,Breaking Capacity,3149,N/A,DCMCB-BREAKING,https://cms.polycab.com/media/uu2dqjzt/gmm404p008_img_01.png?format=webp,N/A,N/A,N/A,N/A,India,N/A
Polycab,Switchgear_Protection,mcb,https://polycab.com/switchgear/mcb/c,10kA MCB,FP Pole63 Ampere10kA Breaking Capacity,Breaking Capacity,2964,N/A,10KAMCB-BREAKING,https://cms.polycab.com/media/hy3jafo3/gmm304p008_img_01.png?format=webp,N/A,N/A,N/A,N/A,India,N/A
Polycab,Switchgear_Protection,mcb,https://polycab.com/switchgear/mcb/c,10kA MCB,FP Pole40 Ampere10kA Breaking Capacity,Breaking Capacity,2905,N/A,10KAMCB-BREAKING,https://cms.polycab.com/media/br0hahbs/gmm304p007_img_01.png?format=webp,N/A,N/A,N/A,N/A,India,N/A
Polycab,Switchgear_Protection,mcb,https://polycab.com/switchgear/mcb/c,10kA MCB,FP Pole63 Ampere10kA Breaking Capacity,Breaking Capacity,2784,N/A,10KAMCB-BREAKING,https://cms.polycab.com/media/0tpjdrtk/gmm204p008_img_01.png?format=webp,N/A,N/A,N/A,N/A,India,N/A
Polycab,Switchgear_Protection,mcb,https://polycab.com/switchgear/mcb/c,10kA MCB,TPN Pole63 Ampere10kA Breaking Capacity,Breaking Capacity,2690,N/A,10KAMCB-BREAKING,https://cms.polycab.com/media/chxpdzws/gmm203n008_img_01.png?format=webp,N/A,N/A,N/A,N/A,India,N/A
Polycab,Switchgear_Protection,mcb,https://polycab.com/switchgear/mcb/c,DC MCB,FP Pole0.5 Ampere6kA Breaking Capacity,Breaking Capacity,2665,N/A,DCMCB-BREAKING,https://cms.polycab.com/media/n5znbfck/gmm404p012_img_01.png?format=webp,N/A,N/A,N/A,N/A,India,N/A
Polycab,Switchgear_Protection,mcb,https://polycab.com/switchgear/mcb/c,DC MCB,FP Pole1 Ampere6kA Breaking Capacity,Breaking Capacity,2665,N/A,DCMCB-BREAKING,https://cms.polycab.com/media/gejb35cj/gmm404p013_img_01.png?format=webp,N/A,N/A,N/A,N/A,India,N/A
Polycab,Switchgear_Protection,mcb,https://polycab.com/switchgear/mcb/c,DC MCB,FP Pole2 Ampere6kA Breaking Capacity,Breaking Capacity,2665,N/A,DCMCB-BREAKING,https://cms.polycab.com/media/i5fnncpp/gmm404p014_img_01.png?format=webp,N/A,N/A,N/A,N/A,India,N/A
