Brand,Main_Category,Sub_Category,Source_URL,Model_Name,Product_Description,Color_Finish,MRP,Dealer_Price,SKU,Image_URL,Warranty,Datasheet_URL,Certifications,BIS_Registration,Country_of_Origin,HSN_Code
Polycab,Water_Heaters,instant-water-heater,https://polycab.com/water-heaters/instant-water-heater/c,INTENSO,5 Litres3 KWWhite Blue,White,6799,N/A,INTENSO-WHITE,https://cms.polycab.com/media/qofn2bet/hwhinst041p_img_01.png?format=webp,N/A,N/A,N/A,N/A,India,N/A
Polycab,Water_Heaters,instant-water-heater,https://polycab.com/water-heaters/instant-water-heater/c,ELIANA,5 Litres3 KWWhite Grey,White,6799,N/A,ELIANA-WHITE,https://cms.polycab.com/media/35fi2awa/hwhinst042p_img_01.png?format=webp,N/A,N/A,N/A,N/A,India,N/A
Polycab,Water_Heaters,instant-water-heater,https://polycab.com/water-heaters/instant-water-heater/c,INTENSO,3 Litres3 KWWhite Blue,White,5499,N/A,INTENSO-WHITE,https://cms.polycab.com/media/2kqnydi5/hwhinst039p_img_01.png?format=webp,N/A,N/A,N/A,N/A,India,N/A
Polycab,Water_Heaters,instant-water-heater,https://polycab.com/water-heaters/instant-water-heater/c,ELIANA,3 Litres3 KWWhite Grey,White,5499,N/A,ELIANA-WHITE,https://cms.polycab.com/media/aiyixd1v/hwhinst040p_img_01.png?format=webp,N/A,N/A,N/A,N/A,India,N/A
Polycab,Water_Heaters,storage-water-heater,https://polycab.com/water-heaters/storage-water-heater/c,POLYCABSUPERIA,25 Litres2 KW5 StarWhite Grey,White,13990,N/A,POLYCABSUP-WHITE,https://cms.polycab.com/media/mikpawrp/hwhsvpb033p_img_01.png?format=webp,N/A,N/A,N/A,N/A,India,N/A
Polycab,Water_Heaters,storage-water-heater,https://polycab.com/water-heaters/storage-water-heater/c,Elanza DLX,25 Litres2 KW4 StarWhite Grey,White,13499,N/A,ELANZADLX-WHITE,https://cms.polycab.com/media/o3edcdne/hwhsvpb063p_img_01.png?format=webp,N/A,N/A,N/A,N/A,India,N/A
Polycab,Water_Heaters,storage-water-heater,https://polycab.com/water-heaters/storage-water-heater/c,POLYCABSUPERIA,15 Litres2 KW5 StarWhite Grey,White,12990,N/A,POLYCABSUP-WHITE,https://cms.polycab.com/media/wgalsaai/hwhsvpb032p_img_01.png?format=webp,N/A,N/A,N/A,N/A,India,N/A
Polycab,Water_Heaters,storage-water-heater,https://polycab.com/water-heaters/storage-water-heater/c,Elanza DLX,15 Litres2 KW4 StarWhite Grey,White,12499,N/A,ELANZADLX-WHITE,https://cms.polycab.com/media/0vfnfogn/hwhsvpb062p_img_01.png?format=webp,N/A,N/A,N/A,N/A,India,N/A
Polycab,Water_Heaters,storage-water-heater,https://polycab.com/water-heaters/storage-water-heater/c,Celestia,25 Litres2 KW5 StarWhite,White,12290,N/A,CELESTIA-WHITE,https://cms.polycab.com/media/1cgcksow/hwhsvmb070p_img_01.png?format=webp,N/A,N/A,N/A,N/A,India,N/A
Polycab,Water_Heaters,storage-water-heater,https://polycab.com/water-heaters/storage-water-heater/c,POLYCABSUPERIA,10 Litres2 KW5 StarWhite Grey,White,11990,N/A,POLYCABSUP-WHITE,https://cms.polycab.com/media/mptgdigd/hwhsvpb031p_img_01.png?format=webp,N/A,N/A,N/A,N/A,India,N/A
Polycab,Water_Heaters,storage-water-heater,https://polycab.com/water-heaters/storage-water-heater/c,Celestia,15 Litres2 KW5 StarWhite,White,11290,N/A,CELESTIA-WHITE,https://cms.polycab.com/media/nlad22vn/hwhsvmb069p_img_01.png?format=webp,N/A,N/A,N/A,N/A,India,N/A
Polycab,Water_Heaters,storage-water-heater,https://polycab.com/water-heaters/storage-water-heater/c,Elanza DLX,10 Litres2 KW4 StarWhite Grey,White,10999,N/A,ELANZADLX-WHITE,https://cms.polycab.com/media/khwpp2iw/hwhsvpb061p_img_01.png?format=webp,N/A,N/A,N/A,N/A,India,N/A
Polycab,Water_Heaters,storage-water-heater,https://polycab.com/water-heaters/storage-water-heater/c,Celestia,10 Litres2 KW5 StarWhite,White,10490,N/A,CELESTIA-WHITE,https://cms.polycab.com/media/zdfpyixg/hwhsvmb068p_img_01.png?format=webp,N/A,N/A,N/A,N/A,India,N/A
