Company,Product_Code,Product_Name,Category,Type,Voltage_Rating,Conductor_Material,Conductor_Size_sqmm,No_of_Cores,Conductor_Class,Insulation_Type,Insulation_Thickness_mm,Armour_Type,Outer_Diameter_mm,Approx_Weight_kg_per_km,Standard,Max_Conductor_Temp_C,Current_Rating_Amps,Price_Per_Meter_INR,Price_Per_90m_INR,Price_Per_100m_INR,Price_Per_180m_INR,Test_Certificate_Cost_INR,Routine_Test_Cost_INR,Type_Test_Cost_INR,HSN_Code,Warranty_Years,Product_URL,Extracted_Date
Finolex,FIN-HOU-0.75-1C,Finolex FR House Wire 0.75 Sq mm 1 Core FR,Housing Wire,Wire,1100V,Annealed Copper,0.75,1,Class 1,FR,0.56,Unarmoured,1.3,8,IS 694,90,13,6.57,591.36,657.07,1182.73,300,300,5000,85444200,25,https://www.finolex.com/ProductPage/Cat/Wires-and-cables,2025-12-07
Finolex,FIN-HOU-1-1C,Finolex FR House Wire 1 Sq mm 1 Core FR,Housing Wire,Wire,1100V,Annealed Copper,1.0,1,Class 1,FR,0.58,Unarmoured,1.5,10,IS 694,90,18,8.76,788.48,876.09,1576.97,300,300,5000,85444200,25,https://www.finolex.com/ProductPage/Cat/Wires-and-cables,2025-12-07
Finolex,FIN-HOU-1.5-1C,Finolex FR House Wire 1.5 Sq mm 1 Core FR,Housing Wire,Wire,1100V,Annealed Copper,1.5,1,Class 1,FR,0.62,Unarmoured,1.84,16,IS 694,90,27,13.14,1182.73,1314.14,2365.45,300,300,5000,85444200,25,https://www.finolex.com/ProductPage/Cat/Wires-and-cables,2025-12-07
Finolex,FIN-HOU-2.5-1C,Finolex FR House Wire 2.5 Sq mm 1 Core FR,Housing Wire,Wire,1100V,Annealed Copper,2.5,1,Class 1,FR,0.7,Unarmoured,2.37,26,IS 694,90,45,21.9,1971.21,2190.23,3942.42,300,300,5000,85444200,25,https://www.finolex.com/ProductPage/Cat/Wires-and-cables,2025-12-07
Finolex,FIN-HOU-4-1C,Finolex FR House Wire 4 Sq mm 1 Core FR,Housing Wire,Wire,1100V,Annealed Copper,4.0,1,Class 1,FR,0.82,Unarmoured,3.0,42,IS 694,90,72,35.04,3153.94,3504.38,6307.88,300,300,5000,85444200,25,https://www.finolex.com/ProductPage/Cat/Wires-and-cables,2025-12-07
Finolex,FIN-HOU-6-1C,Finolex FR House Wire 6 Sq mm 1 Core FR,Housing Wire,Wire,1100V,Annealed Copper,6.0,1,Class 1,FR,0.98,Unarmoured,3.67,64,IS 694,90,108,52.57,4730.91,5256.56,9461.81,300,300,5000,85444200,25,https://www.finolex.com/ProductPage/Cat/Wires-and-cables,2025-12-07
Finolex,FIN-HOU-0.75-1C,Finolex PVC House Wire 0.75 Sq mm 1 Core PVC,Housing Wire,Wire,1100V,Annealed Copper,0.75,1,Class 1,PVC,0.56,Unarmoured,1.3,8,IS 694,70,13,5.26,473.09,525.66,946.18,300,300,5000,85444200,15,https://www.finolex.com/ProductPage/Cat/Wires-and-cables,2025-12-07
Finolex,FIN-HOU-1-1C,Finolex PVC House Wire 1 Sq mm 1 Core PVC,Housing Wire,Wire,1100V,Annealed Copper,1.0,1,Class 1,PVC,0.58,Unarmoured,1.5,10,IS 694,70,18,7.01,630.79,700.88,1261.58,300,300,5000,85444200,15,https://www.finolex.com/ProductPage/Cat/Wires-and-cables,2025-12-07
Finolex,FIN-HOU-1.5-1C,Finolex PVC House Wire 1.5 Sq mm 1 Core PVC,Housing Wire,Wire,1100V,Annealed Copper,1.5,1,Class 1,PVC,0.62,Unarmoured,1.84,16,IS 694,70,27,10.51,946.18,1051.31,1892.36,300,300,5000,85444200,15,https://www.finolex.com/ProductPage/Cat/Wires-and-cables,2025-12-07
Finolex,FIN-HOU-2.5-1C,Finolex PVC House Wire 2.5 Sq mm 1 Core PVC,Housing Wire,Wire,1100V,Annealed Copper,2.5,1,Class 1,PVC,0.7,Unarmoured,2.37,26,IS 694,70,45,17.52,1576.97,1752.19,3153.94,300,300,5000,85444200,15,https://www.finolex.com/ProductPage/Cat/Wires-and-cables,2025-12-07
