Company,Product_Code,Product_Name,Category,Type,Voltage_Rating,Conductor_Material,Conductor_Size_sqmm,No_of_Cores,Conductor_Class,Insulation_Type,Insulation_Thickness_mm,Armour_Type,Outer_Diameter_mm,Approx_Weight_kg_per_km,Standard,Max_Conductor_Temp_C,Current_Rating_Amps,Price_Per_Meter_INR,Price_Per_90m_INR,Price_Per_100m_INR,Price_Per_180m_INR,Test_Certificate_Cost_INR,Routine_Test_Cost_INR,Type_Test_Cost_INR,HSN_Code,Warranty_Years,Product_URL,Extracted_Date
Havells,HAV-FLEX-0.5-2C,"Life Line Plus S3 HRFR Cables 0.5 sq. mm Heat Resistant Flame Retardant 90 m, (0.5 sq. mm) As low as ₹ 908.00 (incl. of all taxes) MRP ₹ 1 550.00 41% Off High Insulation Resistance High Heat Resistant RoHS Complaint View Details Buy Now Add to Wish List",Flexible Cable,Cable,1.1 kV,Annealed Copper,0.5,2,Class 2,FRLS,0.64,Unarmoured,2.55,11,IS 694,90,7,9.55,859.07,954.53,1718.15,500,500,15000,85446000,25,https://havells.com/home-electricals/flexible-cables.html?availability_filter=5555,2025-12-07
Havells,HAV-FLEX-0.75-2C,"Life Line Plus S3 HRFR Cables 0.75 sq. mm Heat Resistant Flame Retardant 90 m, (0.75 sq. mm) As low as ₹ 1 278.00 (incl. of all taxes) MRP ₹ 2 185.00 42% Off High Insulation Resistance FR PHigh Heat Resistant RoHS Complaint View Details Buy Now Add to Wish List",Flexible Cable,Cable,1.1 kV,Annealed Copper,0.75,2,Class 2,FRLS,0.66,Unarmoured,3.12,17,IS 694,90,10,14.32,1288.61,1431.79,2577.22,500,500,15000,85446000,25,https://havells.com/home-electricals/flexible-cables.html?availability_filter=5555,2025-12-07
Havells,HAV-FLEX-1.0-2C,"Life Line Plus S3 HRFR Cables 1.0 sq. mm Heat Resistant Flame Retardant 90 m, (1.0 sq. mm) As low as ₹ 1 733.00 (incl. of all taxes) MRP ₹ 2 960.00 41% Off High Insulation Resistance High Heat Resistant RoHS Complaint View Details Buy Now Add to Wish List",Flexible Cable,Cable,1.1 kV,Annealed Copper,1.0,2,Class 2,FRLS,0.68,Unarmoured,3.6,23,IS 694,90,14,19.09,1718.15,1909.05,3436.29,500,500,15000,85446000,25,https://havells.com/home-electricals/flexible-cables.html?availability_filter=5555,2025-12-07
Havells,HAV-FLEX-1.5-2C,"Life Line Plus S3 HRFR Cables 1.5 sq. mm Heat Resistant Flame Retardant 90 m, (1.5 sq. mm) As low as ₹ 2 537.00 (incl. of all taxes) MRP ₹ 4 335.00 41% Off High Insulation Resistance High Heat Resistant RoHS Complaint View Details Buy Now Add to Wish List",Flexible Cable,Cable,1.1 kV,Annealed Copper,1.5,2,Class 2,FRLS,0.72,Unarmoured,4.41,34,IS 694,90,21,28.64,2577.22,2863.58,5154.44,500,500,15000,85446000,25,https://havells.com/home-electricals/flexible-cables.html?availability_filter=5555,2025-12-07
Havells,HAV-FLEX-2.5-2C,"Life Line Plus S3 HRFR Cables 2.5 sq. mm Heat Resistant Flame Retardant 90 m, (2.5 sq. mm) As low as ₹ 4 049.00 (incl. of all taxes) MRP ₹ 6 920.00 41% Off High Insulation Resistance High Heat Resistant RoHS Complaint View Details Buy Now Add to Wish List",Flexible Cable,Cable,1.1 kV,Annealed Copper,2.5,2,Class 2,FRLS,0.8,Unarmoured,5.69,57,IS 694,90,36,47.73,4295.36,4772.63,8590.73,500,500,15000,85446000,25,https://havells.com/home-electricals/flexible-cables.html?availability_filter=5555,2025-12-07
Havells,HAV-FLEX-4.0-2C,"Life Line Plus S3 HRFR Cables 4.0 sq. mm Heat Resistant Flame Retardant 90 m, (4.0 sq. mm) As low as ₹ 5 927.00 (incl. of all taxes) MRP ₹ 10 130.00 41% Off High Insulation Resistance High Heat Resistant RoHS Complaint View Details Buy Now Add to Wish List",Flexible Cable,Cable,1.1 kV,Annealed Copper,4.0,2,Class 2,FRLS,0.92,Unarmoured,7.2,92,IS 694,90,58,76.36,6872.58,7636.2,13745.16,500,500,15000,85446000,25,https://havells.com/home-electricals/flexible-cables.html?availability_filter=5555,2025-12-07
Havells,HAV-FLEX-6.0-2C,"Life Line Plus S3 HRFR Cables 6.0 sq. mm Heat Resistant Flame Retardant 90 m, (6.0 sq. mm) As low as ₹ 7 846.00 (incl. of all taxes) MRP ₹ 13 410.00 41% Off High Insulation Resistance High Heat Resistant RoHS Complaint View Details Add to Wish List",Flexible Cable,Cable,1.1 kV,Annealed Copper,6.0,2,Class 2,FRLS,1.08,Unarmoured,8.82,138,IS 694,90,87,114.54,10308.87,11454.3,20617.74,500,500,15000,85446000,25,https://havells.com/home-electricals/flexible-cables.html?availability_filter=5555,2025-12-07
Havells,HAV-FLEX-0.75-2C,Lifeline FR 0.75 sq. mm 180 m Black Flame Retardant 0.75 sq. mm 180 m As low as ₹ 2 198.00 (incl. of all taxes) MRP ₹ 4 485.00 51% Off Flame Retardant Extra Flexible High Bending radius View Details Buy Now Add to Wish List,Flexible Cable,Cable,1.1 kV,Annealed Copper,0.75,2,Class 2,FRLS,0.66,Unarmoured,3.12,17,IS 694,90,10,14.32,1288.61,1431.79,2577.22,500,500,15000,85446000,25,https://havells.com/home-electricals/flexible-cables.html?availability_filter=5555,2025-12-07
Havells,HAV-FLEX-1.0-2C,Lifeline FR 1.0 sq. mm 180 m Black Flame Retardant 1.00 sq. mm 180 m As low as ₹ 2 845.00 (incl. of all taxes) MRP ₹ 5 805.00 51% Off Flame Retardant Extra Flexible High Bending radius View Details Buy Now Add to Wish List,Flexible Cable,Cable,1.1 kV,Annealed Copper,1.0,2,Class 2,FRLS,0.68,Unarmoured,3.6,23,IS 694,90,14,19.09,1718.15,1909.05,3436.29,500,500,15000,85446000,25,https://havells.com/home-electricals/flexible-cables.html?availability_filter=5555,2025-12-07
Havells,HAV-FLEX-1.5-2C,Lifeline FR 1.5 sq. mm 180 m Black Flame Retardant 1.50 sq. mm 180 m As low as ₹ 4 169.00 (incl. of all taxes) MRP ₹ 8 510.00 51% Off Flame Retardant Extra Flexible High Bending radius View Details Buy Now Add to Wish List,Flexible Cable,Cable,1.1 kV,Annealed Copper,1.5,2,Class 2,FRLS,0.72,Unarmoured,4.41,34,IS 694,90,21,28.64,2577.22,2863.58,5154.44,500,500,15000,85446000,25,https://havells.com/home-electricals/flexible-cables.html?availability_filter=5555,2025-12-07
Havells,HAV-FLEX-2.5-2C,Lifeline FR 2.5 sq. mm 180 m Black Flame Retardant 2.50 sq. mm 180 m As low as ₹ 6 676.00 (incl. of all taxes) MRP ₹ 13 625.00 51% Off Flame Retardant Extra Flexible High Bending radius View Details Buy Now Add to Wish List,Flexible Cable,Cable,1.1 kV,Annealed Copper,2.5,2,Class 2,FRLS,0.8,Unarmoured,5.69,57,IS 694,90,36,47.73,4295.36,4772.63,8590.73,500,500,15000,85446000,25,https://havells.com/home-electricals/flexible-cables.html?availability_filter=5555,2025-12-07
Havells,HAV-FLEX-4.0-2C,Lifeline FR 4.0 sq. mm 180 m Black Flame Retardant 4.00 sq. mm 180 m As low as ₹ 10 307.00 (incl. of all taxes) MRP ₹ 21 035.00 51% Off Flame Retardant Extra Flexible High Bending radius View Details Buy Now Add to Wish List,Flexible Cable,Cable,1.1 kV,Annealed Copper,4.0,2,Class 2,FRLS,0.92,Unarmoured,7.2,92,IS 694,90,58,76.36,6872.58,7636.2,13745.16,500,500,15000,85446000,25,https://havells.com/home-electricals/flexible-cables.html?availability_filter=5555,2025-12-07
Havells,HAV-FLEX-6.0-2C,Lifeline FR 6.0 sq. mm 180 m Black Flame Retardant 6.00 sq. mm 180 m As low as ₹ 15 441.00 (incl. of all taxes) MRP ₹ 31 510.00 51% Off Flame Retardant Extra Flexible High Bending radius View Details Buy Now Add to Wish List,Flexible Cable,Cable,1.1 kV,Annealed Copper,6.0,2,Class 2,FRLS,1.08,Unarmoured,8.82,138,IS 694,90,87,114.54,10308.87,11454.3,20617.74,500,500,15000,85446000,25,https://havells.com/home-electricals/flexible-cables.html?availability_filter=5555,2025-12-07
Havells,HAV-FLEX-1.0-2C,"Life Guard FR-LSH 1.0 sq. mm Cables Flame Retardant Low Smoke & Halogen, 90 m (1.0 sq. mm) As low as ₹ 1 781.00 (incl. of all taxes) MRP ₹ 3 045.00 42% Off High oxygen index value Self-extinguishing property, restricts the fire to spread Restricts toxic gases and smoke View Details Buy Now Add to Wish List",Flexible Cable,Cable,1.1 kV,Annealed Copper,1.0,2,Class 2,FRLS,0.68,Unarmoured,3.6,23,IS 694,90,14,19.09,1718.15,1909.05,3436.29,500,500,15000,85446000,25,https://havells.com/home-electricals/flexible-cables.html?availability_filter=5555,2025-12-07
