Company,Product_Code,Product_Name,Category,Sub_Category,Type,Voltage_Rating,Conductor_Material,Conductor_Size_sqmm,No_of_Cores,Conductor_Class,Insulation_Type,Insulation_Thickness_mm,Armour_Type,Outer_Diameter_mm,Approx_Weight_kg_per_km,Standard,Max_Conductor_Temp_C,Current_Rating_Amps,Price_Per_Meter_INR,Price_Per_90m_INR,Price_Per_100m_INR,Price_Per_180m_INR,Test_Certificate_Cost_INR,Routine_Test_Cost_INR,Type_Test_Cost_INR,HSN_Code,Warranty_Years,Product_URL,Extracted_Date
Havells,HAVELLS-IND-HTPO-25.0-1C,HT Power Cable Aluminium Conductor ₹ 67 71 000.00 (incl. of all taxes) Application : Heavy Duty XLPE Power cables for Power Generation / Distribution Type : 1.9/3.3 kV to 33/33 kV (E) as per IS:7098 -,HT Power Cable,Industrial,Cable,33 kV,Aluminum,25.0,1.0,Class 2,XLPE,2.6,Armoured-SWA,9.0,267,IS 1554,90,450,259.07,23316.61,25907.34,46633.22,1500,1500,50000,85446000,25,https://havells.com/business/for-industrial/cables/ht-power-cables.html,2025-12-07
Havells,HAVELLS-IND-HTPO-25.0-1C,HT Power Cable Copper Conductor ₹ 9 99 999.00 (incl. of all taxes) Application : Heavy Duty XLPE Power cables for Power Generation / Distribution Type : 1.9/3.3 kV to 33/33 kV (E) as per IS:7098 - 2 S,HT Power Cable,Industrial,Cable,33 kV,Copper,25.0,1.0,Class 2,XLPE,2.6,Armoured-SWA,9.0,267,IS 1554,90,450,259.07,23316.61,25907.34,46633.22,1500,1500,50000,85446000,25,https://havells.com/business/for-industrial/cables/ht-power-cables.html,2025-12-07
Havells,HAVELLS-IND-HTPO-25.0-1C,HT Power Cable Aluminium Conductor,HT Power Cable,Industrial,Cable,33 kV,Aluminum,25.0,1.0,Class 2,XLPE,2.6,Armoured-SWA,9.0,267,IS 7098,90,450,2.0,180.0,200.0,360.0,1500,1500,50000,85446000,25,https://havells.com/business/for-industrial/cables/ht-power-cables/ht-power-cable-aluminium-conductor-chhecldfhk03300.html,2025-12-07
Havells,HAVELLS-IND-HTPO-25.0-1C,More Information,HT Power Cable,Industrial,Cable,33 kV,Aluminum,25.0,1.0,Class 2,XLPE,2.6,Armoured-SWA,9.0,267,IS 7098,90,450,2.0,180.0,200.0,360.0,1500,1500,50000,85446000,25,https://havells.com/business/for-industrial/cables/ht-power-cables/ht-power-cable-copper-conductor-chhelldfhk03240.html,2025-12-07
Havells,HAVELLS-IND-LTPO-10.0-1C,"LT Power Cable Copper Conductor ₹ 5 45 21 000.00 (incl. of all taxes) Application : Cables for Power Supply to Residential, Commercial & Industrial units Type : 1.1 kV for Electrical Substations as pe",LT Power Cable,Industrial,Cable,1.1 kV,Copper,10.0,1.0,Class 2,XLPE,1.4,Unarmoured,5.69,106,IS 7098,90,180,103.63,9326.64,10362.94,18653.29,500,500,15000,85446000,25,https://havells.com/business/for-industrial/cables/lt-power-cables.html,2025-12-07
Havells,HAVELLS-IND-LTPO-10.0-1C,"LT Power Cable Aluminium Conductor ₹ 53 60 000.00 (incl. of all taxes) Application : Cables for Power Supply to Residential, Commercial & Industrial units Type : 1.1 kV for Electrical Substations as p",LT Power Cable,Industrial,Cable,1.1 kV,Aluminum,10.0,1.0,Class 2,XLPE,1.4,Unarmoured,5.69,106,IS 7098,90,180,103.63,9326.64,10362.94,18653.29,500,500,15000,85446000,25,https://havells.com/business/for-industrial/cables/lt-power-cables.html,2025-12-07
Havells,HAVELLS-IND-LTPO-10.0-1C,LT Power Cable Copper Conductor,LT Power Cable,Industrial,Cable,1.1 kV,Aluminum,10.0,1.0,Class 2,XLPE,1.4,Armoured-SWA,5.69,106,IS 7098,90,180,2.0,180.0,200.0,360.0,500,500,15000,85446000,25,https://havells.com/business/for-industrial/cables/lt-power-cables/lt-power-cable-copper-conductor-chlakldfhk3h300.html,2025-12-07
Havells,HAVELLS-IND-LTPO-10.0-1C,LT Power Cable Aluminium Conductor,LT Power Cable,Industrial,Cable,1.1 kV,Aluminum,10.0,1.0,Class 2,XLPE,1.4,Armoured-SWA,5.69,106,IS 7098,90,180,2.0,180.0,200.0,360.0,500,500,15000,85446000,25,https://havells.com/business/for-industrial/cables/lt-power-cables/lt-power-cable-aluminium-conductor-chlabldfhk3h300.html,2025-12-07
Havells,HAVELLS-IND-LTCO-1.5-2.0C,"LT Control Cables ₹ 7 58 160.00 (incl. of all taxes) Application : Cables for Power Supply to equipments, panel boards & distribution boards Type : 1.1 kV as per IS:1554-I & IS 7098-1 Size : 1.5 sq. m",LT Control Cable,Industrial,Cable,1.1 kV,Copper,1.5,2.0,Class 2,XLPE,0.72,Unarmoured,4.41,32,IS 7098,90,21,31.09,2797.99,3108.88,5595.99,500,500,15000,85446000,25,https://havells.com/business/for-industrial/cables/lt-control-cables.html,2025-12-07
Havells,HAVELLS-IND-LTCO-1.5-2.0C,LT Control Cables,LT Control Cable,Industrial,Cable,1.1 kV,Copper,1.5,2.0,Class 2,XLPE,0.72,Armoured-SWA,4.41,32,IS 7098,90,21,2.0,180.0,200.0,360.0,500,500,15000,85446000,25,https://havells.com/business/for-industrial/cables/lt-control-cables/lt-control-cables-chcamldwhk052x5.html,2025-12-07
Havells,HAVELLS-IND-INSTR-0.5-2.0C,"Instrumentation Signal Cable ₹ 9 99 99 999.00 (incl. of all taxes) Application : Used in analogue and digital communication, control, and instrumentation applications, specifically designed for indust",Instrumentation Cable,Industrial,Cable,1.1 kV,Copper,0.5,2.0,Class 2,XLPE,0.64,Unarmoured,2.55,10,IS 1554,90,7,10.36,932.66,1036.29,1865.33,500,500,15000,85446000,25,https://havells.com/business/for-industrial/cables/instrumentation-cables.html,2025-12-07
Havells,HAVELLS-IND-INSTR-0.5-2.0C,Instrumentation Signal Cable,Instrumentation Cable,Industrial,Cable,1.1 kV,Copper,0.5,2.0,Class 2,XLPE,0.64,Armoured-SWA,2.55,10,BS 50288,90,7,2.0,180.0,200.0,360.0,500,500,15000,85446000,25,https://havells.com/business/for-industrial/cables/instrumentation-cables/instrumentation-signal-cable-chdvtannfb1p1x5.html,2025-12-07
Havells,HAVELLS-IND-EHVC-185.0-1C,"Extra High Voltage Cables ₹ 9 99 99 999.00 (incl. of all taxes) Application : High Power Transmission Type : 66 kV, 110 kV, 132 kV, 220 kV as per IS 7098 P-3/IEC 60840/IEC 62067 Size : 185 sq. mm to 2",EHV Cable,Industrial,Cable,220 kV,Aluminum,185.0,1.0,Class 2,XLPE,15.4,Armoured-SWA,24.48,1975,IS 7098,90,3330,1917.14,172542.91,191714.34,345085.82,5000,5000,200000,85446000,25,https://havells.com/business/for-industrial/cables/ehv-cables.html,2025-12-07
Havells,HAVELLS-IND-EHVC-185.0-1C,Extra High Voltage Cables,EHV Cable,Industrial,Cable,220 kV,Copper,185.0,1.0,Class 2,XLPE,15.4,Armoured-SWA,24.48,1975,IS 7098,90,3330,2.0,180.0,200.0,360.0,5000,5000,200000,85446000,25,https://havells.com/business/for-industrial/cables/ehv-cables/extra-high-voltage-cables.html,2025-12-07
