Company,Product_Code,Product_Name,Category,Type,Voltage_Rating,Conductor_Material,Conductor_Size_sqmm,No_of_Cores,Conductor_Class,Insulation_Type,Insulation_Thickness_mm,Armour_Type,Outer_Diameter_mm,Approx_Weight_kg_per_km,Standard,Max_Conductor_Temp_C,Current_Rating_Amps,Price_Per_Meter_INR,Price_Per_90m_INR,Price_Per_100m_INR,Price_Per_180m_INR,Test_Certificate_Cost_INR,Routine_Test_Cost_INR,Type_Test_Cost_INR,HSN_Code,Warranty_Years,Product_URL,Source_Text,Extracted_Date
KEI,KEI-EVC-2.5-1C,EV Charging Cable 2.5 Sq mm PVC 1100V - 3c x 2.5 sq.mm + 1 x 0.5 sq.mm 2.0 9.3 11.9 130,EV Charging Cable,Cable,1100V,Annealed Copper,2.5,1.0,Class 1,PVC,0.8,Unarmoured,2.69,26,IS 1554,70,45,16.69,1501.88,1668.75,3003.75,3000,3000,150000,85446000,20,PDF Extracted,3c x 2.5 sq.mm + 1 x 0.5 sq.mm 2.0 9.3 11.9 130,2025-12-07
KEI,KEI-EVC-2.5-1C,EV Charging Cable 2.5 Sq mm PVC 1100V - 3c x 6 sq.mm + 1 x 0.5 sq.mm 3.10 12.3 15.7 265,EV Charging Cable,Cable,1100V,Annealed Copper,2.5,1.0,Class 1,PVC,0.8,Unarmoured,2.69,26,IS 1554,70,45,16.69,1501.88,1668.75,3003.75,3000,3000,150000,85446000,20,PDF Extracted,3c x 6 sq.mm + 1 x 0.5 sq.mm 3.10 12.3 15.7 265,2025-12-07
KEI,KEI-EVC-6.0-1C,EV Charging Cable 6.0 Sq mm PVC 1100V - 3c x 35 sq.mm + 3 x 0.75 sq.mm 7.60 25.7 32.9 1300,EV Charging Cable,Cable,1100V,Annealed Copper,6.0,1.0,Class 1,PVC,1.08,Unarmoured,4.16,64,IS 1554,70,108,40.05,3604.5,4005.0,7209.0,3000,3000,150000,85446000,20,PDF Extracted,3c x 35 sq.mm + 3 x 0.75 sq.mm 7.60 25.7 32.9 1300,2025-12-07
KEI,KEI-EVC-35.0-1C,EV Charging Cable 35.0 Sq mm PVC 1100V - 5c x 2.5 sq.mm + 1 x 0.5 sq.mm 2.0 11.7 15 215,EV Charging Cable,Cable,1100V,Annealed Copper,35.0,1.0,Class 1,PVC,3.4,Unarmoured,10.06,373,IS 1554,70,630,233.62,21026.25,23362.5,42052.5,3000,3000,150000,85446000,20,PDF Extracted,5c x 2.5 sq.mm + 1 x 0.5 sq.mm 2.0 11.7 15  215,2025-12-07
KEI,KEI-EVC-2.5-1C,EV Charging Cable 2.5 Sq mm PVC 1100V - 5c x 6 sq.mm + 1 x 0.5 sq.mm 3.1 15.4 19.7 410,EV Charging Cable,Cable,1100V,Annealed Copper,2.5,1.0,Class 1,PVC,0.8,Unarmoured,2.69,26,IS 1554,70,45,16.69,1501.88,1668.75,3003.75,3000,3000,150000,85446000,20,PDF Extracted,5c x 6 sq.mm + 1 x 0.5 sq.mm 3.1 15.4 19.7 410,2025-12-07
KEI,KEI-EVC-6.0-1C,EV Charging Cable 6.0 Sq mm PVC 1100V - 5c x 10 sq.mm + 1 x 0.5 sq.mm 4.1 18.3 23.4 675,EV Charging Cable,Cable,1100V,Annealed Copper,6.0,1.0,Class 1,PVC,1.08,Unarmoured,4.16,64,IS 1554,70,108,40.05,3604.5,4005.0,7209.0,3000,3000,150000,85446000,20,PDF Extracted,5c x 10 sq.mm + 1 x 0.5 sq.mm 4.1 18.3 23.4 675,2025-12-07
KEI,KEI-EVC-10.0-1C,EV Charging Cable 10.0 Sq mm PVC 1100V - 5c x 16 sq.mm + 1 x 0.75 sq.mm 5.2 22 28.4 960,EV Charging Cable,Cable,1100V,Annealed Copper,10.0,1.0,Class 1,PVC,1.4,Unarmoured,5.38,106,IS 1554,70,180,66.75,6007.5,6675.0,12015.0,3000,3000,150000,85446000,20,PDF Extracted,5c x 16 sq.mm + 1 x 0.75 sq.mm 5.2 22 28.4 960,2025-12-07
KEI,KEI-EVC-16.0-1C,EV Charging Cable 16.0 Sq mm PVC 1100V - 3c x 16 sq.mm + 3 x (2 x 0.75 sq.mm) 0.8 1.5 20.7 680,EV Charging Cable,Cable,1100V,Annealed Copper,16.0,1.0,Class 1,PVC,1.88,Unarmoured,6.8,170,IS 1554,70,288,106.8,9612.0,10680.0,19224.0,3000,3000,150000,85446000,20,PDF Extracted,3c x 16 sq.mm + 3 x (2 x 0.75 sq.mm) 0.8 1.5 20.7 680,2025-12-07
KEI,KEI-EVC-16.0-1C,EV Charging Cable 16.0 Sq mm PVC 1100V - 2c x 35 sq.mm + 1c x 16 sq.mm + 3 x (2 x 0.75 sq.mm) 1 1.9 29.7 1205,EV Charging Cable,Cable,1100V,Annealed Copper,16.0,1.0,Class 1,PVC,1.88,Unarmoured,6.8,170,IS 1554,70,288,106.8,9612.0,10680.0,19224.0,3000,3000,150000,85446000,20,PDF Extracted,2c x 35 sq.mm + 1c x 16 sq.mm + 3 x (2 x 0.75 sq.mm) 1 1.9 29.7 1205,2025-12-07
KEI,KEI-EVC-35.0-1C,EV Charging Cable 35.0 Sq mm PVC 1100V - 2c x 35 sq.mm + 1c x 16 sq.mm + 1 x (4 x 0.75 sq.mm) + 2 x (2 x 0.75 sq.mm) 1 1.9 29.7 1350,EV Charging Cable,Cable,1100V,Annealed Copper,35.0,1.0,Class 1,PVC,3.4,Unarmoured,10.06,373,IS 1554,70,630,233.62,21026.25,23362.5,42052.5,3000,3000,150000,85446000,20,PDF Extracted,2c x 35 sq.mm + 1c x 16 sq.mm + 1 x (4 x 0.75 sq.mm) + 2 x (2 x 0.75 sq.mm) 1 1.9 29.7 1350,2025-12-07
