Company,Product_Code,Product_Name,Category,Type,Voltage_Rating,Conductor_Material,Conductor_Size_sqmm,No_of_Cores,Conductor_Class,Insulation_Type,Insulation_Thickness_mm,Armour_Type,Outer_Diameter_mm,Approx_Weight_kg_per_km,Standard,Max_Conductor_Temp_C,Current_Rating_Amps,Price_Per_Meter_INR,Price_Per_90m_INR,Price_Per_100m_INR,Price_Per_180m_INR,Test_Certificate_Cost_INR,Routine_Test_Cost_INR,Type_Test_Cost_INR,HSN_Code,Warranty_Years,Product_URL,Extracted_Date
Polycab,PCB-CON-0.75-2C,Polycab Control Cable 0.75 Sq mm 2 Core PVC,Control Cable,Cable,1.1 kV,Annealed Copper,0.75,2,Class 1,PVC,0.66,Unarmoured,3.12,16,IS 1554,70,10,11.21,1009.26,1121.4,2018.52,500,500,15000,85446000,20,https://www.polycab.com/products,2025-12-07
Polycab,PCB-CON-0.75-4C,Polycab Control Cable 0.75 Sq mm 4 Core PVC,Control Cable,Cable,1.1 kV,Annealed Copper,0.75,4,Class 1,PVC,0.66,Unarmoured,6.24,32,IS 1554,70,8,22.43,2018.52,2242.8,4037.04,500,500,15000,85446000,20,https://www.polycab.com/products,2025-12-07
Polycab,PCB-CON-0.75-5C,Polycab Control Cable 0.75 Sq mm 5 Core PVC,Control Cable,Cable,1.1 kV,Annealed Copper,0.75,5,Class 1,PVC,0.66,Unarmoured,7.79,40,IS 1554,70,8,28.04,2523.15,2803.5,5046.3,500,500,15000,85446000,20,https://www.polycab.com/products,2025-12-07
Polycab,PCB-CON-0.75-7C,Polycab Control Cable 0.75 Sq mm 7 Core PVC,Control Cable,Cable,1.1 kV,Annealed Copper,0.75,7,Class 1,PVC,0.66,Unarmoured,10.91,56,IS 1554,70,7,39.25,3532.41,3924.9,7064.82,500,500,15000,85446000,20,https://www.polycab.com/products,2025-12-07
Polycab,PCB-CON-0.75-12C,Polycab Control Cable 0.75 Sq mm 12 Core PVC,Control Cable,Cable,1.1 kV,Annealed Copper,0.75,12,Class 1,PVC,0.66,Unarmoured,18.71,96,IS 1554,70,6,67.28,6055.56,6728.4,12111.12,500,500,15000,85446000,20,https://www.polycab.com/products,2025-12-07
Polycab,PCB-CON-0.75-14C,Polycab Control Cable 0.75 Sq mm 14 Core PVC,Control Cable,Cable,1.1 kV,Annealed Copper,0.75,14,Class 1,PVC,0.66,Unarmoured,21.82,112,IS 1554,70,6,78.5,7064.82,7849.8,14129.64,500,500,15000,85446000,20,https://www.polycab.com/products,2025-12-07
Polycab,PCB-CON-0.75-19C,Polycab Control Cable 0.75 Sq mm 19 Core PVC,Control Cable,Cable,1.1 kV,Annealed Copper,0.75,19,Class 1,PVC,0.66,Unarmoured,29.62,152,IS 1554,70,5,106.53,9587.97,10653.3,19175.94,500,500,15000,85446000,20,https://www.polycab.com/products,2025-12-07
Polycab,PCB-CON-0.75-24C,Polycab Control Cable 0.75 Sq mm 24 Core PVC,Control Cable,Cable,1.1 kV,Annealed Copper,0.75,24,Class 1,PVC,0.66,Unarmoured,37.41,192,IS 1554,70,5,134.57,12111.12,13456.8,24222.24,500,500,15000,85446000,20,https://www.polycab.com/products,2025-12-07
Polycab,PCB-CON-0.75-27C,Polycab Control Cable 0.75 Sq mm 27 Core PVC,Control Cable,Cable,1.1 kV,Annealed Copper,0.75,27,Class 1,PVC,0.66,Unarmoured,42.09,216,IS 1554,70,5,151.39,13625.01,15138.9,27250.02,500,500,15000,85446000,20,https://www.polycab.com/products,2025-12-07
Polycab,PCB-CON-0.75-37C,Polycab Control Cable 0.75 Sq mm 37 Core PVC,Control Cable,Cable,1.1 kV,Annealed Copper,0.75,37,Class 1,PVC,0.66,Unarmoured,57.68,296,IS 1554,70,4,207.46,18671.31,20745.9,37342.62,500,500,15000,85446000,20,https://www.polycab.com/products,2025-12-07
Polycab,PCB-CON-1-2C,Polycab Control Cable 1 Sq mm 2 Core PVC,Control Cable,Cable,1.1 kV,Annealed Copper,1.0,2,Class 1,PVC,0.68,Unarmoured,3.6,21,IS 1554,70,14,14.95,1345.68,1495.2,2691.36,500,500,15000,85446000,20,https://www.polycab.com/products,2025-12-07
Polycab,PCB-CON-1-4C,Polycab Control Cable 1 Sq mm 4 Core PVC,Control Cable,Cable,1.1 kV,Annealed Copper,1.0,4,Class 1,PVC,0.68,Unarmoured,7.2,42,IS 1554,70,11,29.9,2691.36,2990.4,5382.72,500,500,15000,85446000,20,https://www.polycab.com/products,2025-12-07
Polycab,PCB-CON-1-5C,Polycab Control Cable 1 Sq mm 5 Core PVC,Control Cable,Cable,1.1 kV,Annealed Copper,1.0,5,Class 1,PVC,0.68,Unarmoured,9.0,53,IS 1554,70,11,37.38,3364.2,3738.0,6728.4,500,500,15000,85446000,20,https://www.polycab.com/products,2025-12-07
Polycab,PCB-CON-1-7C,Polycab Control Cable 1 Sq mm 7 Core PVC,Control Cable,Cable,1.1 kV,Annealed Copper,1.0,7,Class 1,PVC,0.68,Unarmoured,12.6,74,IS 1554,70,10,52.33,4709.88,5233.2,9419.76,500,500,15000,85446000,20,https://www.polycab.com/products,2025-12-07
Polycab,PCB-CON-1-12C,Polycab Control Cable 1 Sq mm 12 Core PVC,Control Cable,Cable,1.1 kV,Annealed Copper,1.0,12,Class 1,PVC,0.68,Unarmoured,21.6,128,IS 1554,70,8,89.71,8074.08,8971.2,16148.16,500,500,15000,85446000,20,https://www.polycab.com/products,2025-12-07
Polycab,PCB-CON-1-14C,Polycab Control Cable 1 Sq mm 14 Core PVC,Control Cable,Cable,1.1 kV,Annealed Copper,1.0,14,Class 1,PVC,0.68,Unarmoured,25.2,149,IS 1554,70,8,104.66,9419.76,10466.4,18839.52,500,500,15000,85446000,20,https://www.polycab.com/products,2025-12-07
Polycab,PCB-CON-1-19C,Polycab Control Cable 1 Sq mm 19 Core PVC,Control Cable,Cable,1.1 kV,Annealed Copper,1.0,19,Class 1,PVC,0.68,Unarmoured,34.2,202,IS 1554,70,7,142.04,12783.96,14204.4,25567.92,500,500,15000,85446000,20,https://www.polycab.com/products,2025-12-07
Polycab,PCB-CON-1-24C,Polycab Control Cable 1 Sq mm 24 Core PVC,Control Cable,Cable,1.1 kV,Annealed Copper,1.0,24,Class 1,PVC,0.68,Unarmoured,43.2,256,IS 1554,70,6,179.42,16148.16,17942.4,32296.32,500,500,15000,85446000,20,https://www.polycab.com/products,2025-12-07
Polycab,PCB-CON-1-27C,Polycab Control Cable 1 Sq mm 27 Core PVC,Control Cable,Cable,1.1 kV,Annealed Copper,1.0,27,Class 1,PVC,0.68,Unarmoured,48.6,288,IS 1554,70,6,201.85,18166.68,20185.2,36333.36,500,500,15000,85446000,20,https://www.polycab.com/products,2025-12-07
Polycab,PCB-CON-1-37C,Polycab Control Cable 1 Sq mm 37 Core PVC,Control Cable,Cable,1.1 kV,Annealed Copper,1.0,37,Class 1,PVC,0.68,Unarmoured,66.6,395,IS 1554,70,6,276.61,24895.08,27661.2,49790.16,500,500,15000,85446000,20,https://www.polycab.com/products,2025-12-07
Polycab,PCB-CON-1.5-2C,Polycab Control Cable 1.5 Sq mm 2 Core PVC,Control Cable,Cable,1.1 kV,Annealed Copper,1.5,2,Class 1,PVC,0.72,Unarmoured,4.41,32,IS 1554,70,21,22.43,2018.52,2242.8,4037.04,500,500,15000,85446000,20,https://www.polycab.com/products,2025-12-07
Polycab,PCB-CON-1.5-4C,Polycab Control Cable 1.5 Sq mm 4 Core PVC,Control Cable,Cable,1.1 kV,Annealed Copper,1.5,4,Class 1,PVC,0.72,Unarmoured,8.82,64,IS 1554,70,17,44.86,4037.04,4485.6,8074.08,500,500,15000,85446000,20,https://www.polycab.com/products,2025-12-07
Polycab,PCB-CON-1.5-5C,Polycab Control Cable 1.5 Sq mm 5 Core PVC,Control Cable,Cable,1.1 kV,Annealed Copper,1.5,5,Class 1,PVC,0.72,Unarmoured,11.02,80,IS 1554,70,16,56.07,5046.3,5607.0,10092.6,500,500,15000,85446000,20,https://www.polycab.com/products,2025-12-07
Polycab,PCB-CON-1.5-7C,Polycab Control Cable 1.5 Sq mm 7 Core PVC,Control Cable,Cable,1.1 kV,Annealed Copper,1.5,7,Class 1,PVC,0.72,Unarmoured,15.43,112,IS 1554,70,15,78.5,7064.82,7849.8,14129.64,500,500,15000,85446000,20,https://www.polycab.com/products,2025-12-07
Polycab,PCB-CON-1.5-12C,Polycab Control Cable 1.5 Sq mm 12 Core PVC,Control Cable,Cable,1.1 kV,Annealed Copper,1.5,12,Class 1,PVC,0.72,Unarmoured,26.45,192,IS 1554,70,12,134.57,12111.12,13456.8,24222.24,500,500,15000,85446000,20,https://www.polycab.com/products,2025-12-07
Polycab,PCB-CON-1.5-14C,Polycab Control Cable 1.5 Sq mm 14 Core PVC,Control Cable,Cable,1.1 kV,Annealed Copper,1.5,14,Class 1,PVC,0.72,Unarmoured,30.86,224,IS 1554,70,12,157.0,14129.64,15699.6,28259.28,500,500,15000,85446000,20,https://www.polycab.com/products,2025-12-07
Polycab,PCB-CON-1.5-19C,Polycab Control Cable 1.5 Sq mm 19 Core PVC,Control Cable,Cable,1.1 kV,Annealed Copper,1.5,19,Class 1,PVC,0.72,Unarmoured,41.89,304,IS 1554,70,11,213.07,19175.94,21306.6,38351.88,500,500,15000,85446000,20,https://www.polycab.com/products,2025-12-07
Polycab,PCB-CON-1.5-24C,Polycab Control Cable 1.5 Sq mm 24 Core PVC,Control Cable,Cable,1.1 kV,Annealed Copper,1.5,24,Class 1,PVC,0.72,Unarmoured,52.91,384,IS 1554,70,10,269.14,24222.24,26913.6,48444.48,500,500,15000,85446000,20,https://www.polycab.com/products,2025-12-07
Polycab,PCB-CON-1.5-27C,Polycab Control Cable 1.5 Sq mm 27 Core PVC,Control Cable,Cable,1.1 kV,Annealed Copper,1.5,27,Class 1,PVC,0.72,Unarmoured,59.52,432,IS 1554,70,10,302.78,27250.02,30277.8,54500.04,500,500,15000,85446000,20,https://www.polycab.com/products,2025-12-07
Polycab,PCB-CON-1.5-37C,Polycab Control Cable 1.5 Sq mm 37 Core PVC,Control Cable,Cable,1.1 kV,Annealed Copper,1.5,37,Class 1,PVC,0.72,Unarmoured,81.57,592,IS 1554,70,9,414.92,37342.62,41491.8,74685.24,500,500,15000,85446000,20,https://www.polycab.com/products,2025-12-07
Polycab,PCB-CON-2.5-2C,Polycab Control Cable 2.5 Sq mm 2 Core PVC,Control Cable,Cable,1.1 kV,Annealed Copper,2.5,2,Class 1,PVC,0.8,Unarmoured,5.69,53,IS 1554,70,36,37.38,3364.2,3738.0,6728.4,500,500,15000,85446000,20,https://www.polycab.com/products,2025-12-07
Polycab,PCB-CON-2.5-4C,Polycab Control Cable 2.5 Sq mm 4 Core PVC,Control Cable,Cable,1.1 kV,Annealed Copper,2.5,4,Class 1,PVC,0.8,Unarmoured,11.38,106,IS 1554,70,29,74.76,6728.4,7476.0,13456.8,500,500,15000,85446000,20,https://www.polycab.com/products,2025-12-07
Polycab,PCB-CON-2.5-5C,Polycab Control Cable 2.5 Sq mm 5 Core PVC,Control Cable,Cable,1.1 kV,Annealed Copper,2.5,5,Class 1,PVC,0.8,Unarmoured,14.23,133,IS 1554,70,27,93.45,8410.5,9345.0,16821.0,500,500,15000,85446000,20,https://www.polycab.com/products,2025-12-07
Polycab,PCB-CON-2.5-7C,Polycab Control Cable 2.5 Sq mm 7 Core PVC,Control Cable,Cable,1.1 kV,Annealed Copper,2.5,7,Class 1,PVC,0.8,Unarmoured,19.92,186,IS 1554,70,25,130.83,11774.7,13083.0,23549.4,500,500,15000,85446000,20,https://www.polycab.com/products,2025-12-07
Polycab,PCB-CON-2.5-12C,Polycab Control Cable 2.5 Sq mm 12 Core PVC,Control Cable,Cable,1.1 kV,Annealed Copper,2.5,12,Class 1,PVC,0.8,Unarmoured,34.15,320,IS 1554,70,21,224.28,20185.2,22428.0,40370.4,500,500,15000,85446000,20,https://www.polycab.com/products,2025-12-07
