Company,Product_Code,Product_Name,Category,Type,Voltage_Rating,Conductor_Material,Conductor_Size_sqmm,No_of_Cores,Conductor_Class,Insulation_Type,Insulation_Thickness_mm,Armour_Type,Outer_Diameter_mm,Approx_Weight_kg_per_km,Standard,Max_Conductor_Temp_C,Current_Rating_Amps,Price_Per_Meter_INR,Price_Per_90m_INR,Price_Per_100m_INR,Price_Per_180m_INR,Test_Certificate_Cost_INR,Routine_Test_Cost_INR,Type_Test_Cost_INR,HSN_Code,Warranty_Years,Product_URL,Extracted_Date
Polycab,PCB-FRL-1.5-2C,Polycab FRLS Multi-core Cable 1.5 Sq mm 2 Core FRLS,FRLS Cable,Cable,1.1 kV,Annealed Copper,1.5,2,Class 1,FRLS,0.72,Unarmoured,4.41,32,IS 1554,90,21,29.16,2624.08,2915.64,5248.15,500,500,15000,85446000,25,https://www.polycab.com/products,2025-12-07
Polycab,PCB-FRL-1.5-3C,Polycab FRLS Multi-core Cable 1.5 Sq mm 3 Core FRLS,FRLS Cable,Cable,1.1 kV,Annealed Copper,1.5,3,Class 1,FRLS,0.72,Unarmoured,6.61,48,IS 1554,90,19,43.73,3936.11,4373.46,7872.23,500,500,15000,85446000,25,https://www.polycab.com/products,2025-12-07
Polycab,PCB-FRL-1.5-4C,Polycab FRLS Multi-core Cable 1.5 Sq mm 4 Core FRLS,FRLS Cable,Cable,1.1 kV,Annealed Copper,1.5,4,Class 1,FRLS,0.72,Unarmoured,8.82,64,IS 1554,90,17,58.31,5248.15,5831.28,10496.3,500,500,15000,85446000,25,https://www.polycab.com/products,2025-12-07
Polycab,PCB-FRL-2.5-2C,Polycab FRLS Multi-core Cable 2.5 Sq mm 2 Core FRLS,FRLS Cable,Cable,1.1 kV,Annealed Copper,2.5,2,Class 1,FRLS,0.8,Unarmoured,5.69,53,IS 1554,90,36,48.59,4373.46,4859.4,8746.92,500,500,15000,85446000,25,https://www.polycab.com/products,2025-12-07
Polycab,PCB-FRL-2.5-3C,Polycab FRLS Multi-core Cable 2.5 Sq mm 3 Core FRLS,FRLS Cable,Cable,1.1 kV,Annealed Copper,2.5,3,Class 1,FRLS,0.8,Unarmoured,8.54,80,IS 1554,90,32,72.89,6560.19,7289.1,13120.38,500,500,15000,85446000,25,https://www.polycab.com/products,2025-12-07
Polycab,PCB-FRL-2.5-4C,Polycab FRLS Multi-core Cable 2.5 Sq mm 4 Core FRLS,FRLS Cable,Cable,1.1 kV,Annealed Copper,2.5,4,Class 1,FRLS,0.8,Unarmoured,11.38,106,IS 1554,90,29,97.19,8746.92,9718.8,17493.84,500,500,15000,85446000,25,https://www.polycab.com/products,2025-12-07
Polycab,PCB-FRL-4-2C,Polycab FRLS Multi-core Cable 4 Sq mm 2 Core FRLS,FRLS Cable,Cable,1.1 kV,Annealed Copper,4.0,2,Class 1,FRLS,0.92,Unarmoured,7.2,85,IS 1554,90,58,77.75,6997.54,7775.04,13995.07,500,500,15000,85446000,25,https://www.polycab.com/products,2025-12-07
Polycab,PCB-FRL-4-3C,Polycab FRLS Multi-core Cable 4 Sq mm 3 Core FRLS,FRLS Cable,Cable,1.1 kV,Annealed Copper,4.0,3,Class 1,FRLS,0.92,Unarmoured,10.8,128,IS 1554,90,51,116.63,10496.3,11662.56,20992.61,500,500,15000,85446000,25,https://www.polycab.com/products,2025-12-07
Polycab,PCB-FRL-4-4C,Polycab FRLS Multi-core Cable 4 Sq mm 4 Core FRLS,FRLS Cable,Cable,1.1 kV,Annealed Copper,4.0,4,Class 1,FRLS,0.92,Unarmoured,14.4,170,IS 1554,90,47,155.5,13995.07,15550.08,27990.14,500,500,15000,85446000,25,https://www.polycab.com/products,2025-12-07
Polycab,PCB-FRL-6-2C,Polycab FRLS Multi-core Cable 6 Sq mm 2 Core FRLS,FRLS Cable,Cable,1.1 kV,Annealed Copper,6.0,2,Class 1,FRLS,1.08,Unarmoured,8.82,128,IS 1554,90,87,116.63,10496.3,11662.56,20992.61,500,500,15000,85446000,25,https://www.polycab.com/products,2025-12-07
