Company,Product_Code,Product_Name,Category,Type,Voltage_Rating,Conductor_Material,Conductor_Size_sqmm,No_of_Cores,Conductor_Class,Insulation_Type,Insulation_Thickness_mm,Armour_Type,Outer_Diameter_mm,Approx_Weight_kg_per_km,Standard,Max_Conductor_Temp_C,Current_Rating_Amps,Price_Per_Meter_INR,Price_Per_90m_INR,Price_Per_100m_INR,Price_Per_180m_INR,Test_Certificate_Cost_INR,Routine_Test_Cost_INR,Type_Test_Cost_INR,HSN_Code,Warranty_Years,Product_URL,Extracted_Date
Polycab,PCB-POW-25-1C,Polycab XLPE HT Cable 11kV 25 Sq mm 1 Core XLPE,Power Cable-HT,Cable,11 kV,Annealed Copper,25.0,1,Class 1,XLPE,2.6,Armoured-SWA,9.0,267,IS 1554,90,450,242.97,21867.3,24297.0,43734.6,1500,1500,50000,85446000,25,https://www.polycab.com/products,2025-12-07
Polycab,PCB-POW-35-1C,Polycab XLPE HT Cable 11kV 35 Sq mm 1 Core XLPE,Power Cable-HT,Cable,11 kV,Annealed Copper,35.0,1,Class 1,XLPE,3.4,Armoured-SWA,10.65,373,IS 1554,90,630,340.16,30614.22,34015.8,61228.44,1500,1500,50000,85446000,25,https://www.polycab.com/products,2025-12-07
Polycab,PCB-POW-50-1C,Polycab XLPE HT Cable 11kV 50 Sq mm 1 Core XLPE,Power Cable-HT,Cable,11 kV,Annealed Copper,50.0,1,Class 1,XLPE,4.6,Armoured-SWA,12.73,534,IS 1554,90,900,485.94,43734.6,48594.0,87469.2,1500,1500,50000,85446000,25,https://www.polycab.com/products,2025-12-07
Polycab,PCB-POW-70-1C,Polycab XLPE HT Cable 11kV 70 Sq mm 1 Core XLPE,Power Cable-HT,Cable,11 kV,Annealed Copper,70.0,1,Class 1,XLPE,6.2,Armoured-SWA,15.06,747,IS 1554,90,1260,680.32,61228.44,68031.6,122456.88,1500,1500,50000,85446000,25,https://www.polycab.com/products,2025-12-07
Polycab,PCB-POW-95-1C,Polycab XLPE HT Cable 11kV 95 Sq mm 1 Core XLPE,Power Cable-HT,Cable,11 kV,Annealed Copper,95.0,1,Class 1,XLPE,8.2,Armoured-SWA,17.54,1014,IS 1554,90,1710,923.29,83095.74,92328.6,166191.48,1500,1500,50000,85446000,25,https://www.polycab.com/products,2025-12-07
Polycab,PCB-POW-120-1C,Polycab XLPE HT Cable 11kV 120 Sq mm 1 Core XLPE,Power Cable-HT,Cable,11 kV,Annealed Copper,120.0,1,Class 1,XLPE,10.2,Armoured-SWA,19.72,1281,IS 1554,90,2160,1166.26,104963.04,116625.6,209926.08,1500,1500,50000,85446000,25,https://www.polycab.com/products,2025-12-07
Polycab,PCB-POW-150-1C,Polycab XLPE HT Cable 11kV 150 Sq mm 1 Core XLPE,Power Cable-HT,Cable,11 kV,Annealed Copper,150.0,1,Class 1,XLPE,12.6,Armoured-SWA,22.05,1602,IS 1554,90,2700,1457.82,131203.8,145782.0,262407.6,1500,1500,50000,85446000,25,https://www.polycab.com/products,2025-12-07
Polycab,PCB-POW-185-1C,Polycab XLPE HT Cable 11kV 185 Sq mm 1 Core XLPE,Power Cable-HT,Cable,11 kV,Annealed Copper,185.0,1,Class 1,XLPE,15.4,Armoured-SWA,24.48,1975,IS 1554,90,3330,1797.98,161818.02,179797.8,323636.04,1500,1500,50000,85446000,25,https://www.polycab.com/products,2025-12-07
Polycab,PCB-POW-240-1C,Polycab XLPE HT Cable 11kV 240 Sq mm 1 Core XLPE,Power Cable-HT,Cable,11 kV,Annealed Copper,240.0,1,Class 1,XLPE,19.8,Armoured-SWA,27.89,2563,IS 1554,90,4320,2332.51,209926.08,233251.2,419852.16,1500,1500,50000,85446000,25,https://www.polycab.com/products,2025-12-07
Polycab,PCB-POW-300-1C,Polycab XLPE HT Cable 11kV 300 Sq mm 1 Core XLPE,Power Cable-HT,Cable,11 kV,Annealed Copper,300.0,1,Class 1,XLPE,24.6,Armoured-SWA,31.18,3204,IS 1554,90,5400,2915.64,262407.6,291564.0,524815.2,1500,1500,50000,85446000,25,https://www.polycab.com/products,2025-12-07
Polycab,PCB-POW-400-1C,Polycab XLPE HT Cable 11kV 400 Sq mm 1 Core XLPE,Power Cable-HT,Cable,11 kV,Annealed Copper,400.0,1,Class 1,XLPE,32.6,Armoured-SWA,36.0,4272,IS 1554,90,7200,3887.52,349876.8,388752.0,699753.6,1500,1500,50000,85446000,25,https://www.polycab.com/products,2025-12-07
Polycab,PCB-POW-50-1C,Polycab XLPE HT Cable 33kV 50 Sq mm 1 Core XLPE,Power Cable-HT,Cable,33 kV,Annealed Copper,50.0,1,Class 1,XLPE,4.6,Armoured-SWA,12.73,534,IS 1554,90,900,485.94,43734.6,48594.0,87469.2,1500,1500,50000,85446000,25,https://www.polycab.com/products,2025-12-07
Polycab,PCB-POW-70-1C,Polycab XLPE HT Cable 33kV 70 Sq mm 1 Core XLPE,Power Cable-HT,Cable,33 kV,Annealed Copper,70.0,1,Class 1,XLPE,6.2,Armoured-SWA,15.06,747,IS 1554,90,1260,680.32,61228.44,68031.6,122456.88,1500,1500,50000,85446000,25,https://www.polycab.com/products,2025-12-07
Polycab,PCB-POW-95-1C,Polycab XLPE HT Cable 33kV 95 Sq mm 1 Core XLPE,Power Cable-HT,Cable,33 kV,Annealed Copper,95.0,1,Class 1,XLPE,8.2,Armoured-SWA,17.54,1014,IS 1554,90,1710,923.29,83095.74,92328.6,166191.48,1500,1500,50000,85446000,25,https://www.polycab.com/products,2025-12-07
Polycab,PCB-POW-120-1C,Polycab XLPE HT Cable 33kV 120 Sq mm 1 Core XLPE,Power Cable-HT,Cable,33 kV,Annealed Copper,120.0,1,Class 1,XLPE,10.2,Armoured-SWA,19.72,1281,IS 1554,90,2160,1166.26,104963.04,116625.6,209926.08,1500,1500,50000,85446000,25,https://www.polycab.com/products,2025-12-07
Polycab,PCB-POW-150-1C,Polycab XLPE HT Cable 33kV 150 Sq mm 1 Core XLPE,Power Cable-HT,Cable,33 kV,Annealed Copper,150.0,1,Class 1,XLPE,12.6,Armoured-SWA,22.05,1602,IS 1554,90,2700,1457.82,131203.8,145782.0,262407.6,1500,1500,50000,85446000,25,https://www.polycab.com/products,2025-12-07
Polycab,PCB-POW-185-1C,Polycab XLPE HT Cable 33kV 185 Sq mm 1 Core XLPE,Power Cable-HT,Cable,33 kV,Annealed Copper,185.0,1,Class 1,XLPE,15.4,Armoured-SWA,24.48,1975,IS 1554,90,3330,1797.98,161818.02,179797.8,323636.04,1500,1500,50000,85446000,25,https://www.polycab.com/products,2025-12-07
Polycab,PCB-POW-240-1C,Polycab XLPE HT Cable 33kV 240 Sq mm 1 Core XLPE,Power Cable-HT,Cable,33 kV,Annealed Copper,240.0,1,Class 1,XLPE,19.8,Armoured-SWA,27.89,2563,IS 1554,90,4320,2332.51,209926.08,233251.2,419852.16,1500,1500,50000,85446000,25,https://www.polycab.com/products,2025-12-07
Polycab,PCB-POW-300-1C,Polycab XLPE HT Cable 33kV 300 Sq mm 1 Core XLPE,Power Cable-HT,Cable,33 kV,Annealed Copper,300.0,1,Class 1,XLPE,24.6,Armoured-SWA,31.18,3204,IS 1554,90,5400,2915.64,262407.6,291564.0,524815.2,1500,1500,50000,85446000,25,https://www.polycab.com/products,2025-12-07
Polycab,PCB-POW-400-1C,Polycab XLPE HT Cable 33kV 400 Sq mm 1 Core XLPE,Power Cable-HT,Cable,33 kV,Annealed Copper,400.0,1,Class 1,XLPE,32.6,Armoured-SWA,36.0,4272,IS 1554,90,7200,3887.52,349876.8,388752.0,699753.6,1500,1500,50000,85446000,25,https://www.polycab.com/products,2025-12-07
Polycab,PCB-POW-500-1C,Polycab XLPE HT Cable 33kV 500 Sq mm 1 Core XLPE,Power Cable-HT,Cable,33 kV,Annealed Copper,500.0,1,Class 1,XLPE,40.6,Armoured-SWA,40.25,5340,IS 1554,90,9000,4859.4,437346.0,485940.0,874692.0,1500,1500,50000,85446000,25,https://www.polycab.com/products,2025-12-07
