Company,Product_Code,Product_Name,Category,Type,Voltage_Rating,Conductor_Material,Conductor_Size_sqmm,No_of_Cores,Conductor_Class,Insulation_Type,Insulation_Thickness_mm,Armour_Type,Outer_Diameter_mm,Approx_Weight_kg_per_km,Standard,Max_Conductor_Temp_C,Current_Rating_Amps,Price_Per_Meter_INR,Price_Per_90m_INR,Price_Per_100m_INR,Price_Per_180m_INR,Test_Certificate_Cost_INR,Routine_Test_Cost_INR,Type_Test_Cost_INR,HSN_Code,Warranty_Years,Product_URL,Extracted_Date
Polycab,PCB-SUB-2.5-3C,Polycab Submersible Cable 2.5 Sq mm 3 Core PVC,Submersible Cable,Cable,1.1 kV,Annealed Copper,2.5,3,Class 1,PVC,0.8,Unarmoured,8.54,80,IS 1554,70,32,56.07,5046.3,5607.0,10092.6,500,500,15000,85446000,20,https://www.polycab.com/products,2025-12-07
Polycab,PCB-SUB-2.5-4C,Polycab Submersible Cable 2.5 Sq mm 4 Core PVC,Submersible Cable,Cable,1.1 kV,Annealed Copper,2.5,4,Class 1,PVC,0.8,Unarmoured,11.38,106,IS 1554,70,29,74.76,6728.4,7476.0,13456.8,500,500,15000,85446000,20,https://www.polycab.com/products,2025-12-07
Polycab,PCB-SUB-4-3C,Polycab Submersible Cable 4 Sq mm 3 Core PVC,Submersible Cable,Cable,1.1 kV,Annealed Copper,4.0,3,Class 1,PVC,0.92,Unarmoured,10.8,128,IS 1554,70,51,89.71,8074.08,8971.2,16148.16,500,500,15000,85446000,20,https://www.polycab.com/products,2025-12-07
Polycab,PCB-SUB-4-4C,Polycab Submersible Cable 4 Sq mm 4 Core PVC,Submersible Cable,Cable,1.1 kV,Annealed Copper,4.0,4,Class 1,PVC,0.92,Unarmoured,14.4,170,IS 1554,70,47,119.62,10765.44,11961.6,21530.88,500,500,15000,85446000,20,https://www.polycab.com/products,2025-12-07
Polycab,PCB-SUB-6-3C,Polycab Submersible Cable 6 Sq mm 3 Core PVC,Submersible Cable,Cable,1.1 kV,Annealed Copper,6.0,3,Class 1,PVC,1.08,Unarmoured,13.23,192,IS 1554,70,77,134.57,12111.12,13456.8,24222.24,500,500,15000,85446000,20,https://www.polycab.com/products,2025-12-07
Polycab,PCB-SUB-6-4C,Polycab Submersible Cable 6 Sq mm 4 Core PVC,Submersible Cable,Cable,1.1 kV,Annealed Copper,6.0,4,Class 1,PVC,1.08,Unarmoured,17.64,256,IS 1554,70,71,179.42,16148.16,17942.4,32296.32,500,500,15000,85446000,20,https://www.polycab.com/products,2025-12-07
Polycab,PCB-SUB-10-3C,Polycab Submersible Cable 10 Sq mm 3 Core PVC,Submersible Cable,Cable,1.1 kV,Annealed Copper,10.0,3,Class 1,PVC,1.4,Unarmoured,17.08,320,IS 1554,70,129,224.28,20185.2,22428.0,40370.4,500,500,15000,85446000,20,https://www.polycab.com/products,2025-12-07
Polycab,PCB-SUB-10-4C,Polycab Submersible Cable 10 Sq mm 4 Core PVC,Submersible Cable,Cable,1.1 kV,Annealed Copper,10.0,4,Class 1,PVC,1.4,Unarmoured,22.77,427,IS 1554,70,118,299.04,26913.6,29904.0,53827.2,500,500,15000,85446000,20,https://www.polycab.com/products,2025-12-07
Polycab,PCB-SUB-16-3C,Polycab Submersible Cable 16 Sq mm 3 Core PVC,Submersible Cable,Cable,1.1 kV,Annealed Copper,16.0,3,Class 1,PVC,1.88,Unarmoured,21.6,512,IS 1554,70,207,358.85,32296.32,35884.8,64592.64,500,500,15000,85446000,20,https://www.polycab.com/products,2025-12-07
Polycab,PCB-SUB-16-4C,Polycab Submersible Cable 16 Sq mm 4 Core PVC,Submersible Cable,Cable,1.1 kV,Annealed Copper,16.0,4,Class 1,PVC,1.88,Unarmoured,28.8,683,IS 1554,70,190,478.46,43061.76,47846.4,86123.52,500,500,15000,85446000,20,https://www.polycab.com/products,2025-12-07
