Company,Product_Code,Product_Name,Category,Type,Voltage_Rating,Conductor_Material,Conductor_Size_sqmm,No_of_Cores,Conductor_Class,Insulation_Type,Insulation_Thickness_mm,Armour_Type,Outer_Diameter_mm,Approx_Weight_kg_per_km,Standard,Max_Conductor_Temp_C,Current_Rating_Amps,Price_Per_Meter_INR,Price_Per_90m_INR,Price_Per_100m_INR,Price_Per_180m_INR,Test_Certificate_Cost_INR,Routine_Test_Cost_INR,Type_Test_Cost_INR,HSN_Code,Warranty_Years,Product_URL,Extracted_Date
Polycab,PCB-HOU-0.75-1C,Polycab FR-LSH House Wire 0.75 Sq mm 1 Core FRLS,House Wire,Wire,1100V,Annealed Copper,0.75,1,Class 1,FRLS,0.66,Unarmoured,1.56,8,IS 694,90,13,7.29,656.02,728.91,1312.04,300,300,5000,85444200,25,https://www.polycab.com/products,2025-12-07
Polycab,PCB-HOU-1-1C,Polycab FR-LSH House Wire 1 Sq mm 1 Core FRLS,House Wire,Wire,1100V,Annealed Copper,1.0,1,Class 1,FRLS,0.68,Unarmoured,1.8,10,IS 694,90,18,9.72,874.69,971.88,1749.38,300,300,5000,85444200,25,https://www.polycab.com/products,2025-12-07
Polycab,PCB-HOU-1.5-1C,Polycab FR-LSH House Wire 1.5 Sq mm 1 Core FRLS,House Wire,Wire,1100V,Annealed Copper,1.5,1,Class 1,FRLS,0.72,Unarmoured,2.2,16,IS 694,90,27,14.58,1312.04,1457.82,2624.08,300,300,5000,85444200,25,https://www.polycab.com/products,2025-12-07
Polycab,PCB-HOU-2.5-1C,Polycab FR-LSH House Wire 2.5 Sq mm 1 Core FRLS,House Wire,Wire,1100V,Annealed Copper,2.5,1,Class 1,FRLS,0.8,Unarmoured,2.85,26,IS 694,90,45,24.3,2186.73,2429.7,4373.46,300,300,5000,85444200,25,https://www.polycab.com/products,2025-12-07
Polycab,PCB-HOU-4-1C,Polycab FR-LSH House Wire 4 Sq mm 1 Core FRLS,House Wire,Wire,1100V,Annealed Copper,4.0,1,Class 1,FRLS,0.92,Unarmoured,3.6,42,IS 694,90,72,38.88,3498.77,3887.52,6997.54,300,300,5000,85444200,25,https://www.polycab.com/products,2025-12-07
Polycab,PCB-HOU-6-1C,Polycab FR-LSH House Wire 6 Sq mm 1 Core FRLS,House Wire,Wire,1100V,Annealed Copper,6.0,1,Class 1,FRLS,1.08,Unarmoured,4.41,64,IS 694,90,108,58.31,5248.15,5831.28,10496.3,300,300,5000,85444200,25,https://www.polycab.com/products,2025-12-07
Polycab,PCB-HOU-10-1C,Polycab FR-LSH House Wire 10 Sq mm 1 Core FRLS,House Wire,Wire,1100V,Annealed Copper,10.0,1,Class 1,FRLS,1.4,Unarmoured,5.69,106,IS 694,90,180,97.19,8746.92,9718.8,17493.84,300,300,5000,85444200,25,https://www.polycab.com/products,2025-12-07
Polycab,PCB-HOU-0.75-1C,Polycab PVC House Wire 0.75 Sq mm 1 Core PVC,House Wire,Wire,1100V,Annealed Copper,0.75,1,Class 1,PVC,0.66,Unarmoured,1.56,8,IS 694,70,13,5.61,504.63,560.7,1009.26,300,300,5000,85444200,20,https://www.polycab.com/products,2025-12-07
Polycab,PCB-HOU-1-1C,Polycab PVC House Wire 1 Sq mm 1 Core PVC,House Wire,Wire,1100V,Annealed Copper,1.0,1,Class 1,PVC,0.68,Unarmoured,1.8,10,IS 694,70,18,7.48,672.84,747.6,1345.68,300,300,5000,85444200,20,https://www.polycab.com/products,2025-12-07
Polycab,PCB-HOU-1.5-1C,Polycab PVC House Wire 1.5 Sq mm 1 Core PVC,House Wire,Wire,1100V,Annealed Copper,1.5,1,Class 1,PVC,0.72,Unarmoured,2.2,16,IS 694,70,27,11.21,1009.26,1121.4,2018.52,300,300,5000,85444200,20,https://www.polycab.com/products,2025-12-07
Polycab,PCB-HOU-2.5-1C,Polycab PVC House Wire 2.5 Sq mm 1 Core PVC,House Wire,Wire,1100V,Annealed Copper,2.5,1,Class 1,PVC,0.8,Unarmoured,2.85,26,IS 694,70,45,18.69,1682.1,1869.0,3364.2,300,300,5000,85444200,20,https://www.polycab.com/products,2025-12-07
Polycab,PCB-HOU-4-1C,Polycab PVC House Wire 4 Sq mm 1 Core PVC,House Wire,Wire,1100V,Annealed Copper,4.0,1,Class 1,PVC,0.92,Unarmoured,3.6,42,IS 694,70,72,29.9,2691.36,2990.4,5382.72,300,300,5000,85444200,20,https://www.polycab.com/products,2025-12-07
