Company,Product_Code,Product_Name,Category,Type,Voltage_Rating,Conductor_Material,Conductor_Size_sqmm,No_of_Cores,Conductor_Class,Insulation_Type,Insulation_Thickness_mm,Armour_Type,Outer_Diameter_mm,Approx_Weight_kg_per_km,Standard,Max_Conductor_Temp_C,Current_Rating_Amps,Price_Per_Meter_INR,Price_Per_90m_INR,Price_Per_100m_INR,Price_Per_180m_INR,Test_Certificate_Cost_INR,Routine_Test_Cost_INR,Type_Test_Cost_INR,HSN_Code,Warranty_Years,Product_URL,Extracted_Date
RR Kabel,RRK-HOU-0.75-1C,RR Kabel House Wire 0.75 Sq mm 1 Core PVC,House Wire,Wire,1100V,Annealed Copper,0.75,1,Class 1,PVC,0.66,Unarmoured,1.47,8,IS 694,70,13,4.76,428.03,475.59,856.07,300,300,5000,85444200,20,https://www.rrkabel.com/price-list/,2025-12-07
RR Kabel,RRK-HOU-1-1C,RR Kabel House Wire 1 Sq mm 1 Core PVC,House Wire,Wire,1100V,Annealed Copper,1.0,1,Class 1,PVC,0.68,Unarmoured,1.7,10,IS 694,70,18,6.34,570.71,634.12,1141.42,300,300,5000,85444200,20,https://www.rrkabel.com/price-list/,2025-12-07
RR Kabel,RRK-HOU-1.5-1C,RR Kabel House Wire 1.5 Sq mm 1 Core PVC,House Wire,Wire,1100V,Annealed Copper,1.5,1,Class 1,PVC,0.72,Unarmoured,2.08,16,IS 694,70,27,9.51,856.07,951.19,1712.14,300,300,5000,85444200,20,https://www.rrkabel.com/price-list/,2025-12-07
RR Kabel,RRK-HOU-2.5-1C,RR Kabel House Wire 2.5 Sq mm 1 Core PVC,House Wire,Wire,1100V,Annealed Copper,2.5,1,Class 1,PVC,0.8,Unarmoured,2.69,26,IS 694,70,45,15.85,1426.78,1585.31,2853.56,300,300,5000,85444200,20,https://www.rrkabel.com/price-list/,2025-12-07
RR Kabel,RRK-HOU-4-1C,RR Kabel House Wire 4 Sq mm 1 Core PVC,House Wire,Wire,1100V,Annealed Copper,4.0,1,Class 1,PVC,0.92,Unarmoured,3.4,42,IS 694,70,72,25.36,2282.85,2536.5,4565.7,300,300,5000,85444200,20,https://www.rrkabel.com/price-list/,2025-12-07
RR Kabel,RRK-HOU-6-1C,RR Kabel House Wire 6 Sq mm 1 Core PVC,House Wire,Wire,1100V,Annealed Copper,6.0,1,Class 1,PVC,1.08,Unarmoured,4.16,64,IS 694,70,108,38.05,3424.28,3804.75,6848.55,300,300,5000,85444200,20,https://www.rrkabel.com/price-list/,2025-12-07
RR Kabel,RRK-HOU-0.75-1C,RR Kabel FR House Wire 0.75 Sq mm 1 Core FRLS,House Wire,Wire,1100V,Annealed Copper,0.75,1,Class 1,FRLS,0.66,Unarmoured,1.47,8,IS 694,90,13,5.94,535.04,594.49,1070.09,300,300,5000,85444200,25,https://www.rrkabel.com/price-list/,2025-12-07
RR Kabel,RRK-HOU-1-1C,RR Kabel FR House Wire 1 Sq mm 1 Core FRLS,House Wire,Wire,1100V,Annealed Copper,1.0,1,Class 1,FRLS,0.68,Unarmoured,1.7,10,IS 694,90,18,7.93,713.39,792.66,1426.78,300,300,5000,85444200,25,https://www.rrkabel.com/price-list/,2025-12-07
RR Kabel,RRK-HOU-1.5-1C,RR Kabel FR House Wire 1.5 Sq mm 1 Core FRLS,House Wire,Wire,1100V,Annealed Copper,1.5,1,Class 1,FRLS,0.72,Unarmoured,2.08,16,IS 694,90,27,11.89,1070.09,1188.98,2140.17,300,300,5000,85444200,25,https://www.rrkabel.com/price-list/,2025-12-07
RR Kabel,RRK-HOU-2.5-1C,RR Kabel FR House Wire 2.5 Sq mm 1 Core FRLS,House Wire,Wire,1100V,Annealed Copper,2.5,1,Class 1,FRLS,0.8,Unarmoured,2.69,26,IS 694,90,45,19.82,1783.48,1981.64,3566.95,300,300,5000,85444200,25,https://www.rrkabel.com/price-list/,2025-12-07
RR Kabel,RRK-HOU-4-1C,RR Kabel FR House Wire 4 Sq mm 1 Core FRLS,House Wire,Wire,1100V,Annealed Copper,4.0,1,Class 1,FRLS,0.92,Unarmoured,3.4,42,IS 694,90,72,31.71,2853.56,3170.62,5707.12,300,300,5000,85444200,25,https://www.rrkabel.com/price-list/,2025-12-07
RR Kabel,RRK-HOU-6-1C,RR Kabel FR House Wire 6 Sq mm 1 Core FRLS,House Wire,Wire,1100V,Annealed Copper,6.0,1,Class 1,FRLS,1.08,Unarmoured,4.16,64,IS 694,90,108,47.56,4280.34,4755.94,8560.69,300,300,5000,85444200,25,https://www.rrkabel.com/price-list/,2025-12-07
